eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
0.0100	0.5100	6810.00	3.630563802578702e0	8.826441041782578e0	4.113281656097118e-1
0.0100	0.5100	7010.00	3.603336813678535e0	8.855378246041125e0	4.069094186111630e-1
0.0100	0.5100	7210.00	3.381315706695280e0	8.883501584323207e0	3.806287053139403e-1
0.0100	0.5100	7410.00	4.402217312704854e0	8.910855587405250e0	4.940285777862926e-1
0.0100	0.5100	7610.00	1.038154848193022e1	8.937481228416040e0	1.161574297792412e0
0.0100	0.5100	7810.00	2.451374452289510e1	8.963416291996570e0	2.734866230053759e0
0.0100	0.5100	8010.00	3.960234664006432e0	8.988695696785708e0	4.405794564190868e-1
0.0100	0.5100	8210.00	3.542885685612883e0	9.013351778138825e0	3.930708323407363e-1
0.0100	0.5100	8410.00	1.239094365158828e1	9.037414536822590e0	1.371071737508760e0
0.0100	0.5100	8610.00	3.487074553365092e1	9.060911858484253e0	3.848480823814596e0
0.0100	0.5100	8810.00	7.634452451306187e0	9.083869707922235e0	8.404405497635021e-1
0.0100	0.5100	9010.00	1.128905732056683e1	9.106312301552135e0	1.239695822714388e0
0.0100	0.5100	9210.00	3.603924453618526e0	9.128262260940575e0	3.948094774883449e-1
0.0100	0.5100	9410.00	3.801902280365902e0	9.149740749847252e0	4.155202190214375e-1
0.0100	0.5100	9610.00	5.207006820857154e0	9.170767596856360e0	5.677830962200002e-1
0.0100	0.5100	9810.00	3.594058213134133e0	9.191361405378380e0	3.910256657986540e-1
0.0100	0.5100	12000.00	3.651334203012190e1	9.392828581549459e0	3.887363823699057e0
0.0100	0.5100	15000.00	8.146342035793994e1	9.615938804529582e0	8.471707444682014e0
0.0100	0.5100	20000.00	7.825070316391773e0	9.903587547536461e0	7.901248187923856e-1
0.0500	0.5500	10.00	9.920779573311497e-2	2.484906649788000e0	3.992415398847231e-2
0.0500	0.5500	210.00	2.339734870213495e0	5.356586274672012e0	4.367958901878713e-1
0.0500	0.5500	410.00	2.107486499523630e0	6.021023349349527e0	3.500213131960881e-1
0.0500	0.5500	610.00	2.154246396473912e0	6.416732282512326e0	3.357232780842253e-1
0.0500	0.5500	810.00	8.473790993984711e0	6.699500340161678e0	1.264839251247835e0
0.0500	0.5500	1010.00	4.674401088422630e0	6.919683849847411e0	6.755223489763491e-1
0.0500	0.5500	1210.00	7.572917714658912e0	7.100027166629260e0	1.066604047693265e0
0.0500	0.5500	1410.00	1.083122665465869e1	7.252762418053187e0	1.493393279738238e0
0.0500	0.5500	1610.00	7.648238281311976e0	7.385230923066573e0	1.035612611302910e0
0.0500	0.5500	1810.00	6.634290235282092e0	7.502186486602924e0	8.843142258765917e-1
0.0500	0.5500	2010.00	4.875265694992175e0	7.606884531219630e0	6.409017614219670e-1
0.0500	0.5500	2210.00	4.835848779768919e0	7.701652362642226e0	6.278975669202852e-1
0.0500	0.5500	2410.00	7.634731169263363e0	7.788211557847076e0	9.802932435201928e-1
0.0500	0.5500	2610.00	2.424010851241498e0	7.867871490396322e0	3.080897869519467e-1
0.0500	0.5500	2810.00	2.767133639699261e0	7.941651252930556e0	3.484330338326250e-1
0.0500	0.5500	3010.00	3.320808226659904e0	8.010359588919783e0	4.145641890101119e-1
0.0500	0.5500	3210.00	5.124861124089507e0	8.074649075066652e0	6.346853066239543e-1
0.0500	0.5500	3410.00	2.707975685568969e0	8.135053908611569e0	3.328774112612052e-1
0.0500	0.5500	3610.00	4.041474947804821e0	8.192016914536875e0	4.933430912029923e-1
0.0500	0.5500	3810.00	5.882505067093816e0	8.245909264774093e0	7.133846466421159e-1
0.0500	0.5500	4010.00	4.157426333371720e0	8.297045149081827e0	5.010731240665590e-1
0.0500	0.5500	4210.00	2.686801873436562e0	8.345692873253865e0	3.219387430427950e-1
0.0500	0.5500	4410.00	2.823510463527067e0	8.392083380373393e0	3.364492862559523e-1
0.0500	0.5500	4610.00	7.722466491253170e0	8.436416881388949e0	9.153727939036796e-1
0.0500	0.5500	4810.00	2.932881621872555e0	8.478868077094569e0	3.459048537145725e-1
0.0500	0.5500	5010.00	3.051221523587798e0	8.519590316015959e0	3.581418132104091e-1
0.0500	0.5500	5210.00	1.816772863164883e1	8.558718938244736e0	2.122715883386020e0
0.0500	0.5500	5410.00	5.097980316354789e0	8.596373989290679e0	5.930384511778836e-1
0.0500	0.5500	5610.00	3.781687593284488e0	8.632662441222351e0	4.380673539632827e-1
0.0500	0.5500	5810.00	1.421604649852732e1	8.667680024690174e0	1.640121284822748e0
0.0500	0.5500	6010.00	4.543791810481292e0	8.701512750872865e0	5.221841236772876e-1
0.0500	0.5500	6210.00	3.449911397894238e0	8.734238184268579e0	3.949870984864995e-1
0.0500	0.5500	6410.00	3.386199721632051e0	8.765926513729443e0	3.862911372036361e-1
0.0500	0.5500	6610.00	5.772167994463365e0	8.796641458940915e0	6.561786133270816e-1
0.0500	0.5500	6810.00	3.159423973607221e0	8.826441041782578e0	3.579499323284606e-1
0.0500	0.5500	7010.00	3.108892238738552e0	8.855378246041125e0	3.510739069930084e-1
0.0500	0.5500	7210.00	2.941074326982176e0	8.883501584323207e0	3.310715148824103e-1
0.0500	0.5500	7410.00	3.921139953237444e0	8.910855587405250e0	4.400407923544006e-1
0.0500	0.5500	7610.00	7.189631518844228e0	8.937481228416040e0	8.044359853853839e-1
0.0500	0.5500	7810.00	1.336147437583969e1	8.963416291996570e0	1.490667613839396e0
0.0500	0.5500	8010.00	3.004625892529312e0	8.988695696785708e0	3.342671722220771e-1
0.0500	0.5500	8210.00	3.088921105987539e0	9.013351778138825e0	3.427050426989296e-1
0.0500	0.5500	8410.00	1.045103455782243e1	9.037414536822590e0	1.156418632258165e0
0.0500	0.5500	8610.00	1.495185074925957e1	9.060911858484253e0	1.650148570340555e0
0.0500	0.5500	8810.00	6.393162301373457e0	9.083869707922235e0	7.037928225454231e-1
0.0500	0.5500	9010.00	8.567809691712160e0	9.106312301552135e0	9.408649086471381e-1
0.0500	0.5500	9210.00	3.307589434250386e0	9.128262260940575e0	3.623460128225515e-1
0.0500	0.5500	9410.00	3.444816300224121e0	9.149740749847252e0	3.764933230793047e-1
0.0500	0.5500	9610.00	4.328908145265310e0	9.170767596856360e0	4.720333493947893e-1
0.0500	0.5500	9810.00	2.735274438169927e0	9.191361405378380e0	2.975918710550718e-1
0.0500	0.5500	12000.00	1.524344678684566e1	9.392828581549459e0	1.622881398771474e0
0.0500	0.5500	15000.00	1.712438912319672e1	9.615938804529582e0	1.780833829259634e0
0.0500	0.5500	20000.00	6.177248707202516e0	9.903587547536461e0	6.237384864375860e-1
0.1000	0.6000	10.00	1.129085829041571e-1	2.484906649788000e0	4.543775634943465e-2
0.1000	0.6000	210.00	2.120914845826327e0	5.356586274672012e0	3.959452414413304e-1
0.1000	0.6000	410.00	1.881272198719851e0	6.021023349349527e0	3.124505735263577e-1
0.1000	0.6000	610.00	1.892072675511271e0	6.416732282512326e0	2.948654536621049e-1
0.1000	0.6000	810.00	5.944431547421718e0	6.699500340161678e0	8.872947601459876e-1
0.1000	0.6000	1010.00	3.626112588920056e0	6.919683849847411e0	5.240286503840804e-1
0.1000	0.6000	1210.00	5.386022945326008e0	7.100027166629260e0	7.585918784424912e-1
0.1000	0.6000	1410.00	5.785038617522900e0	7.252762418053187e0	7.976324445873331e-1
0.1000	0.6000	1610.00	5.785928471596173e0	7.385230923066573e0	7.834458437209812e-1
0.1000	0.6000	1810.00	4.781507520268971e0	7.502186486602924e0	6.373485288332379e-1
0.1000	0.6000	2010.00	3.652118101283641e0	7.606884531219630e0	4.801069460558892e-1
0.1000	0.6000	2210.00	3.893193085838435e0	7.701652362642226e0	5.055010149150366e-1
0.1000	0.6000	2410.00	5.848355117518435e0	7.788211557847076e0	7.509240181882164e-1
0.1000	0.6000	2610.00	1.883797137145496e0	7.867871490396322e0	2.394290678800353e-1
0.1000	0.6000	2810.00	2.499869764185659e0	7.941651252930556e0	3.147795948938428e-1
0.1000	0.6000	3010.00	3.048574133548047e0	8.010359588919783e0	3.805789365267627e-1
0.1000	0.6000	3210.00	4.718656648231470e0	8.074649075066652e0	5.843791605510138e-1
0.1000	0.6000	3410.00	2.143071279434008e0	8.135053908611569e0	2.634366414173857e-1
0.1000	0.6000	3610.00	3.478720048195287e0	8.192016914536875e0	4.246475665867143e-1
0.1000	0.6000	3810.00	4.056893387563410e0	8.245909264774093e0	4.919886039607730e-1
0.1000	0.6000	4010.00	3.743861363320950e0	8.297045149081827e0	4.512282741688172e-1
0.1000	0.6000	4210.00	2.093589531679432e0	8.345692873253865e0	2.508586840511388e-1
0.1000	0.6000	4410.00	2.153594582330300e0	8.392083380373393e0	2.566221621876306e-1
0.1000	0.6000	4610.00	4.768690375716189e0	8.436416881388949e0	5.652506796144816e-1
0.1000	0.6000	4810.00	2.552327510003299e0	8.478868077094569e0	3.010221985760508e-1
0.1000	0.6000	5010.00	2.759093474562044e0	8.519590316015959e0	3.238528347278895e-1
