x	f_N	f_N_minus_1	abs_dev
0.00377000	-3.489697406378748e-1	-1.348969740637875e0	1.348969740637875e0
0.00379000	1.423553340786033e0	4.235533407860335e-1	4.235533407860335e-1
0.00381000	1.339051180600771e0	3.390511806007706e-1	3.390511806007706e-1
0.00383000	2.554315495035956e-1	-7.445684504964043e-1	7.445684504964043e-1
0.00385000	9.652625817969681e-1	-3.473741820303189e-2	3.473741820303189e-2
0.00387000	2.724426572818140e-1	-7.275573427181861e-1	7.275573427181861e-1
0.00389000	8.444740388546944e-1	-1.555259611453056e-1	1.555259611453056e-1
0.00391000	9.455049291751176e-1	-5.449507082488236e-2	5.449507082488236e-2
0.00393000	1.288646236013870e0	2.886462360138695e-1	2.886462360138695e-1
0.00395000	2.100426515864269e-1	-7.899573484135731e-1	7.899573484135731e-1
0.00397000	1.163363794018522e0	1.633637940185220e-1	1.633637940185220e-1
0.00399000	1.086332251506135e0	8.633225150613510e-2	8.633225150613510e-2
0.00401000	1.006910343275736e-2	-9.899308965672426e-1	9.899308965672426e-1
0.00403000	7.409548380425397e-1	-2.590451619574603e-1	2.590451619574603e-1
0.00405000	1.373859192245508e0	3.738591922455077e-1	3.738591922455077e-1
0.00407000	1.799833485153020e0	7.998334851530204e-1	7.998334851530204e-1
0.00409000	8.813468295689773e-1	-1.186531704310227e-1	1.186531704310227e-1
0.00411000	5.701978618347640e-1	-4.298021381652360e-1	4.298021381652360e-1
0.00413000	1.055284232387415e0	5.528423238741498e-2	5.528423238741498e-2
0.00415000	-8.547985554309516e-1	-1.854798555430952e0	1.854798555430952e0
0.00417000	1.627799673505935e0	6.277996735059348e-1	6.277996735059348e-1
0.00419000	1.557963261421693e0	5.579632614216929e-1	5.579632614216929e-1
0.00421000	8.015129717072567e-2	-9.198487028292743e-1	9.198487028292743e-1
0.00423000	9.150702318642715e-1	-8.492976813572850e-2	8.492976813572850e-2
0.00425000	4.903497176614114e-1	-5.096502823385886e-1	5.096502823385886e-1
0.00427000	2.544905708016014e-1	-7.455094291983986e-1	7.455094291983986e-1
0.00429000	8.057921366300607e-1	-1.942078633699393e-1	1.942078633699393e-1
0.00431000	7.397992030360897e-1	-2.602007969639103e-1	2.602007969639103e-1
0.00433000	6.298043117617195e-1	-3.701956882382805e-1	3.701956882382805e-1
0.00435000	-7.637664211918034e-1	-1.763766421191803e0	1.763766421191803e0
0.00437000	-8.279555236331924e-1	-1.827955523633192e0	1.827955523633192e0
0.00439000	1.065082408490074e0	6.508240849007429e-2	6.508240849007429e-2
0.00441000	1.002055081754952e0	2.055081754951615e-3	2.055081754951615e-3
0.00443000	-6.040314947918340e-2	-1.060403149479183e0	1.060403149479183e0
0.00445000	2.348649214625318e-1	-7.651350785374682e-1	7.651350785374682e-1
0.00447000	5.706242799429929e-2	-9.429375720057007e-1	9.429375720057007e-1
0.00449000	-3.734009670261149e-3	-1.003734009670261e0	1.003734009670261e0
0.00451000	5.043473371296818e-1	-4.956526628703182e-1	4.956526628703182e-1
0.00453000	4.446221866003552e-1	-5.553778133996448e-1	5.553778133996448e-1
0.00455000	-1.481399159196495e-1	-1.148139915919649e0	1.148139915919649e0
0.00457000	6.426631547380726e-1	-3.573368452619274e-1	3.573368452619274e-1
0.00459000	-4.155073873908642e-1	-1.415507387390864e0	1.415507387390864e0
0.00461000	-8.226581981335552e-1	-1.822658198133555e0	1.822658198133555e0
0.00463000	1.834033404379048e0	8.340334043790476e-1	8.340334043790476e-1
0.00465000	1.777357552972430e0	7.773575529724301e-1	7.773575529724301e-1
0.00467000	1.909542502631565e0	9.095425026315653e-1	9.095425026315653e-1
0.00469000	8.538313333543913e-1	-1.461686666456087e-1	1.461686666456087e-1
0.00471000	1.725529277187383e0	7.255292771873827e-1	7.255292771873827e-1
0.00473000	1.432197740787853e0	4.321977407878526e-1	4.321977407878526e-1
0.00475000	1.377888060455860e0	3.778880604558597e-1	3.778880604558597e-1
0.00477000	1.376774850670523e0	3.767748506705229e-1	3.767748506705229e-1
0.00479000	8.233703197925538e-1	-1.766296802074462e-1	1.766296802074462e-1
0.00481000	5.511309716473164e-1	-4.488690283526836e-1	4.488690283526836e-1
0.00483000	4.986091488893898e-1	-5.013908511106102e-1	5.013908511106102e-1
0.00485000	9.672168383827912e-1	-3.278316161720884e-2	3.278316161720884e-2
0.00487000	-8.444398182336126e-2	-1.084443981823361e0	1.084443981823361e0
0.00489000	-1.356822186331455e-1	-1.135682218633145e0	1.135682218633145e0
0.00491000	1.400459562651144e0	4.004595626511440e-1	4.004595626511440e-1
0.00493000	7.391267097666333e-1	-2.608732902333667e-1	2.608732902333667e-1
0.00495000	6.891255729272789e-1	-3.108744270727211e-1	3.108744270727211e-1
0.00497000	-3.604731402755448e-1	-1.360473140275545e0	1.360473140275545e0
0.00499000	5.300387657940810e-1	-4.699612342059190e-1	4.699612342059190e-1
0.00501000	9.762763165163664e-1	-2.372368348363363e-2	2.372368348363363e-2
0.00503000	9.278561491826718e-1	-7.214385081732821e-2	7.214385081732821e-2
0.00505000	8.798195079268686e-1	-1.201804920731314e-1	1.201804920731314e-1
0.00507000	7.845037189780645e-1	-2.154962810219355e-1	2.154962810219355e-1
0.00509000	7.372205849038651e-1	-2.627794150961349e-1	2.627794150961349e-1
0.00511000	2.904650277553268e-1	-7.095349722446732e-1	7.095349722446732e-1
0.00513000	4.563586278403828e-1	-5.436413721596172e-1	5.436413721596172e-1
0.00515000	4.101729414019902e-1	-5.898270585980098e-1	5.898270585980098e-1
0.00517000	-6.356554089711092e-1	-1.635655408971109e0	1.635655408971109e0
0.00519000	-6.811305543317130e-1	-1.681130554331713e0	1.681130554331713e0
0.00521000	1.906251186032482e0	9.062511860324816e-1	9.062511860324816e-1
