# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
372	-8.917940193011638e-01
373	5.450081366726096e-01
374	1.670040201149563e+00
375	1.517402223181360e-01
376	1.812860177344154e-01
377	-4.794032945379658e-01
378	3.639504631883619e-02
379	5.485420540015831e-01
380	-7.329497593663525e-01
381	-9.235762379719421e-01
382	-1.596669370033579e+00
383	3.423166883953223e-01
384	-1.261582205603776e-01
385	2.029610397957323e-01
386	-1.561050284145406e+00
387	2.923995086840062e-03
388	1.087359336117409e+00
389	6.218574101074592e-01
390	-8.974523285752518e-01
391	-4.465249978274494e-01
392	1.320021163598648e-02
393	-7.698853004554754e-01
394	-1.481222103610608e+00
395	-6.784039967359424e-01
396	-7.773537599545223e-02
397	4.132910568693867e-01
398	-1.475717900114430e+00
399	4.620187309775341e-01
400	-3.928900986564954e-02
401	5.219060909217369e-01
402	1.451146735859091e+00
403	-3.982623127448051e-01
404	8.623654803033971e-01
405	7.776529748260321e-03
406	1.552405276648223e+00
407	-3.463471272761782e-01
408	4.295851874372617e-02
409	6.772784551215281e-01
410	1.923474213252120e+00
411	-5.692362686938290e-01
412	7.494236462275061e-01
413	-4.421508811494593e-01
414	1.885534924822020e-01
415	-4.742129616440832e-01
416	-1.019959837307254e-01
417	-4.660105045437291e-01
418	1.571015544124698e+00
419	6.494055230408047e-01
420	2.003642912136926e-01
421	2.698541015416556e-01
422	-1.485446598474861e+00
423	-2.218157482568640e-01
424	-2.992368786415180e-01
425	-3.433703519326722e-02
426	1.418245563110487e+00
427	-6.456908579893961e-01
428	6.699094905209234e-01
429	7.099795405038356e-01
430	1.581303353698457e+00
431	5.546472109994266e-01
432	-2.002351872548387e-01
433	6.132740435575518e-01
434	1.458627691478118e+00
435	4.553833112021243e-01
436	6.860504553084473e-01
437	-6.887952152228485e-01
438	1.333172713457446e+00
439	4.678817801411848e-01
440	-2.947193214650145e-01
441	2.181055742997068e-01
442	1.353769499483673e+00
443	5.509878196530645e-01
444	-8.422846689581950e-01
445	-7.583712105967804e-01
446	-1.488983438419900e+00
447	-6.743741674672973e-01
448	-1.563582014517846e-01
449	4.303130181113001e-01
450	-4.607046488644332e-01
451	-6.465277813773659e-01
452	7.951457766324340e-01
453	-5.736035494166736e-01
454	-1.145591680131144e+00
455	6.162730539273938e-01
456	-1.952568009431370e-02
457	3.987719423033824e-01
458	-1.331268044541204e+00
459	1.999737112598587e-03
460	-1.001365325940637e+00
461	4.890466616064975e-01
462	-8.870614984861016e-01
463	6.791126410024059e-01
464	3.799703177168808e-01
465	5.856739179083583e-01
466	-1.313223814791254e+00
467	4.740377854556139e-01
468	-1.500164984072251e-01
469	-4.521830469454506e-01
470	1.626272129084799e+00
471	-4.995517266228953e-01
472	-1.116731655376058e-01
473	-5.529241549001367e-01
474	1.317464239772050e+00
475	-1.809016065351153e-01
476	-7.148733194846758e-01
477	-2.026006608904306e-01
478	-1.301731584824757e+00
479	2.865272049560847e-01
480	2.789082475452995e-01
481	-4.633369558320556e-01
482	-1.089696877108182e+00
483	5.288678445376507e-01
484	1.424393972364193e-01
485	-4.217361005422663e-01
486	2.951898014649224e-01
487	5.850498255903802e-01
488	2.361780558102860e-01
489	-6.573048299474746e-01
490	7.972285401468025e-03
491	5.438367454584992e-01
492	-1.029843632554992e+00
493	-6.403139814299090e-01
494	9.603841499563535e-01
495	1.728656414313688e-01
496	3.697944290610254e-02
497	-4.383258389686556e-01
498	1.604399794369331e+00
499	5.660432397321727e-01
500	1.511943205177317e-01
501	-6.234045787654371e-01
502	-1.283837866859248e+00
503	2.995149668199712e-01
504	-5.348231487895757e-02
505	-3.889097788485030e-01
506	1.673042423755214e+00
507	1.650116159952157e-01
508	1.092532025861759e+00
509	4.965391353877701e-01
510	-1.134183247757577e+00
511	-4.381040189895862e-01
512	-9.391465330991344e-02
513	-9.906572231361720e-02
514	-1.413469556144654e+00
515	-5.573512644493751e-01
516	-9.909381296801544e-01
517	-4.622556974451125e-01
518	1.145317698042580e+00
519	-5.741719368311613e-01
520	-1.276059444437622e-01
521	5.872885639983056e-01
522	4.526631144625520e-01
523	5.952570965716013e-01
524	1.027887181698394e+00
525	1.081678288693505e-01
526	-1.503811438530333e+00
527	-6.459191425692569e-01
528	-4.786538373733039e-01
529	2.799812733806830e-02
530	1.450100946605019e+00
531	8.700170648003082e-03
532	-7.613236715284686e-01
533	-4.569159691705096e-01
534	1.304278315894526e+00
535	-7.660076859565925e-01
536	-4.298945978596481e-02
537	-7.804734959660425e-01
538	-1.247058339449492e+00
539	-2.695617748781884e-01
540	-1.111587093179716e-01
541	3.334051954076445e-01
542	-1.126154760587571e+00
543	-6.535436852300623e-01
544	-1.085380166178067e-01
545	-4.859312621518500e-01
546	-8.144723347709063e-01
547	4.828093308991949e-01
548	9.728819618639467e-01
549	2.425135954040420e-03
550	2.552066303396706e-01
551	-3.989717184652844e-01
552	-3.846699755920090e-02
553	-6.879734786504501e-01
554	-1.330286383969820e+00
555	3.250795696356147e-01
556	8.944253131878845e-01
557	4.714379752876451e-01
558	2.242544722042236e-01
559	-4.002310152411591e-01
560	-5.487584438631314e-02
561	7.432388812052785e-01
562	-1.156561904840165e+00
563	3.281508895233715e-01
564	-8.051640918780940e-01
565	-6.758096876859431e-01
566	-1.400542267167510e+00
567	-2.233597485248496e-01
568	-1.472984979326547e-01
569	5.171663036161596e-01
570	-1.222335202703219e+00
571	4.977630281236597e-01
572	-8.295274916145697e-01
573	-6.628956576778201e-01
574	1.339579281151031e+00
575	1.192704595728923e-01
576	9.768583754289420e-02
577	5.192056805326740e-01
578	1.338641285921194e-01
579	-4.849659030303459e-01
580	-8.944299342039438e-01
581	-4.265328056978405e-01
582	1.461989764018173e+00
583	-3.990160939634174e-01
584	-6.288724034637687e-02
585	1.915267112484633e-01
586	-1.168766625409727e+00
587	3.891197929145019e-01
588	1.265212129601570e-02
589	-2.369122927856137e-01
590	1.403285948071283e+00
591	-5.287840742041225e-01
592	2.449531645705362e-02
593	4.968038434842196e-01
594	1.214311664881528e-01
595	6.411752337888332e-01
596	9.403279535918635e-01
597	-4.446781969614104e-01
598	1.377144980115294e+00
599	5.794181472057065e-01
600	3.455242475573593e-01
601	5.445769075708848e-01
602	1.430263537396146e+00
603	1.715203921204531e-02
604	6.299092714806696e-01
605	-6.952922040123850e-02
606	1.303229912107678e+00
607	3.637287277525575e-01
608	-1.848928582664991e-01
609	3.973577215034849e-01
610	1.287815767537899e+00
611	-4.728792995284255e-01
612	3.840159643040931e-02
613	2.107674227752837e-01
614	-1.164938794079667e+00
615	6.203630759689654e-01
616	-1.483975896869931e-01
617	4.978196700192771e-01
618	1.466797073450550e+00
619	4.681542121261689e-01
620	-7.368514524318954e-01
621	-8.556283760054549e-02
622	-1.391964244265537e+00
623	-6.210614823911857e-01
624	-5.443802805422574e-01
625	-1.187674645198997e-01
626	-1.138856654544497e+00
627	3.132826659841182e-01
628	7.870869652574555e-01
629	-3.069341062639291e-01
630	-6.031559740025265e-01
631	4.949522165817535e-01
632	-5.987007751888454e-02
633	-7.196986065499043e-01
634	-1.455223104964236e+00
635	-8.673725267477346e-01
636	-1.076987678388554e+00
637	1.363646370417177e-01
638	1.499556461392412e+00
639	2.042651732530895e-02
640	1.396017213920597e-02
641	4.994056075250764e-01
642	1.375708610226609e+00
643	4.365734307435206e-01
644	-8.774513380989696e-01
645	5.419691732651584e-01
646	1.148932674156100e+00
647	2.955916708732307e-01
648	-3.855495842682075e-01
649	-4.410466183758564e-01
650	-1.462651981489886e-01
651	3.070018775391227e-01
652	8.736469689685249e-01
653	4.215731334976764e-01
654	1.540857455939688e+00
655	-5.175659699601363e-01
656	4.270514393878147e-02
657	1.911644960825469e-01
658	1.509360008542282e+00
659	5.606403855845812e-01
660	4.038111689488584e-01
661	1.211136367920931e-01
662	-1.254801169607631e+00
663	4.117400389184517e-01
664	7.552721740941869e-02
665	4.374465765666762e-01
666	2.277141584770251e-01
667	-5.339848450027446e-01
668	6.089140736996554e-01
669	-6.051313899203120e-01
670	1.182536267947240e+00
671	-5.782859654126609e-01
672	2.155708213135117e-02
673	1.462683543448472e-01
674	-1.114019247789912e+00
675	-1.089983021916874e-01
676	9.075536358823237e-02
677	3.671457219517106e-01
678	1.489568735504062e+00
679	-3.866885239966949e-01
680	-1.049233509207923e-01
681	-1.835927267846136e-01
682	1.599712332408826e+00
683	6.605236306109121e-01
684	1.234490875521294e-01
685	-5.175040472038357e-01
686	-1.015201482461401e-01
687	-5.177702841480579e-01
688	5.870320874569109e-02
689	-4.707367369125569e-01
690	-1.264517940726172e+00
691	5.202409247038722e-01
692	9.321349852540801e-01
693	4.278879704177298e-02
694	-1.023844075065956e+00
695	-6.324570354851972e-01
696	1.249005290271702e-01
697	-6.414623713066444e-01
698	-1.229880256095245e+00
699	-6.246748676532585e-01
700	1.992464333596243e-01
701	4.758562760487944e-01
702	1.152688696623479e-02
703	-3.142440152298522e-01
704	-6.923782406725548e-02
705	4.481615266553432e-01
706	-1.193322359979342e+00
707	-5.037339290213620e-01
708	-7.023477328520740e-01
709	6.326508234443270e-01
710	1.396084758589620e+00
711	1.358506722319869e-01
712	6.716132254765961e-02
713	-5.054995842371041e-01
714	-1.016029554634081e+00
715	5.498923753814975e-01
716	6.528798479923984e-01
717	-5.964035862205268e-01
718	-1.216906461439609e+00
719	1.630875118025411e-01
720	9.469988281154799e-02
721	-4.250560737227874e-01
722	-1.714724601364313e-01
723	-4.906181879571387e-01
724	4.788400197396193e-01
725	-9.465388204375806e-02
726	1.616156611060652e-01
727	4.570637950679869e-01
728	-1.016236348245161e-01
729	5.518208157967829e-02
730	1.050990545729379e+00
731	-4.545498842224711e-01
732	-8.612215258334116e-01
733	2.276742530057710e-01
734	-9.548849692515267e-01
735	3.124059275054096e-01
736	-1.020748952529312e-01
737	-3.444107436269251e-01
738	9.705201008796883e-02
739	4.873983147799560e-01
740	-4.543204416186259e-01
741	5.927676890614947e-01
742	1.607933480516968e+00
743	6.440853775287555e-01
744	-8.692551479419221e-03
745	-4.563601750226598e-01
746	-1.128344842300728e+00
747	3.720206180658629e-02
748	-8.277311574105147e-01
749	-5.903510641908597e-01
750	-2.664159755736757e-01
751	3.704984512698707e-01
752	1.550073163770642e-02
753	-2.910960171269569e-01
754	1.247288327183027e+00
755	-3.018216834375081e-01
756	-2.283403177743239e-01
757	2.752130414967383e-01
758	-1.008104539046412e+00
759	4.189954802856835e-01
760	-8.581026353745817e-02
761	4.719374295021634e-01
762	1.632756527462553e+00
763	-4.872266490198201e-01
764	6.849727435499632e-01
765	-1.436286149218590e-01
766	-1.016844516424755e+00
767	-5.990434867068839e-01
768	-6.724091717681108e-02
769	3.216176204914465e-01
770	-9.038951139854965e-01
771	-4.999387760777320e-01
772	9.988885584541007e-01
773	4.168928437430572e-01
774	-9.838478057138575e-03
775	9.661729144591406e-03
776	-1.598016349021436e-01
777	1.277266042308380e-01
778	-1.295973044699147e+00
779	-7.547482517738954e-01
780	-3.232535352423145e-01
781	-5.152381011300240e-01
782	1.030651432136840e+00
783	1.677541785970006e-01
784	8.102996711556683e-02
