energy	density
2.432583661316389e0	2.684454724697365e-4
2.454614098192750e0	2.956411139791985e-4
2.476644535069111e0	3.259689949315232e-4
2.498674971945472e0	3.595523836981691e-4
2.520705408821833e0	3.965243118283315e-4
2.542735845698194e0	4.370250362207580e-4
2.564766282574555e0	4.811995151115049e-4
2.586796719450915e0	5.291948791956938e-4
2.608827156327276e0	5.811578841654014e-4
2.630857593203637e0	6.372323358228403e-4
2.652888030079998e0	6.975564837068581e-4
2.674918466956359e0	7.622603838344278e-4
2.696948903832720e0	8.314632356838906e-4
2.718979340709081e0	9.052707029037875e-4
2.741009777585441e0	9.837722313846798e-4
2.763040214461802e0	1.067038382240832e-3
2.785070651338163e0	1.155118200868503e-3
2.807101088214524e0	1.248036646529357e-3
2.829131525090885e0	1.345792109799604e-3
2.851161961967246e0	1.448354047676223e-3
2.873192398843607e0	1.555660768089136e-3
2.895222835719967e0	1.667617396983327e-3
2.917253272596328e0	1.784094061962066e-3
2.939283709472689e0	1.904924326681624e-3
2.961314146349050e0	2.029903909726489e-3
2.983344583225411e0	2.158789720548090e-3
3.005375020101772e0	2.291299243205880e-3
3.027405456978133e0	2.427110296104993e-3
3.049435893854493e0	2.565861192690356e-3
3.071466330730854e0	2.707151324156753e-3
3.093496767607215e0	2.850542180705981e-3
3.115527204483576e0	2.995558822777765e-3
3.137557641359937e0	3.141691808066450e-3
3.159588078236298e0	3.288399574089907e-3
3.181618515112659e0	3.435111269692377e-3
3.203648951989019e0	3.581230022242025e-3
3.225679388865380e0	3.726136620539100e-3
3.247709825741742e0	3.869193586702130e-3
3.269740262618102e0	4.009749603672323e-3
3.291770699494463e0	4.147144258598993e-3
3.313801136370823e0	4.280713056368912e-3
3.335831573247184e0	4.409792652046270e-3
3.357862010123545e0	4.533726246116471e-3
3.379892446999906e0	4.651869082288838e-3
3.401922883876267e0	4.763593984309654e-3
3.423953320752628e0	4.868296865855611e-3
3.445983757628989e0	4.965402146188225e-3
3.468014194505350e0	5.054368003905358e-3
3.490044631381711e0	5.134691401858903e-3
3.512075068258071e0	5.205912818130089e-3
3.534105505134432e0	5.267620620855742e-3
3.556135942010793e0	5.319455028648720e-3
3.578166378887154e0	5.361111603300078e-3
3.600196815763515e0	5.392344227315535e-3
3.622227252639876e0	5.412967525530769e-3
3.644257689516237e0	5.422858697458035e-3
3.666288126392597e0	5.421958735013807e-3
3.688318563268958e0	5.410273008724559e-3
3.710349000145319e0	5.387871214256156e-3
3.732379437021680e0	5.354886680006095e-3
3.754409873898041e0	5.311515045378198e-3
3.776440310774402e0	5.258012328067714e-3
3.798470747650763e0	5.194692407066475e-3
3.820501184527124e0	5.121923956004939e-3
3.842531621403484e0	5.040126868743384e-3
3.864562058279845e0	4.949768225683925e-3
3.886592495156206e0	4.851357854989946e-3
3.908622932032567e0	4.745443547679707e-3
3.930653368908928e0	4.632605989335239e-3
3.952683805785289e0	4.513453473886669e-3
3.974714242661650e0	4.388616466567284e-3
3.996744679538010e0	4.258742083679970e-3
4.018775116414371e0	4.124488556286012e-3
