energy	count	normalized
1.222165324260181e-3	140	7.035175879396985e-1
1.272501288610902e-3	141	7.085427135678392e-1
1.391158255610767e-3	142	7.135678391959799e-1
1.418784613134340e-3	143	7.185929648241206e-1
1.480084858677433e-3	144	7.236180904522613e-1
1.579871170027271e-3	145	7.286432160804021e-1
1.614538452706014e-3	146	7.336683417085427e-1
1.668408494103725e-3	147	7.386934673366834e-1
1.734752637068191e-3	148	7.437185929648241e-1
1.842095883424864e-3	149	7.487437185929648e-1
1.906939837418752e-3	150	7.537688442211056e-1
1.947866983617094e-3	151	7.587939698492462e-1
2.053760614243956e-3	152	7.638190954773869e-1
2.151268212458045e-3	153	7.688442211055276e-1
2.160651305991709e-3	154	7.738693467336684e-1
2.250898660185306e-3	155	7.788944723618091e-1
2.450181718051663e-3	156	7.839195979899497e-1
2.558721018595643e-3	157	7.889447236180904e-1
2.699632894309537e-3	158	7.939698492462312e-1
2.754454189812708e-3	159	7.989949748743719e-1
2.881743339050175e-3	160	8.040201005025126e-1
3.128181479947462e-3	161	8.090452261306532e-1
3.160773919631561e-3	162	8.140703517587939e-1
3.434160133326852e-3	163	8.190954773869347e-1
3.929040683477328e-3	164	8.241206030150754e-1
4.198843946334465e-3	165	8.291457286432161e-1
4.469669952933797e-3	166	8.341708542713567e-1
4.791484892463609e-3	167	8.391959798994975e-1
4.986217128910150e-3	168	8.442211055276382e-1
5.472780408107919e-3	169	8.492462311557789e-1
5.626397489013549e-3	170	8.542713567839196e-1
6.152795984617596e-3	171	8.592964824120602e-1
7.085900722250908e-3	172	8.643216080402010e-1
7.201481604067750e-3	173	8.693467336683417e-1
7.506404927310101e-3	174	8.743718592964824e-1
7.849164099358426e-3	175	8.793969849246231e-1
9.358556126043242e-3	176	8.844221105527639e-1
1.085573839669047e-2	177	8.894472361809045e-1
1.221307374552430e-2	178	8.944723618090452e-1
1.275596809471643e-2	179	8.994974874371859e-1
1.443731845968605e-2	180	9.045226130653267e-1
1.664174178182352e-2	181	9.095477386934674e-1
1.791708190327875e-2	182	9.145728643216080e-1
2.090857076787474e-2	183	9.195979899497487e-1
2.275382523994265e-2	184	9.246231155778895e-1
2.311793538207884e-2	185	9.296482412060302e-1
2.416969482920833e-2	186	9.346733668341709e-1
2.465248683201680e-2	187	9.396984924623115e-1
2.507296352745258e-2	188	9.447236180904522e-1
2.624184164269622e-2	189	9.497487437185930e-1
2.742400329413157e-2	190	9.547738693467337e-1
2.950652819891167e-2	191	9.597989949748744e-1
3.403502881325129e-2	192	9.648241206030150e-1
3.655223766453698e-2	193	9.698492462311558e-1
4.569370099188470e-2	194	9.748743718592965e-1
6.254591004238134e-2	195	9.798994974874372e-1
8.482415539444273e-2	196	9.849246231155779e-1
1.936796609625881e-1	197	9.899497487437185e-1
7.534454266310127e-1	198	9.949748743718593e-1
3.841917710284402e0	199	1.000000000000000e0
