beta	free_energy	specific_heat	entropy
1.683180353330953e3	-2.540765423992053e-3	1.935846721990040e-1	4.525205793666487e0
1.846424942895541e3	-2.303537516866745e-3	1.945352833766323e-1	4.507237797587203e0
2.025501939230668e3	-2.088145228549277e-3	1.949696275743269e-1	4.489206971132436e0
2.221946860939522e3	-1.892583664490800e-3	1.950714671006362e-1	4.471152877009571e0
2.437444150122220e3	-1.715030377704394e-3	1.950520376279418e-1	4.453096659849628e0
2.673841615839944e3	-1.553829713271788e-3	1.951318488578502e-1	4.435039340821846e0
2.933166278390042e3	-1.407478307520469e-3	1.955235066221605e-1	4.416961773961148e0
3.217641750250727e3	-1.274611638933897e-3	1.964182671264516e-1	4.398826036578987e0
3.529707302730648e3	-1.153991564164500e-3	1.979777587208725e-1	4.380577830262889e0
3.872038781812549e3	-1.044494796378360e-3	2.003307654199642e-1	4.362149407394234e0
4.247571552536901e3	-9.451022939103070e-4	2.035736794457892e-1	4.343462611323469e0
4.659525668664678e3	-8.548895272734224e-4	2.077726180009396e-1	4.324431781869229e0
5.111433483440158e3	-7.730175862819030e-4	2.129654236187221e-1	4.304966459275532e0
5.607169938205441e3	-6.987250810846649e-4	2.191626603261429e-1	4.284973947028436e0
6.150985788580497e3	-6.313207848629966e-4	2.263478490152333e-1	4.264361823586848e0
6.747544053110681e3	-5.701769635317692e-4	2.344780504184834e-1	4.243040426749454e0
7.401959996915646e3	-5.147233388262654e-4	2.434861517776093e-1	4.220925214888656e0
8.119844993184005e3	-4.644416342570936e-4	2.532857918070256e-1	4.197938798680898e0
8.907354638610421e3	-4.188606568860833e-4	2.637790055540450e-1	4.174012388009058e0
9.771241535346466e3	-3.775518705191480e-4	2.748657707200913e-1	4.149086433968211e0
1.071891319205127e4	-3.401254173681816e-4	2.864540412814585e-1	4.123110352605885e0
1.175849554052154e4	-3.062265458879744e-4	2.984687565731878e-1	4.096041356559229e0
1.289890261253309e4	-2.755324031105619e-4	3.108587130093239e-1	4.067842545607434e0
1.414991297434575e4	-2.477491511163009e-4	3.236009107090258e-1	4.038480478143778e0
1.552225357427044e4	-2.226093697157020e-4	3.367027570053809e-1	4.007922444958647e0
1.702769172225894e4	-1.998697109510100e-4	3.502030141104120e-1	3.976133604862475e0
1.867913599020780e4	-1.793087752625031e-4	3.641723908117039e-1	3.943074054680033e0
2.049074689815849e4	-1.607251835001054e-4	3.787141586722378e-1	3.908695843228657e0
2.247805833548725e4	-1.439358228240901e-4	3.939643269716359e-1	3.872939941678876e0
2.465811075822600e4	-1.287742475904575e-4	4.100901436128610e-1	3.835733263756619e0
2.704959730463128e4	-1.150892185522988e-4	4.272854615286772e-1	3.796985959614057e0
2.967302408188858e4	-1.027433654216908e-4	4.457621309796593e-1	3.756589320665232e0
3.255088599835054e4	-9.161195946360301e-5	4.657380191512364e-1	3.714414648892623e0
3.570785964900466e4	-8.158178470151578e-5	4.874240734937119e-1	3.670313304690563e0
3.917101490809258e4	-7.255009862283282e-5	5.110142742150258e-1	3.624117851275326e0
4.297004704320835e4	-6.442367577971869e-5	5.366825907159383e-1	3.575643833994574e0
4.713753134116711e4	-5.711792994139131e-5	5.645897621734463e-1	3.524691399714392e0
5.170920242896756e4	-5.055611196809757e-5	5.949000712248320e-1	3.471045814955950e0
5.672426068491969e4	-4.466858101412622e-5	6.278050139588679e-1	3.414476075820253e0
6.222570836730234e4	-3.939214600702658e-5	6.635477970483764e-1	3.354731232338248e0
6.826071834272385e4	-3.466947288415259e-5	7.024405573275511e-1	3.291534714426153e0
7.488103857590009e4	-3.044855127362170e-5	7.448652495561081e-1	3.224577748570776e0
8.214343584919402e4	-2.668221267479420e-5	7.912490359026679e-1	3.153513802797078e0
9.011018251665015e4	-2.332769108931419e-5	8.420054781444472e-1	3.077956828710298e0
9.884959046625601e4	-2.034621667563376e-5	8.974341354975389e-1	2.997486823862990e0
1.084365968689611e5	-1.770263342723412e-5	9.575744539167003e-1	2.911666792464218e0
1.189534067370319e5	-1.536503316396987e-5	1.022017038388962e0	2.820075268393720e0
1.304901978014400e5	-1.330440037906655e-5	1.089688468640122e0	2.722357723821779e0
