gcd_class	dim	lambda_min	lambda_max	trace	frobenius_norm	condition
37	5	8.113148653901591e-4	6.637725056461646e-2	7.673095428850051e-2	6.671483956452920e-2	8.181441e1
38	5	7.900306707086340e-4	6.465131580583780e-2	7.473449813054660e-2	6.498002109296447e-2	8.183393e1
39	5	7.704119720038544e-4	6.301948742694778e-2	7.284684110110057e-2	6.333985832116801e-2	8.179972e1
40	5	7.520659296529898e-4	6.146953917981358e-2	7.105214144603657e-2	6.178186758185302e-2	8.173424e1
41	4	9.884176723390849e-4	5.581315870624723e-2	6.321177711350497e-2	5.604885516072170e-2	5.646718e1
42	4	9.655031194110209e-4	5.450258229785607e-2	6.172747575885162e-2	5.473271016527382e-2	5.644993e1
43	4	9.432685910397480e-4	5.324930814772406e-2	6.030543976133797e-2	5.347391726602813e-2	5.645190e1
44	4	9.220859414836643e-4	5.205715509126535e-2	5.895461009353928e-2	5.227672087504604e-2	5.645586e1
45	4	9.017812207326758e-4	5.091795139796931e-2	5.766307537563084e-2	5.113269675324401e-2	5.646375e1
46	4	8.820073290364927e-4	4.982258746921395e-2	5.642098695828113e-2	5.003264473300328e-2	5.648773e1
47	4	8.626583561610685e-4	4.877659721276058e-2	5.523458992331771e-2	4.898212965605486e-2	5.654220e1
48	4	8.439150048993087e-4	4.777304770192369e-2	5.409773896762735e-2	4.797436403143458e-2	5.660884e1
49	4	8.265855555266992e-4	4.680955341860504e-2	5.300560190597810e-2	4.700672777513569e-2	5.663002e1
50	4	8.104330243223544e-4	4.589051470277023e-2	5.196502344841360e-2	4.608384116883939e-2	5.662468e1
51	3	1.325654997918493e-3	4.052428871418498e-2	4.479616606912185e-2	4.065286660422757e-2	3.056926e1
52	3	1.299075089673566e-3	3.975366686930680e-2	4.394290691964642e-2	3.987975274677983e-2	3.060152e1
53	3	1.273912879141868e-3	3.901222782462167e-2	4.312187859510336e-2	3.913589379651637e-2	3.062394e1
54	3	1.250773560092481e-3	3.829880878083821e-2	4.233280014547763e-2	3.842017035200890e-2	3.062010e1
55	3	1.228636851658360e-3	3.761245737613753e-2	4.157449697192281e-2	3.773165764906988e-2	3.061316e1
56	3	1.207277919856515e-3	3.694699413441464e-2	4.083912885413947e-2	3.706408438879938e-2	3.060355e1
57	3	1.186635859421150e-3	3.630418657573202e-2	4.012690319710854e-2	3.641910198469995e-2	3.059421e1
58	3	1.166382190340883e-3	3.568462522727082e-2	3.944204257120408e-2	3.579757517195641e-2	3.059428e1
59	3	1.146669043348089e-3	3.508967775764265e-2	3.878427245821065e-2	3.520074232434443e-2	3.060140e1
60	3	1.127048678563846e-3	3.450968253578160e-2	3.814308485859030e-2	3.461892886896274e-2	3.061951e1
61	3	1.107833706948729e-3	3.395050801701813e-2	3.752421176146499e-2	3.405796243432210e-2	3.064585e1
62	3	1.088891776500650e-3	3.340878545975268e-2	3.692392324512747e-2	3.351446405497617e-2	3.068146e1
63	3	1.071244484197468e-3	3.288236520466557e-2	3.634136995642583e-2	3.298634422444046e-2	3.069548e1
64	3	1.054889567752321e-3	3.237251373850574e-2	3.577790599405057e-2	3.247487183400753e-2	3.068806e1
65	3	1.039100042473044e-3	3.188086202726224e-2	3.523436528048861e-2	3.198164402780983e-2	3.068122e1
66	3	1.023872419186914e-3	3.140563085973874e-2	3.470958921213860e-2	3.150493225340726e-2	3.067338e1
67	2	1.659215582068486e-3	2.628791894107196e-2	2.794713452314045e-2	2.634022928146505e-2	1.584358e1
68	2	1.634583459391192e-3	2.590232497050393e-2	2.753690842989513e-2	2.595384946329363e-2	1.584644e1
69	2	1.610344258350122e-3	2.553304768794295e-2	2.714339194629307e-2	2.558377870575749e-2	1.585565e1
70	2	1.587755685520858e-3	2.517061026444538e-2	2.675836594996624e-2	2.522063816007650e-2	1.585295e1
71	2	1.565872064538601e-3	2.482244133721366e-2	2.638831340175226e-2	2.487178218909766e-2	1.585215e1
72	2	1.544313917720238e-3	2.447913782982902e-2	2.602345174754925e-2	2.452780247735680e-2	1.585114e1
73	2	1.522906191198391e-3	2.414492988305099e-2	2.566783607424938e-2	2.419290975316197e-2	1.585451e1
74	2	1.501815853280110e-3	2.382381883539586e-2	2.532563468867597e-2	2.387110794996592e-2	1.586334e1
75	2	1.482048516757571e-3	2.350788717659629e-2	2.498993569335386e-2	2.355455852512637e-2	1.586175e1
76	2	1.462974406854605e-3	2.320324908831822e-2	2.466622349517282e-2	2.324932391209800e-2	1.586032e1
77	2	1.444407046997057e-3	2.290780602092237e-2	2.435221306791942e-2	2.295329798546653e-2	1.585966e1
78	2	1.425772851236518e-3	2.261149202580518e-2	2.403726487704169e-2	2.265639865151508e-2	1.585911e1
79	2	1.407417072533963e-3	2.232725885385318e-2	2.373467592638714e-2	2.237157372075163e-2	1.586400e1
80	2	1.389307289324614e-3	2.205294077767943e-2	2.344224806700405e-2	2.209665974051297e-2	1.587334e1
81	2	1.372451929000823e-3	2.178140168460289e-2	2.315385361360372e-2	2.182459813246145e-2	1.587043e1
82	2	1.356097678748572e-3	2.151937027394485e-2	2.287546795269342e-2	2.156205690330698e-2	1.586860e1
83	2	1.340166634491863e-3	2.126538011790728e-2	2.260554675239914e-2	2.130756762672106e-2	1.586771e1
84	2	1.324323691644470e-3	2.101171426448601e-2	2.233603795613048e-2	2.105340755252355e-2	1.586600e1
85	2	1.308558093639657e-3	2.076376018451168e-2	2.207231827815133e-2	2.080495280658772e-2	1.586766e1
86	2	1.293002216891865e-3	2.052467094117823e-2	2.181767315807010e-2	2.056535854237736e-2	1.587365e1
87	2	1.277634949372238e-3	2.029302419975525e-2	2.157065914912749e-2	2.033320393434615e-2	1.588327e1
88	2	1.263416087645830e-3	2.006236723678083e-2	2.132578332442666e-2	2.010210932598813e-2	1.587946e1
89	2	1.249560458419498e-3	1.983949340638670e-2	2.108905386480620e-2	1.987880529512040e-2	1.587718e1
90	2	1.236040208631808e-3	1.962320485010509e-2	2.085924505873690e-2	1.966209459814855e-2	1.587586e1
91	2	1.222811265096348e-3	1.941193899932678e-2	2.063475026442312e-2	1.945041498538348e-2	1.587484e1
92	2	1.209433373767853e-3	1.919739392815104e-2	2.040682730191890e-2	1.923545327561049e-2	1.587305e1
93	2	1.196230266665234e-3	1.899056258187623e-2	2.018679284854147e-2	1.902820101919894e-2	1.587534e1
94	2	1.183186964452336e-3	1.879042600169808e-2	1.997361296615042e-2	1.882764033855919e-2	1.588120e1
95	2	1.170289795895271e-3	1.859605437177370e-2	1.976634416766897e-2	1.863284241344676e-2	1.589013e1
96	2	1.158135818505895e-3	1.840285409042990e-2	1.956098990893580e-2	1.843926021422115e-2	1.589007e1
97	2	1.146486285074827e-3	1.821415234244008e-2	1.936063862751491e-2	1.825019935111614e-2	1.588693e1
98	2	1.135102237037997e-3	1.803095403627000e-2	1.916605627330799e-2	1.806664773959491e-2	1.588487e1
99	2	1.123965951168775e-3	1.785251498912881e-2	1.897648094029759e-2	1.788786155180254e-2	1.588350e1
100	2	1.113060948023715e-3	1.767815412648700e-2	1.879121507451072e-2	1.771316002281481e-2	1.588247e1
