N	T	n_active	sum_a2	diagonal	off_diagonal	total	off_diag_ratio	mv_bound	bessel_bound	off_vs_mv	off_vs_bessel	bessel_ok
100	1000	61	1.889589398986520e0	3.779178797973039e3	-1.822736031376440e0	3.777356061941663e3	4.823100807916429e-4	2.479322615488055e1	1.187264034831441e1	7.351750111058600e-2	1.535240669220827e-1	true
100	10000	61	1.889589398986520e0	3.779178797973039e4	-4.934427353800579e0	3.778685355237659e4	1.305687721482550e-4	2.479322615488055e1	1.187264034831441e1	1.990232058940517e-1	4.156133100166834e-1	true
100	100000	61	1.889589398986520e0	3.779178797973039e5	9.792998248415451e0	3.779276727955524e5	2.591303235948487e-5	2.479322615488055e1	1.187264034831441e1	3.949868479091697e-1	8.248374381024515e-1	true
200	10	122	2.039795260629000e0	4.079590521257999e1	-1.158349941684145e1	2.921240579573854e1	2.839377961214969e-1	3.474734753857227e1	1.281641161123868e1	3.333635582970141e-1	9.038020756671002e-1	true
200	100	122	2.039795260629000e0	4.079590521257999e2	7.937198942129484e-1	4.087527720200129e2	1.945587161449217e-3	3.474734753857227e1	1.281641161123868e1	2.284260383708015e-2	6.192996279215448e-2	true
200	1000	122	2.039795260629000e0	4.079590521257999e3	-1.601141457257655e0	4.077989379800742e3	3.924760215306904e-4	3.474734753857227e1	1.281641161123868e1	4.607953040099716e-2	1.249289977433010e-1	true
200	10000	122	2.039795260629000e0	4.079590521257999e4	-5.993723112866766e0	4.078991148946713e4	1.469197234779954e-4	3.474734753857227e1	1.281641161123868e1	1.724944071259904e-1	4.676600045843473e-1	true
200	100000	122	2.039795260629000e0	4.079590521257999e5	1.096076850393493e1	4.079700128943038e5	2.686732515633708e-5	3.474734753857227e1	1.281641161123868e1	3.154418762976836e-1	8.552135212576553e-1	true
300	10	183	2.126731845636731e0	4.253463691273463e1	-1.305131412744637e1	2.948332278528825e1	3.068396740807463e-1	4.316220149474258e1	1.336265028481563e1	3.023783235207803e-1	9.767010173331380e-1	true
300	100	183	2.126731845636731e0	4.253463691273462e2	9.606946973808822e-1	4.263070638247271e2	2.258617369537850e-3	4.316220149474258e1	1.336265028481563e1	2.225777796570225e-2	7.189402378303258e-2	true
300	1000	183	2.126731845636731e0	4.253463691273462e3	-1.070176810100509e0	4.252393514463361e3	2.516012567113519e-4	4.316220149474258e1	1.336265028481563e1	2.479430550433956e-2	8.008716738748914e-2	true
300	10000	183	2.126731845636731e0	4.253463691273463e4	-6.604014788214744e0	4.252803289794641e4	1.552620468293580e-4	4.316220149474258e1	1.336265028481563e1	1.530045864092255e-1	4.942144445491534e-1	true
300	100000	183	2.126731845636731e0	4.253463691273463e5	1.154754316691571e1	4.253579166705132e5	2.714856409990522e-5	4.316220149474258e1	1.336265028481563e1	2.675383267538443e-1	8.641656348694178e-1	true
500	10	306	2.235507109199366e0	4.471014218398732e1	-1.491422724987619e1	2.979591493411113e1	3.335759297857396e-1	5.787470228870335e1	1.404610542261697e1	2.576985567109745e-1	1.061805162437509e0	false
500	100	306	2.235507109199366e0	4.471014218398731e2	1.607390635053849e0	4.487088124749270e2	3.595136487017318e-3	5.787470228870335e1	1.404610542261697e1	2.777363116332779e-2	1.144367485997675e-1	true
500	1000	306	2.235507109199366e0	4.471014218398731e3	-1.799689520684243e-1	4.470834249446662e3	4.025237748693163e-5	5.787470228870335e1	1.404610542261697e1	3.109630718628382e-3	1.281272969649218e-2	true
500	10000	306	2.235507109199366e0	4.471014218398731e4	-7.356778194679642e0	4.470278540579264e4	1.645438335759628e-4	5.787470228870335e1	1.404610542261697e1	1.271156118951755e-1	5.237592893780930e-1	true
500	100000	306	2.235507109199366e0	4.471014218398731e5	1.198614737984852e1	4.471134079872530e5	2.680856466643332e-5	5.787470228870335e1	1.404610542261697e1	2.071051237560856e-1	8.533431167723182e-1	true
750	10	456	2.321344360007498e0	4.642688720014996e1	-1.641643314001146e1	3.001045406013850e1	3.535975407793102e-1	7.416309142757196e1	1.458543677570331e1	2.213558364950823e-1	1.125535929603305e0	false
750	100	456	2.321344360007498e0	4.642688720014997e2	2.466999857414547e0	4.667358718589142e2	5.313730913681799e-3	7.416309142757196e1	1.458543677570331e1	3.326452295780889e-2	1.691413082345344e-1	true
750	1000	456	2.321344360007498e0	4.642688720014997e3	3.964950407716697e-1	4.643085215055768e3	8.540202987599586e-5	7.416309142757196e1	1.458543677570331e1	5.346258268627984e-3	2.718431040969294e-2	true
750	10000	456	2.321344360007498e0	4.642688720014997e4	-8.139791542728286e0	4.641874740860724e4	1.753249471074165e-4	7.416309142757196e1	1.458543677570331e1	1.097552891343216e-1	5.580766395894088e-1	true
750	100000	456	2.321344360007498e0	4.642688720014997e5	1.187905360668548e1	4.642807510551064e5	2.558658209298837e-5	7.416309142757196e1	1.458543677570331e1	1.601747362201942e-1	8.144462033851344e-1	true
1000	10	608	2.382019324593532e0	4.764038649187064e1	-1.749622100335128e1	3.014416548851936e1	3.672560676294437e-1	8.910215612390087e1	1.496666882170392e1	1.963613650271486e-1	1.169012370874348e0	false
1000	100	608	2.382019324593532e0	4.764038649187063e2	3.260362781587239e0	4.796642277002936e2	6.843695069819780e-3	8.910215612390087e1	1.496666882170392e1	3.659128940778433e-2	2.178415798750904e-1	true
1000	1000	608	2.382019324593532e0	4.764038649187063e3	6.069244683517239e-1	4.764645573655414e3	1.273970496556088e-4	8.910215612390087e1	1.496666882170392e1	6.811557595842753e-3	4.055174037602757e-2	true
1000	10000	608	2.382019324593532e0	4.764038649187063e4	-8.818255505048832e0	4.763156823636558e4	1.851004190856760e-4	8.910215612390087e1	1.496666882170392e1	9.896792500494174e-2	5.891929333173348e-1	true
1000	100000	608	2.382019324593532e0	4.764038649187064e5	1.151184461498716e1	4.764153767633213e5	2.416404538815306e-5	8.910215612390087e1	1.496666882170392e1	1.291982721380994e-1	7.691654537242955e-1	true
2000	10	1215	2.527549773455074e0	5.055099546910149e1	-2.011789224617933e1	3.043310322292216e1	3.979722270449862e-1	1.418763055193830e2	1.588106359973801e1	1.417988167406209e-1	1.266784942949993e0	false
2000	100	1215	2.527549773455074e0	5.055099546910149e2	5.383804803458437e0	5.108937594944733e2	1.065024487351432e-2	1.418763055193830e2	1.588106359973801e1	3.794717365771064e-2	3.390078233517843e-1	true
2000	1000	1215	2.527549773455074e0	5.055099546910148e3	-1.674519354164535e-1	5.054932094974732e3	3.312534874190676e-5	1.418763055193830e2	1.588106359973801e1	1.180267098184174e-3	1.054412598783471e-2	true
2000	10000	1215	2.527549773455074e0	5.055099546910149e4	-1.125848329857827e1	5.053973698580291e4	2.227153628549183e-4	1.418763055193830e2	1.588106359973801e1	7.935421815054344e-2	7.089250180173068e-1	true
2000	100000	1215	2.527549773455074e0	5.055099546910148e5	1.014583164909571e1	5.055201005226639e5	2.007048833548133e-5	1.418763055193830e2	1.588106359973801e1	7.151181172891197e-2	6.388634857720161e-1	true
5000	10	3042	2.718788223133492e0	5.437576446266984e1	-2.362695838015231e1	3.074880608251753e1	4.345126659575101e-1	2.736664762099364e2	1.708265021692525e1	8.633486537104193e-2	1.383096772463505e0	false
5000	100	3042	2.718788223133492e0	5.437576446266984e2	8.284385806869301e0	5.520420304335677e2	1.523543786231587e-2	2.736664762099364e2	1.708265021692525e1	3.027183278566477e-2	4.849590491913982e-1	true
5000	1000	3042	2.718788223133492e0	5.437576446266983e3	-3.237855608736214e0	5.434338590658247e3	5.954593265459420e-4	2.736664762099364e2	1.708265021692525e1	1.183139291877451e-2	1.895405904599154e-1	true
5000	10000	3042	2.718788223133492e0	5.437576446266983e4	-1.783723734605008e1	5.435792722532378e4	3.280365347009648e-4	2.736664762099364e2	1.708265021692525e1	6.517874455461872e-2	1.044172720247892e0	false
5000	100000	3042	2.718788223133492e0	5.437576446266983e5	6.661155487673208e0	5.437643057821860e5	1.225022866988148e-5	2.736664762099364e2	1.708265021692525e1	2.434041458027643e-2	3.899368893635385e-1	true
