a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	telescope_lg_err	telescope_psi_err	beta_duality_pw	beta_duality_sum_err	sum_pcl	delta_target	identity_err	certified
113	147	112	true	true	true	1.421085e-14	5.684342e-14	1.250555e-12	2.046363e-12	5.684342e-14	2.273737e-13	true	1.387779e-17	-2.349754020215194e-3	-2.349754020215246e-3	5.160802e-17	true
115	147	114	true	true	true	1.421085e-14	5.684342e-14	1.250555e-12	2.046363e-12	2.842171e-14	1.136868e-13	true	1.387779e-17	-2.412145238621669e-3	-2.412145238621787e-3	1.179612e-16	true
116	147	115	true	true	true	1.421085e-14	5.684342e-14	1.705303e-12	2.046363e-12	7.105427e-14	0.000000e0	true	0.000000e0	-2.459531986831996e-3	-2.459531986832051e-3	5.551115e-17	true
118	147	117	true	true	true	4.263256e-14	5.684342e-14	1.023182e-12	2.046363e-12	1.421085e-14	2.273737e-13	true	6.938894e-18	-2.382201253905783e-3	-2.382201253905790e-3	6.505213e-18	true
121	147	120	true	true	true	1.421085e-14	5.684342e-14	1.818989e-12	2.046363e-12	5.684342e-14	1.136868e-13	true	2.081668e-17	-2.535035357400220e-3	-2.535035357400313e-3	9.324139e-17	true
122	147	121	true	true	true	4.263256e-14	5.684342e-14	1.136868e-12	2.046363e-12	1.421085e-14	3.410605e-13	true	2.775558e-17	-2.577790686098044e-3	-2.577790686097987e-3	5.681219e-17	true
124	147	123	true	true	true	2.842171e-14	5.684342e-14	2.046363e-12	2.046363e-12	7.105427e-14	2.273737e-13	true	1.040834e-17	-2.565708274555225e-3	-2.565708274555210e-3	1.431147e-17	true
125	147	124	true	true	true	0.000000e0	5.684342e-14	1.705303e-12	2.046363e-12	4.263256e-14	0.000000e0	true	1.040834e-17	-2.593494349794503e-3	-2.593494349794528e-3	2.428613e-17	true
127	147	126	true	true	true	8.526513e-14	5.684342e-14	1.591616e-12	2.046363e-12	2.842171e-14	1.136868e-13	true	1.387779e-17	-2.609762586394622e-3	-2.609762586394628e-3	5.204170e-18	true
128	147	127	true	true	true	9.947598e-14	5.684342e-14	1.477929e-12	2.046363e-12	5.684342e-14	1.136868e-13	true	1.734723e-18	-2.648061738299157e-3	-2.648061738299183e-3	2.602085e-17	true
130	147	129	true	true	true	2.842171e-14	5.684342e-14	1.932676e-12	2.046363e-12	2.842171e-14	3.410605e-13	true	1.734723e-18	-2.672805710425998e-3	-2.672805710426060e-3	6.201636e-17	true
131	147	130	true	true	true	1.421085e-14	5.684342e-14	1.705303e-12	2.046363e-12	4.263256e-14	1.136868e-13	true	5.204170e-18	-2.668662151291047e-3	-2.668662151291057e-3	9.540979e-18	true
134	147	133	true	true	true	1.421085e-14	5.684342e-14	1.364242e-12	2.046363e-12	4.263256e-14	3.410605e-13	true	8.673617e-18	-2.720697851980555e-3	-2.720697851980580e-3	2.471981e-17	true
136	147	135	true	true	true	4.263256e-14	5.684342e-14	1.591616e-12	2.046363e-12	7.105427e-14	1.136868e-13	true	0.000000e0	-2.748689650060299e-3	-2.748689650060321e-3	2.211772e-17	true
137	147	136	true	true	true	4.263256e-14	5.684342e-14	2.046363e-12	2.046363e-12	4.263256e-14	0.000000e0	true	3.469447e-18	-2.766147532400294e-3	-2.766147532400345e-3	5.074066e-17	true
139	147	138	true	true	true	0.000000e0	5.684342e-14	1.705303e-12	2.046363e-12	4.263256e-14	0.000000e0	true	6.938894e-18	-2.787945782003859e-3	-2.787945782003991e-3	1.322727e-16	true
142	147	141	true	true	true	0.000000e0	5.684342e-14	1.136868e-12	2.046363e-12	4.263256e-14	0.000000e0	true	0.000000e0	-2.823735639540996e-3	-2.823735639541062e-3	6.591949e-17	true
143	147	142	true	true	true	5.684342e-14	5.684342e-14	2.160050e-12	2.046363e-12	4.263256e-14	0.000000e0	true	6.938894e-18	-2.835550747413762e-3	-2.835550747413807e-3	4.510281e-17	true
145	147	144	true	true	true	8.526513e-14	5.684342e-14	1.705303e-12	2.046363e-12	7.105427e-14	1.136868e-13	true	3.469447e-18	-2.856106364972591e-3	-2.856106364972652e-3	6.028164e-17	true
146	147	145	true	true	true	5.684342e-14	5.684342e-14	1.705303e-12	2.046363e-12	5.684342e-14	0.000000e0	true	8.673617e-18	-2.866190379388782e-3	-2.866190379388926e-3	1.444157e-16	true
3	148	2	true	true	true	4.440892e-16	8.526513e-14	2.398082e-14	1.250555e-12	2.664535e-15	6.217249e-15	true	2.949030e-17	-8.023014883193607e-5	-8.023014883237062e-5	4.345482e-16	true
5	148	4	true	true	true	4.440892e-16	8.526513e-14	4.618528e-14	1.250555e-12	2.664535e-15	2.486900e-14	true	2.255141e-17	-1.218581712105844e-4	-1.218581712108761e-4	2.916504e-16	true
7	148	6	true	true	true	8.881784e-16	8.526513e-14	7.105427e-14	1.250555e-12	2.664535e-15	1.776357e-14	true	9.540979e-18	-2.244311685017360e-4	-2.244311685017826e-4	4.662069e-17	true
9	148	8	true	true	true	1.776357e-15	8.526513e-14	9.237056e-14	1.250555e-12	6.217249e-15	1.776357e-14	true	1.908196e-17	-2.251058601219691e-4	-2.251058601218780e-4	9.107298e-17	true
11	148	10	true	true	true	3.552714e-15	8.526513e-14	1.136868e-13	1.250555e-12	7.105427e-15	3.197442e-14	true	1.734723e-17	-2.683238488917939e-4	-2.683238488918153e-4	2.146720e-17	true
13	148	12	true	true	true	1.776357e-15	8.526513e-14	1.421085e-13	1.250555e-12	1.776357e-15	3.552714e-14	true	1.734723e-18	-3.505000333329218e-4	-3.505000333330101e-4	8.830827e-17	true
15	148	14	true	true	true	0.000000e0	8.526513e-14	1.634248e-13	1.250555e-12	8.881784e-15	2.842171e-14	true	2.081668e-17	-2.167354130600675e-4	-2.167354130600627e-4	4.770490e-18	true
17	148	16	true	true	true	3.552714e-15	8.526513e-14	1.989520e-13	1.250555e-12	1.065814e-14	2.131628e-14	true	2.081668e-17	-3.703853565238377e-4	-3.703853565237905e-4	4.716279e-17	true
