k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
42	1.713921452140e-7	0	8	96	3	3	96	spectator	2·3·7
43	1.556922248405e-9	1	2	44	1	1	44	gauge boson (light)	43 (prime)
44	6.570103501263e-8	0	6	84	2	3	84	spectator	2^2·11
45	3.964192827225e-7	0	6	78	2	3	78	spectator	3^2·5
46	2.326519037926e-7	0	4	72	2	2	72	spectator	2·23
47	5.331504946520e-7	1	2	48	1	1	48	gauge boson (light)	47 (prime)
48	2.919100042488e-6	0	10	124	2	5	124	light fermion	2^4·3
49	2.643637035185e-6	0	3	57	1	2	57	spectator	7^2
50	2.014055603648e-7	0	6	93	2	3	93	spectator	2·5^2
51	1.893335381128e-7	0	4	72	2	2	72	spectator	3·17
52	1.194906216684e-7	0	6	98	2	3	98	spectator	2^2·13
53	5.858772964021e-8	1	2	54	1	1	54	gauge boson (light)	53 (prime)
54	5.760941474743e-7	0	8	120	2	4	120	spectator	2·3^3
55	2.918672609783e-8	0	4	72	2	2	72	spectator	5·11
56	4.006531855892e-7	0	8	120	2	4	120	spectator	2^3·7
57	2.289695193290e-6	0	4	80	2	2	80	spectator	3·19
58	9.391601536670e-7	0	4	90	2	2	90	spectator	2·29
59	3.671527367474e-7	1	2	60	1	1	60	gauge boson (light)	59 (prime)
60	1.697344673340e-8	0	12	168	3	4	168	spectator	2^2·3·5
61	1.466701383758e-6	1	2	62	1	1	62	gauge boson	61 (prime)
62	4.198937332671e-8	0	4	96	2	2	96	spectator	2·31
63	1.600358989411e-6	0	6	104	2	3	104	spectator	3^2·7
64	3.470268156369e-7	0	7	127	1	6	127	spectator	2^6
65	8.358755492567e-7	0	4	84	2	2	84	spectator	5·13
66	2.562697928002e-6	0	8	144	3	3	144	spectator	2·3·11
67	2.878277642558e-6	1	2	68	1	1	68	excited boson	67 (prime)
68	1.345993005967e-7	0	6	126	2	3	126	spectator	2^2·17
69	3.768568226713e-6	0	4	96	2	2	96	light fermion	3·23
70	8.693028317428e-9	0	8	144	3	3	144	spectator	2·5·7
71	7.338196375082e-8	1	2	72	1	1	72	gauge boson (light)	71 (prime)
72	1.780972429724e-6	0	12	195	2	5	195	spectator	2^3·3^2
73	1.277415241165e-6	1	2	74	1	1	74	gauge boson (light)	73 (prime)
74	2.745497192098e-8	0	4	114	2	2	114	spectator	2·37
75	5.673315657645e-7	0	6	124	2	3	124	spectator	3·5^2
76	2.914403562727e-7	0	6	140	2	3	140	spectator	2^2·19
77	4.236552851379e-6	0	4	96	2	2	96	fermion	7·11
78	4.599294449870e-6	0	8	168	3	3	168	fermion	2·3·13
79	2.198275171192e-6	1	2	80	1	1	80	gauge boson	79 (prime)
80	2.315002453962e-6	0	10	186	2	5	186	spectator	2^4·5
81	4.109081798711e-8	0	5	121	1	4	121	spectator	3^4
82	2.589018502633e-7	0	4	126	2	2	126	spectator	2·41
83	5.375525892564e-6	1	2	84	1	1	84	excited boson	83 (prime)
84	2.375869631059e-6	0	12	224	3	4	224	spectator	2^2·3·7
85	1.075353417202e-6	0	4	108	2	2	108	spectator	5·17
86	1.210524190275e-5	0	4	132	2	2	132	heavy fermion	2·43
87	1.520477398296e-5	0	4	120	2	2	120	heavy fermion	3·29
88	1.123433861396e-5	0	8	180	2	4	180	heavy fermion	2^3·11
89	5.134593796753e-6	1	2	90	1	1	90	excited boson	89 (prime)
90	2.917916283935e-7	0	12	234	3	4	234	spectator	2·3^2·5
91	3.739964853090e-9	0	4	112	2	2	112	spectator	7·13
92	1.085377986408e-7	0	6	168	2	3	168	spectator	2^2·23
93	1.262448495709e-6	0	4	128	2	2	128	spectator	3·31
94	1.135113040564e-5	0	4	144	2	2	144	heavy fermion	2·47
95	5.682014256595e-6	0	4	120	2	2	120	fermion	5·19
96	2.988254274961e-8	0	12	252	2	6	252	spectator	2^5·3
97	2.610048173432e-6	1	2	98	1	1	98	gauge boson	97 (prime)
98	1.186588912852e-5	0	6	171	2	3	171	heavy fermion	2·7^2
99	6.280828005459e-6	0	6	156	2	3	156	fermion	3^2·11
100	1.922380169956e-7	0	9	217	2	4	217	spectator	2^2·5^2
101	1.528840796389e-7	1	2	102	1	1	102	gauge boson (light)	101 (prime)
102	9.173582716233e-10	0	8	216	3	3	216	spectator	2·3·17
103	1.284248860716e-6	1	2	104	1	1	104	gauge boson (light)	103 (prime)
104	5.103127137708e-6	0	8	210	2	4	210	fermion	2^3·13
105	7.319783836617e-6	0	8	192	3	3	192	fermion	3·5·7
106	7.209930230462e-6	0	4	162	2	2	162	fermion	2·53
107	9.557913914575e-6	1	2	108	1	1	108	excited boson	107 (prime)
108	1.268160870846e-5	0	12	280	2	5	280	heavy fermion	2^2·3^3
109	6.457409974384e-6	1	2	110	1	1	110	excited boson	109 (prime)
110	1.595143024413e-6	0	8	216	3	3	216	spectator	2·5·11
111	6.395243558219e-10	0	4	152	2	2	152	spectator	3·37
112	4.726473550011e-7	0	10	248	2	5	248	spectator	2^4·7
113	5.975054327629e-8	1	2	114	1	1	114	gauge boson (light)	113 (prime)
114	1.760209122429e-6	0	8	240	3	3	240	spectator	2·3·19
115	1.681375995061e-6	0	4	144	2	2	144	spectator	5·23
116	7.939943184024e-7	0	6	210	2	3	210	spectator	2^2·29
117	9.397062925980e-6	0	6	182	2	3	182	heavy fermion	3^2·13
118	3.804352867875e-5	0	4	180	2	2	180	heavy fermion	2·59
119	2.317795314215e-5	0	4	144	2	2	144	heavy fermion	7·17
120	1.258485580933e-5	0	16	360	3	5	360	heavy fermion	2^3·3·5
121	9.432337507258e-8	0	3	133	1	2	133	spectator	11^2
122	8.686381462126e-6	0	4	186	2	2	186	heavy fermion	2·61
123	5.327739686655e-6	0	4	168	2	2	168	fermion	3·41
124	3.246874072179e-6	0	6	224	2	3	224	light fermion	2^2·31
125	7.454819818876e-8	0	4	156	1	3	156	spectator	5^3
126	1.021905811382e-5	0	12	312	3	4	312	heavy fermion	2·3^2·7
127	1.465173724002e-5	1	2	128	1	1	128	excited boson	127 (prime)
128	5.474776308541e-6	0	8	255	1	7	255	fermion	2^7
129	1.846501158037e-6	0	4	176	2	2	176	spectator	3·43
130	1.299428973901e-6	0	8	252	3	3	252	spectator	2·5·13
131	1.268149070882e-5	1	2	132	1	1	132	excited boson	131 (prime)
132	8.662344700968e-6	0	12	336	3	4	336	heavy fermion	2^2·3·11
133	9.025952908978e-6	0	4	160	2	2	160	heavy fermion	7·19
134	2.403131462390e-6	0	4	204	2	2	204	spectator	2·67
135	2.796206340277e-5	0	8	240	2	4	240	heavy fermion	3^3·5
136	4.065604220016e-5	0	8	270	2	4	270	heavy fermion	2^3·17
137	6.869594314894e-6	1	2	138	1	1	138	excited boson	137 (prime)
138	5.136698610668e-7	0	8	288	3	3	288	spectator	2·3·23
139	3.192221764373e-7	1	2	140	1	1	140	gauge boson (light)	139 (prime)
140	1.312269219223e-6	0	12	336	3	4	336	spectator	2^2·5·7
141	2.924851084985e-6	0	4	192	2	2	192	light fermion	3·47
142	5.609514884892e-6	0	4	216	2	2	216	fermion	2·71
143	2.065369293426e-6	0	4	168	2	2	168	spectator	11·13
144	9.133418031162e-5	0	15	403	2	6	403	heavy fermion	2^4·3^2
145	2.304220923950e-5	0	4	180	2	2	180	heavy fermion	5·29
146	3.082126397153e-6	0	4	222	2	2	222	light fermion	2·73
147	1.264291708796e-6	0	6	228	2	3	228	spectator	3·7^2
148	3.241922224238e-6	0	6	266	2	3	266	light fermion	2^2·37
149	1.251231803480e-5	1	2	150	1	1	150	excited boson	149 (prime)
150	8.859509774153e-5	0	12	372	3	4	372	heavy fermion	2·3·5^2
151	3.826973015052e-5	1	2	152	1	1	152	excited boson	151 (prime)
152	5.784535237361e-9	0	8	300	2	4	300	spectator	2^3·19
153	2.474899240091e-5	0	6	234	2	3	234	heavy fermion	3^2·17
154	2.331039552664e-5	0	8	288	3	3	288	heavy fermion	2·7·11
155	6.382357632409e-6	0	4	192	2	2	192	fermion	5·31
156	4.484071863112e-5	0	12	392	3	4	392	heavy fermion	2^2·3·13
157	1.393650090370e-5	1	2	158	1	1	158	excited boson	157 (prime)
158	1.067419120781e-9	0	4	240	2	2	240	spectator	2·79
159	6.962293353027e-6	0	4	216	2	2	216	fermion	3·53
160	2.817227994306e-5	0	12	378	2	6	378	heavy fermion	2^5·5
161	3.043846267436e-5	0	4	192	2	2	192	heavy fermion	7·23
162	6.751642978041e-5	0	10	363	2	5	363	heavy fermion	2·3^4
163	2.213151289536e-5	1	2	164	1	1	164	excited boson	163 (prime)
164	6.841094172701e-7	0	6	294	2	3	294	spectator	2^2·41
165	3.717894615186e-5	0	8	288	3	3	288	heavy fermion	3·5·11
166	3.450962752269e-5	0	4	252	2	2	252	heavy fermion	2·83
167	6.932187320074e-6	1	2	168	1	1	168	excited boson	167 (prime)
168	9.341546857732e-5	0	16	480	3	5	480	heavy fermion	2^3·3·7
169	6.111868123318e-5	0	3	183	1	2	183	heavy fermion	13^2
170	2.762226400281e-6	0	8	324	3	3	324	spectator	2·5·17
171	1.284088982448e-8	0	6	260	2	3	260	spectator	3^2·19
172	9.493051921240e-6	0	6	308	2	3	308	heavy fermion	2^2·43
173	1.043893594275e-6	1	2	174	1	1	174	gauge boson (light)	173 (prime)
174	4.199460049665e-5	0	8	360	3	3	360	heavy fermion	2·3·29
175	1.906175093075e-6	0	6	248	2	3	248	spectator	5^2·7
176	5.510514157387e-6	0	10	372	2	5	372	fermion	2^4·11
177	9.544710594491e-7	0	4	240	2	2	240	spectator	3·59
178	8.834141197420e-6	0	4	270	2	2	270	heavy fermion	2·89
179	2.274326242197e-6	1	2	180	1	1	180	gauge boson	179 (prime)
180	8.058520695915e-5	0	18	546	3	5	546	heavy fermion	2^2·3^2·5
181	3.256501491519e-5	1	2	182	1	1	182	excited boson	181 (prime)
182	8.308372437055e-5	0	8	336	3	3	336	heavy fermion	2·7·13
183	9.090704262704e-5	0	4	248	2	2	248	heavy fermion	3·61
184	3.137267826963e-5	0	8	360	2	4	360	heavy fermion	2^3·23
185	6.261905805768e-5	0	4	228	2	2	228	heavy fermion	5·37
186	2.722090608425e-5	0	8	384	3	3	384	heavy fermion	2·3·31
187	5.415382699221e-5	0	4	216	2	2	216	heavy fermion	11·17
188	1.352288182636e-5	0	6	336	2	3	336	heavy fermion	2^2·47
189	8.387344470528e-5	0	8	320	2	4	320	heavy fermion	3^3·7
190	1.413556731586e-5	0	8	360	3	3	360	heavy fermion	2·5·19
191	2.284247095722e-6	1	2	192	1	1	192	gauge boson	191 (prime)
192	1.232800578671e-5	0	14	508	2	7	508	heavy fermion	2^6·3
193	2.347795236181e-6	1	2	194	1	1	194	gauge boson	193 (prime)
194	4.298279673066e-5	0	4	294	2	2	294	heavy fermion	2·97
195	4.765243844343e-5	0	8	336	3	3	336	heavy fermion	3·5·13
196	6.462868487160e-5	0	9	399	2	4	399	heavy fermion	2^2·7^2
197	7.460450002849e-5	1	2	198	1	1	198	excited boson	197 (prime)
198	5.439491923104e-5	0	12	468	3	4	468	heavy fermion	2·3^2·11
199	8.981625851880e-6	1	2	200	1	1	200	excited boson	199 (prime)
200	4.384478630590e-6	0	12	465	2	5	465	fermion	2^3·5^2
201	1.210020395468e-4	0	4	272	2	2	272	heavy fermion	3·67
202	1.609657389409e-4	0	4	306	2	2	306	heavy fermion	2·101
203	1.184327278405e-4	0	4	240	2	2	240	heavy fermion	7·29
204	6.861023101354e-5	0	12	504	3	4	504	heavy fermion	2^2·3·17
205	5.475475676925e-6	0	4	252	2	2	252	fermion	5·41
206	1.719816721005e-5	0	4	312	2	2	312	heavy fermion	2·103
207	8.948072703560e-6	0	6	312	2	3	312	heavy fermion	3^2·23
208	3.408757377226e-5	0	10	434	2	5	434	heavy fermion	2^4·13
209	1.819033784848e-5	0	4	240	2	2	240	heavy fermion	11·19
210	1.478268333536e-6	0	16	576	4	4	576	spectator	2·3·5·7
211	5.016231954633e-6	1	2	212	1	1	212	excited boson	211 (prime)
212	3.019011583951e-6	0	6	378	2	3	378	light fermion	2^2·53
213	1.822644371369e-5	0	4	288	2	2	288	heavy fermion	3·71
214	8.750272058150e-7	0	4	324	2	2	324	spectator	2·107
215	1.166832417850e-5	0	4	264	2	2	264	heavy fermion	5·43
216	5.678396169231e-5	0	16	600	2	6	600	heavy fermion	2^3·3^3
217	8.689271647958e-5	0	4	256	2	2	256	heavy fermion	7·31
218	2.406507815853e-5	0	4	330	2	2	330	heavy fermion	2·109
219	5.108781820757e-6	0	4	296	2	2	296	fermion	3·73
220	4.451695614273e-5	0	12	504	3	4	504	heavy fermion	2^2·5·11
221	4.795140381689e-5	0	4	252	2	2	252	heavy fermion	13·17
222	6.644549581944e-5	0	8	456	3	3	456	heavy fermion	2·3·37
223	3.551332811898e-4	1	2	224	1	1	224	excited boson	223 (prime)
224	1.618291905118e-4	0	12	504	2	6	504	heavy fermion	2^5·7
225	6.916051607248e-4	0	9	403	2	4	403	heavy fermion	3^2·5^2
226	6.360090844160e-4	0	4	342	2	2	342	heavy fermion	2·113
227	7.506986651403e-5	1	2	228	1	1	228	excited boson	227 (prime)
228	3.802298670123e-4	0	12	560	3	4	560	heavy fermion	2^2·3·19
229	3.593660483511e-4	1	2	230	1	1	230	excited boson	229 (prime)
230	2.325802545970e-4	0	8	432	3	3	432	heavy fermion	2·5·23
231	1.403670101741e-3	0	8	384	3	3	384	heavy fermion	3·7·11
232	3.794148247657e-5	0	8	450	2	4	450	heavy fermion	2^3·29
233	1.240704958065e-3	1	2	234	1	1	234	excited boson	233 (prime)
234	8.097068377344e-4	0	12	546	3	4	546	heavy fermion	2·3^2·13
235	5.522501559339e-4	0	4	288	2	2	288	heavy fermion	5·47
236	1.439401888581e-3	0	6	420	2	3	420	heavy fermion	2^2·59
237	2.088907751779e-4	0	4	320	2	2	320	heavy fermion	3·79
238	1.799034638793e-3	0	8	432	3	3	432	heavy fermion	2·7·17
239	6.260228144881e-5	1	2	240	1	1	240	excited boson	239 (prime)
240	2.272401529875e-3	0	20	744	3	6	744	heavy fermion	2^4·3·5
241	3.386236299733e-5	1	2	242	1	1	242	excited boson	241 (prime)
242	2.438068728736e-3	0	6	399	2	3	399	heavy fermion	2·11^2
243	2.400356733001e-3	0	6	364	1	5	364	heavy fermion	3^5
244	1.311842942027e-4	0	6	434	2	3	434	heavy fermion	2^2·61
245	4.120258200419e-3	0	6	342	2	3	342	heavy fermion	5·7^2
246	7.756531261345e-4	0	8	504	3	3	504	heavy fermion	2·3·41
247	3.574967593827e-3	0	4	280	2	2	280	heavy fermion	13·19
248	5.793520116664e-3	0	8	480	2	4	480	heavy fermion	2^3·31
249	8.038999791599e-5	0	4	336	2	2	336	heavy fermion	3·83
250	7.717506554374e-3	0	8	468	2	4	468	heavy fermion	2·5^3
251	6.734020705621e-3	1	2	252	1	1	252	excited boson	251 (prime)
252	1.356571903159e-7	0	18	728	3	5	728	spectator	2^2·3^2·7
253	5.885855011731e-3	0	4	288	2	2	288	heavy fermion	11·23
254	4.793785114365e-3	0	4	384	2	2	384	heavy fermion	2·127
255	2.507309459944e-4	0	8	432	3	3	432	heavy fermion	3·5·17
256	8.070693301812e-4	0	9	511	1	8	511	heavy fermion	2^8
257	1.162877789448e-3	1	2	258	1	1	258	excited boson	257 (prime)
258	1.007495379367e-4	0	8	528	3	3	528	heavy fermion	2·3·43
259	5.551632579685e-6	0	4	304	2	2	304	fermion	7·37
260	1.788396561491e-5	0	12	588	3	4	588	heavy fermion	2^2·5·13
261	1.302862445642e-5	0	6	390	2	3	390	heavy fermion	3^2·29
262	1.059414747480e-4	0	4	396	2	2	396	heavy fermion	2·131
263	7.354157909030e-7	1	2	264	1	1	264	gauge boson (light)	263 (prime)
264	5.435097668232e-5	0	16	720	3	5	720	heavy fermion	2^3·3·11
265	1.540321231263e-4	0	4	324	2	2	324	heavy fermion	5·53
266	3.775045546307e-4	0	8	480	3	3	480	heavy fermion	2·7·19
267	6.373534147531e-5	0	4	360	2	2	360	heavy fermion	3·89
268	1.032424265297e-4	0	6	476	2	3	476	heavy fermion	2^2·67
269	1.314753869412e-4	1	2	270	1	1	270	excited boson	269 (prime)
270	1.887960598554e-6	0	16	720	3	5	720	spectator	2·3^3·5
271	2.076715289379e-5	1	2	272	1	1	272	excited boson	271 (prime)
272	1.396460134561e-7	0	10	558	2	5	558	spectator	2^4·17
273	8.659564858463e-7	0	8	448	3	3	448	spectator	3·7·13
274	1.546279955399e-5	0	4	414	2	2	414	heavy fermion	2·137
275	8.317036338815e-6	0	6	372	2	3	372	fermion	5^2·11
276	5.468412196647e-6	0	12	672	3	4	672	fermion	2^2·3·23
277	3.487127294308e-5	1	2	278	1	1	278	excited boson	277 (prime)
278	2.187391345363e-7	0	4	420	2	2	420	spectator	2·139
279	1.392220605206e-4	0	6	416	2	3	416	heavy fermion	3^2·31
280	9.357200489654e-6	0	16	720	3	5	720	heavy fermion	2^3·5·7
281	2.375836928998e-8	1	2	282	1	1	282	gauge boson (light)	281 (prime)
282	1.157106777469e-4	0	8	576	3	3	576	heavy fermion	2·3·47
283	3.334067208861e-7	1	2	284	1	1	284	gauge boson (light)	283 (prime)
284	7.563599876408e-6	0	6	504	2	3	504	fermion	2^2·71
285	1.162100118625e-4	0	8	480	3	3	480	heavy fermion	3·5·19
286	4.177160845043e-5	0	8	504	3	3	504	heavy fermion	2·11·13
287	2.643671137155e-5	0	4	336	2	2	336	heavy fermion	7·41
288	1.260327186211e-4	0	18	819	2	7	819	heavy fermion	2^5·3^2
289	1.175658609439e-5	0	3	307	1	2	307	heavy fermion	17^2
290	8.068152490610e-5	0	8	540	3	3	540	heavy fermion	2·5·29
291	9.959465816881e-4	0	4	392	2	2	392	heavy fermion	3·97
292	5.807798696962e-4	0	6	518	2	3	518	heavy fermion	2^2·73
293	1.770283522260e-4	1	2	294	1	1	294	excited boson	293 (prime)
294	8.959655359188e-4	0	12	684	3	4	684	heavy fermion	2·3·7^2
295	2.464993989477e-5	0	4	360	2	2	360	heavy fermion	5·59
296	1.786941393635e-4	0	8	570	2	4	570	heavy fermion	2^3·37
297	9.820628531262e-6	0	8	480	2	4	480	heavy fermion	3^3·11
298	9.472237080004e-5	0	4	450	2	2	450	heavy fermion	2·149
299	1.102474199158e-5	0	4	336	2	2	336	heavy fermion	13·23
300	1.683157194181e-4	0	18	868	3	5	868	heavy fermion	2^2·3·5^2
301	7.982279865483e-5	0	4	352	2	2	352	heavy fermion	7·43
302	2.693056599256e-6	0	4	456	2	2	456	spectator	2·151
303	2.802771445766e-5	0	4	408	2	2	408	heavy fermion	3·101
304	7.200587531086e-7	0	10	620	2	5	620	spectator	2^4·19
305	1.165238393984e-4	0	4	372	2	2	372	heavy fermion	5·61
306	4.508349888168e-7	0	12	702	3	4	702	spectator	2·3^2·17
307	1.066921249011e-5	1	2	308	1	1	308	excited boson	307 (prime)
308	4.330256374612e-7	0	12	672	3	4	672	spectator	2^2·7·11
309	2.483702595866e-6	0	4	416	2	2	416	spectator	3·103
310	9.490703610309e-5	0	8	576	3	3	576	heavy fermion	2·5·31
311	8.184649327762e-5	1	2	312	1	1	312	excited boson	311 (prime)
312	1.656168369232e-4	0	16	840	3	5	840	heavy fermion	2^3·3·13
313	1.157209634711e-4	1	2	314	1	1	314	excited boson	313 (prime)
314	3.347841464943e-4	0	4	474	2	2	474	heavy fermion	2·157
315	1.937848101653e-4	0	12	624	3	4	624	heavy fermion	3^2·5·7
316	3.253335721924e-4	0	6	560	2	3	560	heavy fermion	2^2·79
317	1.821014386286e-5	1	2	318	1	1	318	excited boson	317 (prime)
318	6.678539732837e-4	0	8	648	3	3	648	heavy fermion	2·3·53
319	5.949281371896e-6	0	4	360	2	2	360	fermion	11·29
320	7.280017515844e-4	0	14	762	2	7	762	heavy fermion	2^6·5
321	5.940336469007e-7	0	4	432	2	2	432	spectator	3·107
322	9.987589004303e-4	0	8	576	3	3	576	heavy fermion	2·7·23
323	1.523045336053e-6	0	4	360	2	2	360	spectator	17·19
324	1.167226531581e-3	0	15	847	2	6	847	heavy fermion	2^2·3^4
325	3.311257509170e-5	0	6	434	2	3	434	heavy fermion	5^2·13
326	7.230551454402e-4	0	4	492	2	2	492	heavy fermion	2·163
327	3.499751871938e-4	0	4	440	2	2	440	heavy fermion	3·109
328	1.851871359544e-4	0	8	630	2	4	630	heavy fermion	2^3·41
329	3.441765888166e-4	0	4	384	2	2	384	heavy fermion	7·47
330	1.368656511099e-4	0	16	864	4	4	864	heavy fermion	2·3·5·11
331	3.707009695040e-4	1	2	332	1	1	332	excited boson	331 (prime)
332	1.801546245555e-4	0	6	588	2	3	588	heavy fermion	2^2·83
333	4.004747635594e-4	0	6	494	2	3	494	heavy fermion	3^2·37
334	1.790858907724e-5	0	4	504	2	2	504	heavy fermion	2·167
335	4.275877863862e-5	0	4	408	2	2	408	heavy fermion	5·67
336	1.760010442530e-5	0	20	992	3	6	992	heavy fermion	2^4·3·7
337	2.650617598035e-7	1	2	338	1	1	338	gauge boson (light)	337 (prime)
338	8.582983875146e-6	0	6	549	2	3	549	heavy fermion	2·13^2
339	3.644179441886e-5	0	4	456	2	2	456	heavy fermion	3·113
340	2.684843367740e-5	0	12	756	3	4	756	heavy fermion	2^2·5·17
341	1.809363681246e-4	0	4	384	2	2	384	heavy fermion	11·31
342	4.765129336623e-6	0	12	780	3	4	780	fermion	2·3^2·19
343	1.129147124210e-4	0	4	400	1	3	400	heavy fermion	7^3
344	2.916578997883e-4	0	8	660	2	4	660	heavy fermion	2^3·43
345	1.097980894136e-4	0	8	576	3	3	576	heavy fermion	3·5·23
346	3.409343546473e-5	0	4	522	2	2	522	heavy fermion	2·173
347	3.262508161893e-4	1	2	348	1	1	348	excited boson	347 (prime)
348	2.240558300494e-4	0	12	840	3	4	840	heavy fermion	2^2·3·29
349	2.621277728572e-5	1	2	350	1	1	350	excited boson	349 (prime)
350	1.818346985339e-4	0	12	744	3	4	744	heavy fermion	2·5^2·7
351	4.927788945285e-4	0	8	560	2	4	560	heavy fermion	3^3·13
352	1.499119134235e-4	0	12	756	2	6	756	heavy fermion	2^5·11
353	6.037537604974e-6	1	2	354	1	1	354	excited boson	353 (prime)
354	2.766525119742e-4	0	8	720	3	3	720	heavy fermion	2·3·59
355	3.532338083829e-4	0	4	432	2	2	432	heavy fermion	5·71
356	2.359859386012e-4	0	6	630	2	3	630	heavy fermion	2^2·89
357	1.061710269971e-5	0	8	576	3	3	576	heavy fermion	3·7·17
358	3.077204488473e-4	0	4	540	2	2	540	heavy fermion	2·179
359	5.565449372717e-4	1	2	360	1	1	360	excited boson	359 (prime)
360	2.238523166713e-4	0	24	1170	3	6	1170	heavy fermion	2^3·3^2·5
361	2.903475975992e-5	0	3	381	1	2	381	heavy fermion	19^2
362	4.698686465137e-4	0	4	546	2	2	546	heavy fermion	2·181
363	4.915457470460e-4	0	6	532	2	3	532	heavy fermion	3·11^2
364	2.085226524884e-4	0	12	784	3	4	784	heavy fermion	2^2·7·13
365	3.898161480709e-5	0	4	444	2	2	444	heavy fermion	5·73
366	6.037039636696e-4	0	8	744	3	3	744	heavy fermion	2·3·61
367	3.887656976346e-4	1	2	368	1	1	368	excited boson	367 (prime)
368	1.844596421226e-4	0	10	744	2	5	744	heavy fermion	2^4·23
369	6.669855792317e-5	0	6	546	2	3	546	heavy fermion	3^2·41
370	5.793151974519e-4	0	8	684	3	3	684	heavy fermion	2·5·37
371	3.813236577293e-4	0	4	432	2	2	432	heavy fermion	7·53
372	9.178291259445e-5	0	12	896	3	4	896	heavy fermion	2^2·3·31
373	1.741443421257e-4	1	2	374	1	1	374	excited boson	373 (prime)
374	7.003479738831e-4	0	8	648	3	3	648	heavy fermion	2·11·17
375	3.819722210888e-4	0	8	624	2	4	624	heavy fermion	3·5^3
376	1.391136769207e-6	0	8	720	2	4	720	spectator	2^3·47
377	3.683016177016e-4	0	4	420	2	2	420	heavy fermion	13·29
378	1.050774398175e-3	0	16	960	3	5	960	heavy fermion	2·3^3·7
379	1.167807982348e-4	1	2	380	1	1	380	excited boson	379 (prime)
380	2.633867324802e-4	0	12	840	3	4	840	heavy fermion	2^2·5·19
381	7.205472134097e-4	0	4	512	2	2	512	heavy fermion	3·127
382	2.704141124765e-4	0	4	576	2	2	576	heavy fermion	2·191
383	4.510163349686e-5	1	2	384	1	1	384	excited boson	383 (prime)
384	6.014871887955e-4	0	16	1020	2	8	1020	heavy fermion	2^7·3
385	2.967277344514e-4	0	8	576	3	3	576	heavy fermion	5·7·11
386	2.370264438237e-4	0	4	582	2	2	582	heavy fermion	2·193
387	6.767164915716e-4	0	6	572	2	3	572	heavy fermion	3^2·43
388	3.555484948855e-6	0	6	686	2	3	686	light fermion	2^2·97
389	7.529832476376e-4	1	2	390	1	1	390	excited boson	389 (prime)
390	1.402154059063e-4	0	16	1008	4	4	1008	heavy fermion	2·3·5·13
