k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
31	7.021533797641e-7	1	2	32	1	1	728	gauge boson (light)	31 (prime)
32	2.122019306543e-9	0	6	63	1	5	1359	spectator	2^5
33	7.895952210095e-10	0	4	48	2	2	1232	spectator	3·11
34	7.506487453394e-7	0	4	54	2	2	1109	spectator	2·17
35	8.251603490930e-6	0	4	48	2	2	1290	spectator	5·7
36	5.242727019579e-5	0	9	91	2	4	1821	fermion	2^2·3^2
37	1.238552863540e-5	1	2	38	1	1	722	gauge boson	37 (prime)
38	2.261779671335e-6	0	4	60	2	2	1119	spectator	2·19
39	7.828312355047e-7	0	4	56	2	2	1226	spectator	3·13
40	7.307004592073e-7	0	8	90	2	4	1759	spectator	2^3·5
41	1.601704626869e-7	1	2	42	1	1	718	gauge boson (light)	41 (prime)
42	2.596046416129e-6	0	8	96	3	3	1801	spectator	2·3·7
43	3.030491860837e-6	1	2	44	1	1	734	gauge boson (light)	43 (prime)
44	2.789613460398e-6	0	6	84	2	3	1475	spectator	2^2·11
45	4.852578611867e-6	0	6	78	2	3	1604	spectator	3^2·5
46	2.446709802866e-6	0	4	72	2	2	1103	spectator	2·23
47	8.665649536573e-6	1	2	48	1	1	720	gauge boson (light)	47 (prime)
48	2.108062680192e-5	0	10	124	2	5	1937	light fermion	2^4·3
49	8.282131376272e-7	0	3	57	1	2	1028	spectator	7^2
50	9.546535231765e-7	0	6	93	2	3	1509	spectator	2·5^2
51	4.476168171759e-8	0	4	72	2	2	1206	spectator	3·17
52	4.767749733659e-7	0	6	98	2	3	1455	spectator	2^2·13
53	3.445750071324e-7	1	2	54	1	1	710	gauge boson (light)	53 (prime)
54	1.277808699767e-5	0	8	120	2	4	1717	spectator	2·3^3
55	1.270229614227e-5	0	4	72	2	2	1304	spectator	5·11
56	5.525236185251e-6	0	8	120	2	4	1789	spectator	2^3·7
57	4.988876771675e-7	0	4	80	2	2	1238	spectator	3·19
58	3.641777246746e-6	0	4	90	2	2	1073	spectator	2·29
59	1.064012260078e-4	1	2	60	1	1	688	excited boson	59 (prime)
60	5.218681457439e-4	0	12	168	3	4	2317	heavy fermion	2^2·3·5
61	1.579024217359e-4	1	2	62	1	1	698	excited boson	61 (prime)
62	1.917792754574e-6	0	4	96	2	2	1077	spectator	2·31
63	2.160209019748e-5	0	6	104	2	3	1652	light fermion	3^2·7
64	6.005266497113e-6	0	7	127	1	6	1519	spectator	2^6
65	2.515803935158e-6	0	4	84	2	2	1302	spectator	5·13
66	3.757801640376e-7	0	8	144	3	3	1831	spectator	2·3·11
67	1.889871807929e-7	1	2	68	1	1	662	gauge boson (light)	67 (prime)
68	6.715873371798e-10	0	6	126	2	3	1435	spectator	2^2·17
69	2.250698284635e-6	0	4	96	2	2	1190	spectator	3·23
70	1.908814021240e-6	0	8	144	3	3	1903	spectator	2·5·7
71	1.366891180188e-6	1	2	72	1	1	678	gauge boson (light)	71 (prime)
72	6.216619686869e-5	0	12	195	2	5	2233	heavy fermion	2^3·3^2
73	8.986360985299e-7	1	2	74	1	1	686	gauge boson (light)	73 (prime)
74	1.029789088954e-5	0	4	114	2	2	1065	spectator	2·37
75	1.617285908235e-6	0	6	124	2	3	1638	spectator	3·5^2
76	2.956997623430e-6	0	6	140	2	3	1461	spectator	2^2·19
77	1.603658725792e-5	0	4	96	2	2	1324	spectator	7·11
78	9.071640808402e-7	0	8	168	3	3	1819	spectator	2·3·13
79	2.134486569713e-6	1	2	80	1	1	710	gauge boson (light)	79 (prime)
80	1.169081853613e-5	0	10	186	2	5	2079	spectator	2^4·5
81	8.046476024224e-6	0	5	121	1	4	1316	spectator	3^4
82	7.259834629466e-6	0	4	126	2	2	1037	spectator	2·41
83	7.674781957856e-6	1	2	84	1	1	644	gauge boson (light)	83 (prime)
84	1.043166636914e-7	0	12	224	3	4	2355	spectator	2^2·3·7
85	2.189361404820e-7	0	4	108	2	2	1258	spectator	5·17
86	4.778895361049e-6	0	4	132	2	2	1059	spectator	2·43
87	3.757586632230e-7	0	4	120	2	2	1166	spectator	3·29
88	1.212280876804e-5	0	8	180	2	4	1791	spectator	2^3·11
89	9.188982625450e-5	1	2	90	1	1	662	excited boson	89 (prime)
90	6.152923108069e-4	0	12	234	3	4	2383	heavy fermion	2·3^2·5
91	1.266808927798e-4	0	4	112	2	2	1298	heavy fermion	7·13
92	1.488594382492e-7	0	6	168	2	3	1433	spectator	2^2·23
93	3.333930487584e-7	0	4	128	2	2	1172	spectator	3·31
94	1.391718654798e-8	0	4	144	2	2	1057	spectator	2·47
95	1.100220496092e-6	0	4	120	2	2	1290	spectator	5·19
96	1.845273982717e-6	0	12	252	2	6	2209	spectator	2^5·3
97	1.128649287315e-6	1	2	98	1	1	686	gauge boson (light)	97 (prime)
98	1.597353463335e-6	0	6	171	2	3	1515	spectator	2·7^2
99	1.630907585960e-6	0	6	156	2	3	1670	spectator	3^2·11
100	9.876298284462e-6	0	9	217	2	4	1979	spectator	2^2·5^2
101	1.028987607543e-6	1	2	102	1	1	598	gauge boson (light)	101 (prime)
102	6.311413642964e-6	0	8	216	3	3	1759	spectator	2·3·17
103	8.898619388896e-6	1	2	104	1	1	602	gauge boson (light)	103 (prime)
104	9.280783671193e-6	0	8	210	2	4	1747	spectator	2^3·13
105	1.239544159542e-5	0	8	192	3	3	2066	spectator	3·5·7
106	1.474364346085e-5	0	4	162	2	2	1013	spectator	2·53
107	8.293595328045e-6	1	2	108	1	1	610	gauge boson (light)	107 (prime)
108	4.411767366285e-7	0	12	280	2	5	2235	spectator	2^2·3^3
109	8.375425679822e-6	1	2	110	1	1	614	gauge boson (light)	109 (prime)
110	4.686345976895e-6	0	8	216	3	3	1909	spectator	2·5·11
111	9.188108294163e-6	0	4	152	2	2	1130	spectator	3·37
112	5.178258443426e-6	0	10	248	2	5	2077	spectator	2^4·7
113	1.942571827714e-6	1	2	114	1	1	622	gauge boson (light)	113 (prime)
114	5.218205481066e-6	0	8	240	3	3	1801	spectator	2·3·19
115	4.108193879536e-6	0	4	144	2	2	1242	spectator	5·23
116	4.620765778247e-6	0	6	210	2	3	1383	spectator	2^2·29
117	3.193942324813e-6	0	6	182	2	3	1628	spectator	3^2·13
118	1.149285429441e-4	0	4	180	2	2	1003	heavy fermion	2·59
119	2.946692632155e-6	0	4	144	2	2	1278	spectator	7·17
120	3.131372614829e-4	0	16	360	3	5	2841	heavy fermion	2^3·3·5
121	6.168893796626e-8	0	3	133	1	2	968	spectator	11^2
122	1.339651738020e-4	0	4	186	2	2	1017	heavy fermion	2·61
123	1.848413163359e-7	0	4	168	2	2	1142	spectator	3·41
124	1.922365124510e-6	0	6	224	2	3	1395	spectator	2^2·31
125	1.026184412255e-5	0	4	156	1	3	1214	spectator	5^3
126	6.647693800487e-5	0	12	312	3	4	2437	heavy fermion	2·3^2·7
127	8.021217314802e-9	1	2	128	1	1	650	gauge boson (light)	127 (prime)
128	3.800913485562e-6	0	8	255	1	7	1647	spectator	2^7
129	1.048299863761e-5	0	4	176	2	2	1166	spectator	3·43
130	1.616750375813e-5	0	8	252	3	3	1921	spectator	2·5·13
131	1.324688334465e-5	1	2	132	1	1	658	gauge boson	131 (prime)
132	1.920730560840e-5	0	12	336	3	4	2397	spectator	2^2·3·11
133	8.444055192094e-5	0	4	160	2	2	1310	heavy fermion	7·19
134	2.637573068877e-4	0	4	204	2	2	927	heavy fermion	2·67
135	4.604845218868e-4	0	8	240	2	4	1910	heavy fermion	3^3·5
136	1.629601959047e-4	0	8	270	2	4	1695	heavy fermion	2^3·17
137	2.167210008892e-5	1	2	138	1	1	534	excited boson	137 (prime)
138	7.568621323155e-7	0	8	288	3	3	1717	spectator	2·3·23
139	3.255794069905e-5	1	2	140	1	1	536	excited boson	139 (prime)
140	5.063811997265e-5	0	12	336	3	4	2457	fermion	2^2·5·7
141	6.697408511457e-7	0	4	192	2	2	1076	spectator	3·47
142	3.362506978519e-5	0	4	216	2	2	947	fermion	2·71
143	5.516346511897e-4	0	4	168	2	2	1216	heavy fermion	11·13
144	1.718915809866e-3	0	15	403	2	6	2585	heavy fermion	2^4·3^2
145	4.392254720870e-4	0	4	180	2	2	1162	heavy fermion	5·29
146	7.858886591099e-5	0	4	222	2	2	957	heavy fermion	2·73
147	5.055004040636e-5	0	6	228	2	3	1592	fermion	3·7^2
148	8.308532142190e-7	0	6	266	2	3	1335	spectator	2^2·37
149	1.096726600945e-9	1	2	150	1	1	546	gauge boson (light)	149 (prime)
150	1.073472791243e-5	0	12	372	3	4	2399	spectator	2·3·5^2
151	2.307836705095e-5	1	2	152	1	1	548	excited boson	151 (prime)
152	2.547234751528e-5	0	8	300	2	4	1729	light fermion	2^3·19
153	6.283260410352e-6	0	6	234	2	3	1560	spectator	3^2·17
154	4.052695022858e-5	0	8	288	3	3	1915	fermion	2·7·11
155	9.182241514497e-6	0	4	192	2	2	1164	spectator	5·31
156	4.935052037334e-5	0	12	392	3	4	2337	fermion	2^2·3·13
157	4.547553666449e-6	1	2	158	1	1	554	gauge boson (light)	157 (prime)
158	2.212302949171e-6	0	4	240	2	2	987	spectator	2·79
159	1.337170848690e-5	0	4	216	2	2	1078	spectator	3·53
160	1.017404662760e-5	0	12	378	2	6	2319	spectator	2^5·5
161	2.183655681537e-7	0	4	192	2	2	1218	spectator	7·23
162	1.011748372554e-5	0	10	363	2	5	1933	spectator	2·3^4
163	1.554894873240e-5	1	2	164	1	1	560	gauge boson	163 (prime)
164	1.643739002803e-7	0	6	294	2	3	1315	spectator	2^2·41
165	8.716595405415e-6	0	8	288	3	3	2068	spectator	3·5·11
166	4.514119520802e-6	0	4	252	2	2	925	spectator	2·83
167	1.348344327599e-5	1	2	168	1	1	564	gauge boson	167 (prime)
168	1.756748576153e-4	0	16	480	3	5	2863	heavy fermion	2^3·3·7
169	5.360852789229e-5	0	3	183	1	2	902	fermion	13^2
170	4.294756362478e-5	0	8	324	3	3	1837	fermion	2·5·17
171	1.279191309756e-4	0	6	260	2	3	1604	heavy fermion	3^2·19
172	5.198375492759e-5	0	6	308	2	3	1341	fermion	2^2·43
173	7.560802910644e-7	1	2	174	1	1	570	gauge boson (light)	173 (prime)
174	1.271867367757e-6	0	8	360	3	3	1691	spectator	2·3·29
175	6.463302951511e-6	0	6	248	2	3	1710	spectator	5^2·7
176	2.309330732168e-6	0	10	372	2	5	2063	spectator	2^4·11
177	4.759989652116e-4	0	4	240	2	2	1068	heavy fermion	3·59
178	7.100980556313e-5	0	4	270	2	2	949	heavy fermion	2·89
179	1.941063496834e-3	1	2	180	1	1	576	excited boson	179 (prime)
180	2.224006866833e-2	0	18	546	3	5	3109	heavy fermion	2^2·3^2·5
181	1.656145966088e-3	1	2	182	1	1	578	excited boson	181 (prime)
182	1.908470064139e-4	0	8	336	3	3	1899	heavy fermion	2·7·13
183	1.214996205985e-3	0	4	248	2	2	1082	heavy fermion	3·61
184	3.007508571183e-4	0	8	360	2	4	1717	heavy fermion	2^3·23
185	3.136870346411e-5	0	4	228	2	2	1182	fermion	5·37
186	1.223012836776e-5	0	8	384	3	3	1711	spectator	2·3·31
187	3.072752125924e-5	0	4	216	2	2	1260	fermion	11·17
188	4.705020578763e-5	0	6	336	2	3	1347	fermion	2^2·47
189	5.589114806210e-4	0	8	320	2	4	1994	heavy fermion	3^3·7
190	3.427670253701e-4	0	8	360	3	3	1879	heavy fermion	2·5·19
191	2.446478620782e-4	1	2	192	1	1	588	excited boson	191 (prime)
192	1.854545255863e-4	0	14	508	2	7	2433	heavy fermion	2^6·3
193	1.385938072948e-5	1	2	194	1	1	590	gauge boson	193 (prime)
194	1.100449989130e-5	0	4	294	2	2	981	spectator	2·97
195	1.621151054364e-7	0	8	336	3	3	2078	spectator	3·5·13
196	2.405070753489e-5	0	9	399	2	4	1953	light fermion	2^2·7^2
197	3.152079708867e-10	1	2	198	1	1	594	gauge boson (light)	197 (prime)
198	1.117725438622e-5	0	12	468	3	4	2455	spectator	2·3^2·11
199	7.663534293477e-4	1	2	200	1	1	596	excited boson	199 (prime)
200	1.322754388233e-3	0	12	465	2	5	2399	heavy fermion	2^3·5^2
201	7.892176969967e-5	0	4	272	2	2	926	heavy fermion	3·67
202	9.961064592485e-6	0	4	306	2	2	797	spectator	2·101
203	1.588945073840e-6	0	4	240	2	2	1070	spectator	7·29
204	9.960997735483e-6	0	12	504	3	4	2213	spectator	2^2·3·17
205	2.765693912356e-5	0	4	252	2	2	1034	light fermion	5·41
206	7.126419188872e-6	0	4	312	2	2	801	spectator	2·103
207	5.976545411440e-6	0	6	312	2	3	1448	spectator	3^2·23
208	3.111797356613e-5	0	10	434	2	5	1939	fermion	2^4·13
209	6.961262736793e-5	0	4	240	2	2	1108	heavy fermion	11·19
210	4.659466432766e-5	0	16	576	4	4	3001	fermion	2·3·5·7
211	8.685874646776e-5	1	2	212	1	1	398	excited boson	211 (prime)
212	9.467132568030e-5	0	6	378	2	3	1211	heavy fermion	2^2·53
213	3.514984899222e-5	0	4	288	2	2	942	fermion	3·71
214	1.842365832174e-5	0	4	324	2	2	809	spectator	2·107
215	5.961322302904e-4	0	4	264	2	2	1050	heavy fermion	5·43
216	2.259448481278e-3	0	16	600	2	6	2647	heavy fermion	2^3·3^3
217	4.423103934053e-4	0	4	256	2	2	1064	heavy fermion	7·31
218	9.824999464422e-5	0	4	330	2	2	813	heavy fermion	2·109
219	1.048930736612e-4	0	4	296	2	2	950	heavy fermion	3·73
220	7.012974376397e-6	0	12	504	3	4	2419	spectator	2^2·5·11
221	5.736296301067e-6	0	4	252	2	2	1098	spectator	13·17
222	3.450888902151e-5	0	8	456	3	3	1603	fermion	2·3·37
223	3.155127348866e-5	1	2	224	1	1	398	excited boson	223 (prime)
224	1.464634347016e-6	0	12	504	2	6	2253	spectator	2^5·7
225	6.503571598672e-5	0	9	403	2	4	2064	heavy fermion	3^2·5^2
226	1.102114174420e-4	0	4	342	2	2	821	heavy fermion	2·113
227	3.376063894752e-5	1	2	228	1	1	398	excited boson	227 (prime)
228	1.162771865807e-4	0	12	560	3	4	2271	heavy fermion	2^2·3·19
229	2.309721686549e-4	1	2	230	1	1	398	excited boson	229 (prime)
230	7.229595560870e-5	0	8	432	3	3	1751	heavy fermion	2·5·23
231	4.593208095089e-5	0	8	384	3	3	2024	fermion	3·7·11
232	7.907344055756e-5	0	8	450	2	4	1579	heavy fermion	2^3·29
233	3.708952654284e-5	1	2	234	1	1	398	excited boson	233 (prime)
234	1.435994761977e-6	0	12	546	3	4	2347	spectator	2·3^2·13
235	1.111234071820e-4	0	4	288	2	2	1036	heavy fermion	5·47
236	6.891448739392e-4	0	6	420	2	3	1201	heavy fermion	2^2·59
237	4.976709025638e-4	0	4	320	2	2	974	heavy fermion	3·79
238	2.142129240914e-4	0	8	432	3	3	1799	heavy fermion	2·7·17
239	7.680242466459e-3	1	2	240	1	1	398	excited boson	239 (prime)
240	3.543231650517e-2	0	20	744	3	6	3273	heavy fermion	2^4·3·5
241	8.606983936356e-3	1	2	242	1	1	398	excited boson	241 (prime)
242	1.082599153621e-8	0	6	399	2	3	1337	spectator	2·11^2
243	3.188734216471e-4	0	6	364	1	5	1316	heavy fermion	3^5
244	9.456379773586e-4	0	6	434	2	3	1215	heavy fermion	2^2·61
245	1.175030507221e-4	0	6	342	2	3	1584	heavy fermion	5·7^2
246	3.023887081714e-5	0	8	504	3	3	1591	fermion	2·3·41
247	6.230175554334e-6	0	4	280	2	2	1106	spectator	13·19
248	1.731904038162e-5	0	8	480	2	4	1591	spectator	2^3·31
249	2.776179175854e-5	0	4	336	2	2	908	light fermion	3·83
250	4.984061745405e-6	0	8	468	2	4	1709	spectator	2·5^3
251	6.645121577995e-5	1	2	252	1	1	398	excited boson	251 (prime)
252	3.040229068593e-4	0	18	728	3	5	3111	heavy fermion	2^2·3^2·7
253	2.983333587927e-4	0	4	288	2	2	1100	heavy fermion	11·23
254	7.565657614399e-5	0	4	384	2	2	849	heavy fermion	2·127
255	2.462641856606e-5	0	8	432	3	3	1914	light fermion	3·5·17
256	1.363762008450e-5	0	9	511	1	8	1647	spectator	2^8
257	6.707962146579e-4	1	2	258	1	1	398	excited boson	257 (prime)
258	4.204584865891e-4	0	8	528	3	3	1621	heavy fermion	2·3·43
259	7.491259063509e-6	0	4	304	2	2	1058	spectator	7·37
260	9.323827153586e-6	0	12	588	3	4	2415	spectator	2^2·5·13
261	2.797663258052e-5	0	6	390	2	3	1424	light fermion	3^2·29
262	2.246416725539e-5	0	4	396	2	2	857	light fermion	2·131
263	1.349019442167e-5	1	2	264	1	1	398	gauge boson	263 (prime)
264	2.880298172578e-4	0	16	720	3	5	2833	heavy fermion	2^3·3·11
265	4.278881625501e-5	0	4	324	2	2	1026	fermion	5·53
266	4.113572813250e-5	0	8	480	3	3	1833	fermion	2·7·19
267	4.062956091457e-6	0	4	360	2	2	926	spectator	3·89
268	4.068039517858e-5	0	6	476	2	3	1125	fermion	2^2·67
269	4.066109258644e-3	1	2	270	1	1	398	excited boson	269 (prime)
270	2.090944005666e-2	0	16	720	3	5	2797	heavy fermion	2·3^3·5
271	5.022298042623e-3	1	2	272	1	1	398	excited boson	271 (prime)
272	9.018568029052e-7	0	10	558	2	5	1887	spectator	2^4·17
273	9.806899698854e-5	0	8	448	3	3	1994	heavy fermion	3·7·13
274	8.702452306540e-5	0	4	414	2	2	733	heavy fermion	2·137
275	5.504190213055e-9	0	6	372	2	3	1604	spectator	5^2·11
276	2.826453925855e-5	0	12	672	3	4	2175	light fermion	2^2·3·23
277	4.202924340813e-5	1	2	278	1	1	398	excited boson	277 (prime)
278	4.429686215268e-5	0	4	420	2	2	735	fermion	2·139
279	3.888445156906e-5	0	6	416	2	3	1430	fermion	3^2·31
280	2.781475182296e-4	0	16	720	3	5	2941	heavy fermion	2^3·5·7
281	2.409256596502e-5	1	2	282	1	1	398	excited boson	281 (prime)
282	6.931555895738e-7	0	8	576	3	3	1543	spectator	2·3·47
283	1.673787743041e-5	1	2	284	1	1	398	gauge boson	283 (prime)
284	4.694822659211e-6	0	6	504	2	3	1145	spectator	2^2·71
285	1.098170657086e-6	0	8	480	3	3	1970	spectator	3·5·19
286	7.029119918444e-4	0	8	504	3	3	1753	heavy fermion	2·11·13
287	7.087933247813e-4	0	4	336	2	2	1054	heavy fermion	7·41
288	1.736798162491e-4	0	18	819	2	7	2857	heavy fermion	2^5·3^2
289	8.393847145283e-4	0	3	307	1	2	750	heavy fermion	17^2
290	6.083295444479e-4	0	8	540	3	3	1657	heavy fermion	2·5·29
291	5.069150962096e-5	0	4	392	2	2	950	fermion	3·97
292	5.207138351393e-6	0	6	518	2	3	1155	spectator	2^2·73
293	1.814919265015e-4	1	2	294	1	1	398	excited boson	293 (prime)
294	2.225264533206e-4	0	12	684	3	4	2305	heavy fermion	2·3·7^2
295	2.474870994999e-5	0	4	360	2	2	1004	light fermion	5·59
296	8.645094621245e-6	0	8	570	2	4	1531	spectator	2^3·37
297	8.852791448224e-5	0	8	480	2	4	1904	heavy fermion	3^3·11
298	4.196239222767e-4	0	4	450	2	2	745	heavy fermion	2·149
299	1.103540712488e-4	0	4	336	2	2	1098	heavy fermion	13·23
300	2.967924674484e-6	0	18	868	3	5	3077	spectator	2^2·3·5^2
301	6.761223989408e-6	0	4	352	2	2	1070	spectator	7·43
302	2.198378049179e-5	0	4	456	2	2	747	light fermion	2·151
303	6.872923712521e-8	0	4	408	2	2	862	spectator	3·101
304	9.457408446043e-6	0	10	620	2	5	1921	spectator	2^4·19
305	2.717805014716e-6	0	4	372	2	2	1014	spectator	5·61
306	4.760192366879e-5	0	12	702	3	4	2239	fermion	2·3^2·17
307	1.853672527018e-4	1	2	308	1	1	398	excited boson	307 (prime)
308	3.232920805039e-4	0	12	672	3	4	2429	heavy fermion	2^2·7·11
309	7.743541051502e-5	0	4	416	2	2	866	heavy fermion	3·103
310	3.848857162659e-5	0	8	576	3	3	1669	fermion	2·5·31
311	2.882771898615e-8	1	2	312	1	1	398	gauge boson (light)	311 (prime)
312	2.042743046238e-5	0	16	840	3	5	2749	light fermion	2^3·3·13
313	8.131633630757e-5	1	2	314	1	1	398	excited boson	313 (prime)
314	5.378379473729e-4	0	4	474	2	2	753	heavy fermion	2·157
315	1.058581293789e-3	0	12	624	3	4	2672	heavy fermion	3^2·5·7
316	6.036852836811e-4	0	6	560	2	3	1185	heavy fermion	2^2·79
317	1.989914251101e-5	1	2	318	1	1	398	excited boson	317 (prime)
318	1.180806675956e-4	0	8	648	3	3	1511	heavy fermion	2·3·53
319	1.407857211389e-5	0	4	360	2	2	1084	spectator	11·29
320	7.720633045533e-4	0	14	762	2	7	2479	heavy fermion	2^6·5
321	8.823286644463e-6	0	4	432	2	2	874	spectator	3·107
322	4.720038571742e-4	0	8	576	3	3	1733	heavy fermion	2·7·23
323	3.768208269086e-6	0	4	360	2	2	1110	spectator	17·19
324	6.661741195634e-4	0	15	847	2	6	2451	heavy fermion	2^2·3^4
325	4.120716461690e-5	0	6	434	2	3	1602	fermion	5^2·13
326	1.123400000598e-5	0	4	492	2	2	759	spectator	2·163
327	1.782719736717e-5	0	4	440	2	2	878	spectator	3·109
328	2.325261733404e-7	0	8	630	2	4	1511	spectator	2^3·41
329	2.500114378120e-5	0	4	384	2	2	1056	light fermion	7·47
330	3.862870075520e-5	0	16	864	4	4	2999	fermion	2·3·5·11
331	5.977917180048e-7	1	2	332	1	1	398	gauge boson (light)	331 (prime)
332	1.023395152237e-5	0	6	588	2	3	1123	spectator	2^2·83
333	3.558033619758e-6	0	6	494	2	3	1388	spectator	3^2·37
334	6.450792205218e-5	0	4	504	2	2	763	heavy fermion	2·167
335	1.409458909957e-5	0	4	408	2	2	978	spectator	5·67
336	1.010989529272e-3	0	20	992	3	6	3263	heavy fermion	2^4·3·7
337	6.051319332548e-5	1	2	338	1	1	398	excited boson	337 (prime)
338	1.983616647443e-5	0	6	549	2	3	1269	light fermion	2·13^2
339	1.750227234498e-4	0	4	456	2	2	886	heavy fermion	3·113
340	2.310995056425e-4	0	12	756	3	4	2315	heavy fermion	2^2·5·17
341	2.082610340321e-5	0	4	384	2	2	1078	light fermion	11·31
342	9.881860049591e-4	0	12	780	3	4	2293	heavy fermion	2·3^2·19
343	6.193616971430e-4	0	4	400	1	3	1028	heavy fermion	7^3
344	5.140347760063e-5	0	8	660	2	4	1537	fermion	2^3·43
345	1.763613935656e-5	0	8	576	3	3	1882	spectator	3·5·23
346	3.831939146972e-5	0	4	522	2	2	769	fermion	2·173
347	2.518879574472e-5	1	2	348	1	1	398	excited boson	347 (prime)
348	1.002472851061e-4	0	12	840	3	4	2129	heavy fermion	2^2·3·29
349	5.069876991199e-6	1	2	350	1	1	398	gauge boson (light)	349 (prime)
350	5.246380290315e-6	0	12	744	3	4	2463	spectator	2·5^2·7
351	2.373859142295e-4	0	8	560	2	4	1862	heavy fermion	3^3·13
352	6.246188612811e-4	0	12	756	2	6	2239	heavy fermion	2^5·11
353	2.682699838513e-3	1	2	354	1	1	398	excited boson	353 (prime)
354	8.370172358263e-3	0	8	720	3	3	1513	heavy fermion	2·3·59
355	1.831750601930e-3	0	4	432	2	2	994	heavy fermion	5·71
356	1.341256493252e-4	0	6	630	2	3	1147	heavy fermion	2^2·89
357	2.597201610268e-3	0	8	576	3	3	1950	heavy fermion	3·7·17
358	2.402397839254e-3	0	4	540	2	2	775	heavy fermion	2·179
359	1.297721889958e-1	1	2	360	1	1	398	excited boson	359 (prime)
360	5.279352720776e-1	0	24	1170	3	6	3729	heavy fermion	2^3·3^2·5
361	1.289663970273e-1	0	3	381	1	2	758	heavy fermion	19^2
362	9.202463973588e-4	0	4	546	2	2	777	heavy fermion	2·181
363	2.084752933364e-5	0	6	532	2	3	1452	light fermion	3·11^2
364	1.776215120920e-3	0	12	784	3	4	2397	heavy fermion	2^2·7·13
365	7.838916516503e-3	0	4	444	2	2	1002	heavy fermion	5·73
366	1.927292449477e-2	0	8	744	3	3	1531	heavy fermion	2·3·61
367	3.174829520964e-3	1	2	368	1	1	398	excited boson	367 (prime)
368	1.013841444418e-4	0	10	744	2	5	1909	heavy fermion	2^4·23
369	1.563876521493e-5	0	6	546	2	3	1400	spectator	3^2·41
370	2.194012179880e-5	0	8	684	3	3	1681	light fermion	2·5·37
371	3.437652212510e-5	0	4	432	2	2	1046	fermion	7·53
372	1.693319247846e-4	0	12	896	3	4	2157	heavy fermion	2^2·3·31
373	3.576265114445e-4	1	2	374	1	1	398	excited boson	373 (prime)
374	9.826196763109e-5	0	8	648	3	3	1789	heavy fermion	2·11·17
375	7.162851092540e-6	0	8	624	2	4	1838	spectator	3·5^3
376	9.025759207614e-6	0	8	720	2	4	1543	spectator	2^3·47
377	1.229836803066e-3	0	4	420	2	2	1082	heavy fermion	13·29
378	7.673663576351e-3	0	16	960	3	5	2887	heavy fermion	2·3^3·7
379	7.994333170042e-4	1	2	380	1	1	398	excited boson	379 (prime)
380	1.022633766992e-3	0	12	840	3	4	2373	heavy fermion	2^2·5·19
381	2.182357943943e-4	0	4	512	2	2	914	heavy fermion	3·127
382	8.557000337321e-5	0	4	576	2	2	787	heavy fermion	2·191
383	1.377988631302e-4	1	2	384	1	1	398	excited boson	383 (prime)
384	4.980432021971e-5	0	16	1020	2	8	2561	fermion	2^7·3
385	1.571324355352e-5	0	8	576	3	3	2120	spectator	5·7·11
386	1.309068315884e-4	0	4	582	2	2	789	heavy fermion	2·193
387	2.109213049126e-4	0	6	572	2	3	1424	heavy fermion	3^2·43
388	2.260436645216e-6	0	6	686	2	3	1179	spectator	2^2·97
