k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
53	1.166078830511e-7	1	2	54	1	1	54	gauge boson (light)	53 (prime)
54	4.875591074944e-9	0	8	120	2	4	120	spectator	2·3^3
55	1.712427062777e-7	0	4	72	2	2	72	spectator	5·11
56	5.872559942121e-7	0	8	120	2	4	120	spectator	2^3·7
57	1.250392402800e-6	0	4	80	2	2	80	spectator	3·19
58	3.795315121348e-7	0	4	90	2	2	90	spectator	2·29
59	2.749779317553e-7	1	2	60	1	1	60	gauge boson (light)	59 (prime)
60	5.703009049333e-8	0	12	168	3	4	168	spectator	2^2·3·5
61	8.797687268124e-8	1	2	62	1	1	62	gauge boson (light)	61 (prime)
62	3.794722524802e-8	0	4	96	2	2	96	spectator	2·31
63	4.400574126262e-8	0	6	104	2	3	104	spectator	3^2·7
64	3.526953084186e-7	0	7	127	1	6	127	spectator	2^6
65	5.037329720527e-7	0	4	84	2	2	84	spectator	5·13
66	2.658498310045e-6	0	8	144	3	3	144	spectator	2·3·11
67	3.411434303457e-6	1	2	68	1	1	68	gauge boson	67 (prime)
68	6.703985593321e-8	0	6	126	2	3	126	spectator	2^2·17
69	3.149452342058e-8	0	4	96	2	2	96	spectator	3·23
70	1.368626154209e-6	0	8	144	3	3	144	spectator	2·5·7
71	4.170644729612e-8	1	2	72	1	1	72	gauge boson (light)	71 (prime)
72	7.509475680536e-7	0	12	195	2	5	195	spectator	2^3·3^2
73	1.247226353546e-7	1	2	74	1	1	74	gauge boson (light)	73 (prime)
74	9.336437780195e-7	0	4	114	2	2	114	spectator	2·37
75	2.862105884263e-7	0	6	124	2	3	124	spectator	3·5^2
76	2.589962444097e-6	0	6	140	2	3	140	spectator	2^2·19
77	3.487265562756e-6	0	4	96	2	2	96	spectator	7·11
78	5.228463475254e-8	0	8	168	3	3	168	spectator	2·3·13
79	1.620690181469e-6	1	2	80	1	1	80	gauge boson (light)	79 (prime)
80	3.816480693909e-6	0	10	186	2	5	186	spectator	2^4·5
81	4.719914186702e-6	0	5	121	1	4	121	spectator	3^4
82	5.314832832851e-8	0	4	126	2	2	126	spectator	2·41
83	5.139282191268e-6	1	2	84	1	1	84	excited boson	83 (prime)
84	1.924062040175e-6	0	12	224	3	4	224	spectator	2^2·3·7
85	1.454681135016e-7	0	4	108	2	2	108	spectator	5·17
86	6.272885199827e-7	0	4	132	2	2	132	spectator	2·43
87	1.304175243955e-6	0	4	120	2	2	120	spectator	3·29
88	4.283336045616e-6	0	8	180	2	4	180	spectator	2^3·11
89	1.805909707153e-7	1	2	90	1	1	90	gauge boson (light)	89 (prime)
90	3.059075110508e-7	0	12	234	3	4	234	spectator	2·3^2·5
91	6.157677547570e-8	0	4	112	2	2	112	spectator	7·13
92	2.871048885726e-8	0	6	168	2	3	168	spectator	2^2·23
93	1.146183069454e-7	0	4	128	2	2	128	spectator	3·31
94	8.204747040784e-8	0	4	144	2	2	144	spectator	2·47
95	6.779295885535e-7	0	4	120	2	2	120	spectator	5·19
96	5.585468456613e-7	0	12	252	2	6	252	spectator	2^5·3
97	1.126127239651e-6	1	2	98	1	1	98	gauge boson (light)	97 (prime)
98	5.384769875473e-7	0	6	171	2	3	171	spectator	2·7^2
99	8.660147855427e-7	0	6	156	2	3	156	spectator	3^2·11
100	2.859081802108e-6	0	9	217	2	4	217	spectator	2^2·5^2
101	6.286939635347e-7	1	2	102	1	1	102	gauge boson (light)	101 (prime)
102	2.365746968841e-6	0	8	216	3	3	216	spectator	2·3·17
103	9.541183047448e-6	1	2	104	1	1	104	excited boson	103 (prime)
104	2.287678901574e-5	0	8	210	2	4	210	heavy fermion	2^3·13
105	2.075872049322e-5	0	8	192	3	3	192	heavy fermion	3·5·7
106	4.268620519002e-6	0	4	162	2	2	162	spectator	2·53
107	3.338723158671e-6	1	2	108	1	1	108	gauge boson	107 (prime)
108	4.268616000254e-6	0	12	280	2	5	280	spectator	2^2·3^3
109	1.914108303217e-6	1	2	110	1	1	110	gauge boson (light)	109 (prime)
110	1.479038598196e-7	0	8	216	3	3	216	spectator	2·5·11
111	1.670743469045e-6	0	4	152	2	2	152	spectator	3·37
112	1.162648087143e-7	0	10	248	2	5	248	spectator	2^4·7
113	3.005484245148e-9	1	2	114	1	1	114	gauge boson (light)	113 (prime)
114	2.433024934021e-9	0	8	240	3	3	240	spectator	2·3·19
115	4.235986909196e-8	0	4	144	2	2	144	spectator	5·23
116	1.736275580233e-8	0	6	210	2	3	210	spectator	2^2·29
117	7.264152975141e-6	0	6	182	2	3	182	fermion	3^2·13
118	1.634760962830e-5	0	4	180	2	2	180	heavy fermion	2·59
119	1.078870302024e-6	0	4	144	2	2	144	spectator	7·17
120	5.369271722374e-6	0	16	360	3	5	360	light fermion	2^3·3·5
121	9.449860241725e-6	0	3	133	1	2	133	fermion	11^2
122	7.533546858591e-6	0	4	186	2	2	186	fermion	2·61
123	9.580016346170e-6	0	4	168	2	2	168	fermion	3·41
124	1.523683914407e-5	0	6	224	2	3	224	heavy fermion	2^2·31
125	1.164213803672e-5	0	4	156	1	3	156	fermion	5^3
126	7.693626623341e-6	0	12	312	3	4	312	fermion	2·3^2·7
127	3.492095145760e-6	1	2	128	1	1	128	gauge boson	127 (prime)
128	2.524613937328e-7	0	8	255	1	7	255	spectator	2^7
129	2.240007620293e-6	0	4	176	2	2	176	spectator	3·43
130	7.134384937123e-6	0	8	252	3	3	252	fermion	2·5·13
131	4.562033302220e-5	1	2	132	1	1	132	excited boson	131 (prime)
132	1.658790056814e-4	0	12	336	3	4	336	heavy fermion	2^2·3·11
133	5.192393429884e-5	0	4	160	2	2	160	heavy fermion	7·19
134	1.864832678972e-6	0	4	204	2	2	204	spectator	2·67
135	1.428445782544e-6	0	8	240	2	4	240	spectator	3^3·5
136	4.482850943185e-6	0	8	270	2	4	270	spectator	2^3·17
137	1.565659404805e-5	1	2	138	1	1	138	excited boson	137 (prime)
138	1.624006567782e-5	0	8	288	3	3	288	heavy fermion	2·3·23
139	1.689484923888e-5	1	2	140	1	1	140	excited boson	139 (prime)
140	1.579137131353e-5	0	12	336	3	4	336	heavy fermion	2^2·5·7
141	2.183049337223e-5	0	4	192	2	2	192	heavy fermion	3·47
142	1.435350092809e-6	0	4	216	2	2	216	spectator	2·71
143	2.257209654135e-5	0	4	168	2	2	168	heavy fermion	11·13
144	5.360289491448e-5	0	15	403	2	6	403	heavy fermion	2^4·3^2
145	3.664702819531e-5	0	4	180	2	2	180	heavy fermion	5·29
146	8.019307820019e-7	0	4	222	2	2	222	spectator	2·73
147	1.646779204596e-5	0	6	228	2	3	228	heavy fermion	3·7^2
148	2.945482358868e-5	0	6	266	2	3	266	heavy fermion	2^2·37
149	1.149482849691e-5	1	2	150	1	1	150	excited boson	149 (prime)
150	5.427393492835e-6	0	12	372	3	4	372	light fermion	2·3·5^2
151	1.186120907316e-5	1	2	152	1	1	152	excited boson	151 (prime)
152	1.409352200249e-5	0	8	300	2	4	300	fermion	2^3·19
153	5.629475045995e-5	0	6	234	2	3	234	heavy fermion	3^2·17
154	1.302804656061e-4	0	8	288	3	3	288	heavy fermion	2·7·11
155	9.755100543043e-5	0	4	192	2	2	192	heavy fermion	5·31
156	3.056642890867e-5	0	12	392	3	4	392	heavy fermion	2^2·3·13
157	2.000330197119e-6	1	2	158	1	1	158	gauge boson (light)	157 (prime)
158	1.050590157565e-8	0	4	240	2	2	240	spectator	2·79
159	1.464534593278e-5	0	4	216	2	2	216	heavy fermion	3·53
160	8.230621903647e-5	0	12	378	2	6	378	heavy fermion	2^5·5
161	3.128419961895e-5	0	4	192	2	2	192	heavy fermion	7·23
162	6.774525005471e-7	0	10	363	2	5	363	spectator	2·3^4
163	1.303996177278e-6	1	2	164	1	1	164	gauge boson (light)	163 (prime)
164	9.456299205902e-6	0	6	294	2	3	294	fermion	2^2·41
165	6.687909695734e-5	0	8	288	3	3	288	heavy fermion	3·5·11
166	8.571913391569e-5	0	4	252	2	2	252	heavy fermion	2·83
167	2.306353834804e-6	1	2	168	1	1	168	gauge boson (light)	167 (prime)
168	6.489630264221e-6	0	16	480	3	5	480	light fermion	2^3·3·7
169	5.082501973228e-7	0	3	183	1	2	183	spectator	13^2
170	3.082320418672e-7	0	8	324	3	3	324	spectator	2·5·17
171	1.577552222697e-6	0	6	260	2	3	260	spectator	3^2·19
172	2.043005460683e-6	0	6	308	2	3	308	spectator	2^2·43
173	8.187216957218e-7	1	2	174	1	1	174	gauge boson (light)	173 (prime)
174	6.306940149486e-6	0	8	360	3	3	360	light fermion	2·3·29
175	8.145340145643e-6	0	6	248	2	3	248	fermion	5^2·7
176	5.407960554705e-8	0	10	372	2	5	372	spectator	2^4·11
177	1.134218483533e-5	0	4	240	2	2	240	fermion	3·59
178	2.742586436632e-5	0	4	270	2	2	270	heavy fermion	2·89
179	6.257176069098e-6	1	2	180	1	1	180	excited boson	179 (prime)
180	1.332853322696e-5	0	18	546	3	5	546	fermion	2^2·3^2·5
181	3.477882611954e-5	1	2	182	1	1	182	excited boson	181 (prime)
182	7.224937357114e-6	0	8	336	3	3	336	fermion	2·7·13
183	1.373698420691e-8	0	4	248	2	2	248	spectator	3·61
184	4.130552845413e-6	0	8	360	2	4	360	spectator	2^3·23
185	1.636548276246e-5	0	4	228	2	2	228	heavy fermion	5·37
186	1.205997735929e-7	0	8	384	3	3	384	spectator	2·3·31
187	2.591443225370e-5	0	4	216	2	2	216	heavy fermion	11·17
188	7.286415889397e-6	0	6	336	2	3	336	fermion	2^2·47
189	1.313427177778e-5	0	8	320	2	4	320	fermion	3^3·7
190	6.417804194886e-6	0	8	360	3	3	360	light fermion	2·5·19
191	1.578939681002e-5	1	2	192	1	1	192	excited boson	191 (prime)
192	2.242083812653e-5	0	14	508	2	7	508	heavy fermion	2^6·3
193	6.850151762556e-7	1	2	194	1	1	194	gauge boson (light)	193 (prime)
194	7.600807409959e-6	0	4	294	2	2	294	fermion	2·97
195	5.033400242994e-7	0	8	336	3	3	336	spectator	3·5·13
196	9.192972038660e-6	0	9	399	2	4	399	fermion	2^2·7^2
197	9.674304335006e-6	1	2	198	1	1	198	excited boson	197 (prime)
198	1.289838466427e-4	0	12	468	3	4	468	heavy fermion	2·3^2·11
199	5.265116994106e-5	1	2	200	1	1	200	excited boson	199 (prime)
200	3.479019386215e-5	0	12	465	2	5	465	heavy fermion	2^3·5^2
201	7.563042070670e-5	0	4	272	2	2	272	heavy fermion	3·67
202	7.624361647361e-7	0	4	306	2	2	306	spectator	2·101
203	5.988585196157e-5	0	4	240	2	2	240	heavy fermion	7·29
204	2.043350552603e-5	0	12	504	3	4	504	heavy fermion	2^2·3·17
205	3.325964839824e-5	0	4	252	2	2	252	heavy fermion	5·41
206	2.527157932126e-4	0	4	312	2	2	312	heavy fermion	2·103
207	4.059578376826e-5	0	6	312	2	3	312	heavy fermion	3^2·23
208	1.246448556991e-5	0	10	434	2	5	434	fermion	2^4·13
209	7.330431973232e-5	0	4	240	2	2	240	heavy fermion	11·19
210	1.549858210877e-4	0	16	576	4	4	576	heavy fermion	2·3·5·7
211	2.095703515871e-6	1	2	212	1	1	212	gauge boson (light)	211 (prime)
212	2.023056882306e-5	0	6	378	2	3	378	heavy fermion	2^2·53
213	1.336635018580e-5	0	4	288	2	2	288	fermion	3·71
214	3.961613919856e-5	0	4	324	2	2	324	heavy fermion	2·107
215	6.551430614782e-8	0	4	264	2	2	264	spectator	5·43
216	3.256478879699e-5	0	16	600	2	6	600	heavy fermion	2^3·3^3
217	2.999558475183e-6	0	4	256	2	2	256	spectator	7·31
218	7.716317943974e-6	0	4	330	2	2	330	fermion	2·109
219	5.960221748903e-5	0	4	296	2	2	296	heavy fermion	3·73
220	1.355684146853e-4	0	12	504	3	4	504	heavy fermion	2^2·5·11
221	2.436119284301e-6	0	4	252	2	2	252	spectator	13·17
222	1.709096311276e-5	0	8	456	3	3	456	heavy fermion	2·3·37
223	7.545383115070e-6	1	2	224	1	1	224	excited boson	223 (prime)
224	8.497976221274e-6	0	12	504	2	6	504	fermion	2^5·7
225	2.303469544074e-4	0	9	403	2	4	403	heavy fermion	3^2·5^2
226	3.277785143372e-5	0	4	342	2	2	342	heavy fermion	2·113
227	8.080860237101e-4	1	2	228	1	1	228	excited boson	227 (prime)
228	2.004131287275e-3	0	12	560	3	4	560	heavy fermion	2^2·3·19
229	1.103009657012e-4	1	2	230	1	1	230	excited boson	229 (prime)
230	6.647590982206e-4	0	8	432	3	3	432	heavy fermion	2·5·23
231	3.566139323224e-4	0	8	384	3	3	384	heavy fermion	3·7·11
232	1.071408406181e-4	0	8	450	2	4	450	heavy fermion	2^3·29
233	1.012865670739e-3	1	2	234	1	1	234	excited boson	233 (prime)
234	8.467790886253e-4	0	12	546	3	4	546	heavy fermion	2·3^2·13
235	3.271473755395e-5	0	4	288	2	2	288	heavy fermion	5·47
236	2.043959304124e-3	0	6	420	2	3	420	heavy fermion	2^2·59
237	1.526759780333e-3	0	4	320	2	2	320	heavy fermion	3·79
238	1.759721315802e-4	0	8	432	3	3	432	heavy fermion	2·7·17
239	3.140921237946e-3	1	2	240	1	1	240	excited boson	239 (prime)
240	2.450746706637e-3	0	20	744	3	6	744	heavy fermion	2^4·3·5
241	9.304197130190e-5	1	2	242	1	1	242	excited boson	241 (prime)
242	4.887984612091e-4	0	6	399	2	3	399	heavy fermion	2·11^2
243	7.078315213972e-4	0	6	364	1	5	364	heavy fermion	3^5
244	4.372981399316e-5	0	6	434	2	3	434	heavy fermion	2^2·61
245	4.040301003795e-4	0	6	342	2	3	342	heavy fermion	5·7^2
246	8.128027403226e-4	0	8	504	3	3	504	heavy fermion	2·3·41
247	3.278426554100e-4	0	4	280	2	2	280	heavy fermion	13·19
248	5.214523308985e-5	0	8	480	2	4	480	heavy fermion	2^3·31
249	8.331391224734e-5	0	4	336	2	2	336	heavy fermion	3·83
250	1.514721229992e-3	0	8	468	2	4	468	heavy fermion	2·5^3
251	2.149524716495e-3	1	2	252	1	1	252	excited boson	251 (prime)
252	7.557262256768e-4	0	18	728	3	5	728	heavy fermion	2^2·3^2·7
253	2.043512841651e-4	0	4	288	2	2	288	heavy fermion	11·23
254	1.151326117213e-4	0	4	384	2	2	384	heavy fermion	2·127
255	3.336857062654e-5	0	8	432	3	3	432	heavy fermion	3·5·17
256	2.298376697578e-8	0	9	511	1	8	511	spectator	2^8
257	1.293558716286e-6	1	2	258	1	1	258	gauge boson (light)	257 (prime)
258	3.205930677696e-6	0	8	528	3	3	528	spectator	2·3·43
259	1.168824641184e-6	0	4	304	2	2	304	spectator	7·37
260	4.163090516169e-6	0	12	588	3	4	588	spectator	2^2·5·13
261	4.777850538210e-5	0	6	390	2	3	390	heavy fermion	3^2·29
262	3.378062158099e-4	0	4	396	2	2	396	heavy fermion	2·131
263	7.119232138665e-5	1	2	264	1	1	264	excited boson	263 (prime)
264	6.170551300521e-6	0	16	720	3	5	720	light fermion	2^3·3·11
265	1.524729240625e-4	0	4	324	2	2	324	heavy fermion	5·53
266	2.832514620782e-5	0	8	480	3	3	480	heavy fermion	2·7·19
267	5.589602652153e-4	0	4	360	2	2	360	heavy fermion	3·89
268	6.860881547103e-4	0	6	476	2	3	476	heavy fermion	2^2·67
269	2.613499457353e-4	1	2	270	1	1	270	excited boson	269 (prime)
270	2.714028842880e-4	0	16	720	3	5	720	heavy fermion	2·3^3·5
271	1.085227868591e-4	1	2	272	1	1	272	excited boson	271 (prime)
272	9.897148559112e-7	0	10	558	2	5	558	spectator	2^4·17
273	6.565950564337e-6	0	8	448	3	3	448	light fermion	3·7·13
274	9.997107724461e-6	0	4	414	2	2	414	fermion	2·137
275	6.953906932737e-6	0	6	372	2	3	372	light fermion	5^2·11
276	4.246802570695e-5	0	12	672	3	4	672	heavy fermion	2^2·3·23
277	2.749277625010e-5	1	2	278	1	1	278	excited boson	277 (prime)
278	1.537312538476e-5	0	4	420	2	2	420	heavy fermion	2·139
279	1.492516928183e-6	0	6	416	2	3	416	spectator	3^2·31
280	1.409647125876e-5	0	16	720	3	5	720	fermion	2^3·5·7
281	4.889579703260e-5	1	2	282	1	1	282	excited boson	281 (prime)
282	8.193491819076e-5	0	8	576	3	3	576	heavy fermion	2·3·47
283	5.146644581684e-5	1	2	284	1	1	284	excited boson	283 (prime)
284	1.990519620811e-7	0	6	504	2	3	504	spectator	2^2·71
285	6.308312883999e-6	0	8	480	3	3	480	light fermion	3·5·19
286	2.916466473350e-4	0	8	504	3	3	504	heavy fermion	2·11·13
287	2.010657573064e-5	0	4	336	2	2	336	heavy fermion	7·41
288	5.397813663263e-4	0	18	819	2	7	819	heavy fermion	2^5·3^2
289	5.259912844176e-5	0	3	307	1	2	307	heavy fermion	17^2
290	1.299404191047e-5	0	8	540	3	3	540	fermion	2·5·29
291	1.121179923913e-3	0	4	392	2	2	392	heavy fermion	3·97
292	6.188345933834e-4	0	6	518	2	3	518	heavy fermion	2^2·73
293	1.273162845274e-4	1	2	294	1	1	294	excited boson	293 (prime)
294	5.717996370650e-4	0	12	684	3	4	684	heavy fermion	2·3·7^2
295	1.331741086011e-6	0	4	360	2	2	360	spectator	5·59
296	9.577746555591e-4	0	8	570	2	4	570	heavy fermion	2^3·37
297	1.083875276876e-6	0	8	480	2	4	480	spectator	3^3·11
298	9.253311293579e-4	0	4	450	2	2	450	heavy fermion	2·149
299	6.662334454756e-7	0	4	336	2	2	336	spectator	13·23
300	5.549064892549e-4	0	18	868	3	5	868	heavy fermion	2^2·3·5^2
301	9.358825384711e-5	0	4	352	2	2	352	heavy fermion	7·43
302	7.165179829347e-4	0	4	456	2	2	456	heavy fermion	2·151
303	5.587463716561e-6	0	4	408	2	2	408	light fermion	3·101
304	2.701377077417e-4	0	10	620	2	5	620	heavy fermion	2^4·19
305	9.581334284523e-5	0	4	372	2	2	372	heavy fermion	5·61
306	1.143336923339e-3	0	12	702	3	4	702	heavy fermion	2·3^2·17
307	7.976846323168e-5	1	2	308	1	1	308	excited boson	307 (prime)
308	7.240821091701e-4	0	12	672	3	4	672	heavy fermion	2^2·7·11
309	1.863748888502e-4	0	4	416	2	2	416	heavy fermion	3·103
310	1.249868168771e-4	0	8	576	3	3	576	heavy fermion	2·5·31
311	2.258199086535e-3	1	2	312	1	1	312	excited boson	311 (prime)
312	1.532270982423e-3	0	16	840	3	5	840	heavy fermion	2^3·3·13
313	9.963623331901e-5	1	2	314	1	1	314	excited boson	313 (prime)
314	7.234607507077e-5	0	4	474	2	2	474	heavy fermion	2·157
315	2.340901597796e-5	0	12	624	3	4	624	heavy fermion	3^2·5·7
316	1.888328491690e-4	0	6	560	2	3	560	heavy fermion	2^2·79
317	1.081558269738e-6	1	2	318	1	1	318	gauge boson (light)	317 (prime)
318	8.839315478601e-6	0	8	648	3	3	648	fermion	2·3·53
319	1.767101927110e-5	0	4	360	2	2	360	heavy fermion	11·29
320	5.118740043609e-5	0	14	762	2	7	762	heavy fermion	2^6·5
321	1.146430226492e-6	0	4	432	2	2	432	spectator	3·107
322	4.052770808727e-6	0	8	576	3	3	576	spectator	2·7·23
323	2.484900234241e-6	0	4	360	2	2	360	spectator	17·19
324	1.490959610754e-4	0	15	847	2	6	847	heavy fermion	2^2·3^4
325	1.213079399707e-5	0	6	434	2	3	434	fermion	5^2·13
326	6.727529681905e-5	0	4	492	2	2	492	heavy fermion	2·163
327	7.459532654632e-6	0	4	440	2	2	440	fermion	3·109
328	5.411918431302e-5	0	8	630	2	4	630	heavy fermion	2^3·41
329	5.819509179509e-6	0	4	384	2	2	384	light fermion	7·47
330	2.108312059348e-5	0	16	864	4	4	864	heavy fermion	2·3·5·11
331	3.871189390356e-6	1	2	332	1	1	332	gauge boson	331 (prime)
332	5.635957133905e-8	0	6	588	2	3	588	spectator	2^2·83
333	8.471708459399e-4	0	6	494	2	3	494	heavy fermion	3^2·37
334	4.928232275026e-4	0	4	504	2	2	504	heavy fermion	2·167
335	5.330020683168e-5	0	4	408	2	2	408	heavy fermion	5·67
336	1.100007032625e-4	0	20	992	3	6	992	heavy fermion	2^4·3·7
337	1.257611768043e-4	1	2	338	1	1	338	excited boson	337 (prime)
338	1.978632590337e-4	0	6	549	2	3	549	heavy fermion	2·13^2
339	5.429314117516e-5	0	4	456	2	2	456	heavy fermion	3·113
340	2.130128264208e-4	0	12	756	3	4	756	heavy fermion	2^2·5·17
341	3.181487114340e-4	0	4	384	2	2	384	heavy fermion	11·31
342	1.320511052560e-6	0	12	780	3	4	780	spectator	2·3^2·19
343	2.844323883121e-4	0	4	400	1	3	400	heavy fermion	7^3
344	2.042552457186e-4	0	8	660	2	4	660	heavy fermion	2^3·43
345	1.137480671453e-5	0	8	576	3	3	576	fermion	3·5·23
346	1.488676542068e-4	0	4	522	2	2	522	heavy fermion	2·173
347	3.613525522486e-4	1	2	348	1	1	348	excited boson	347 (prime)
348	4.846318819241e-5	0	12	840	3	4	840	heavy fermion	2^2·3·29
349	2.370369156205e-4	1	2	350	1	1	350	excited boson	349 (prime)
350	4.460118802305e-4	0	12	744	3	4	744	heavy fermion	2·5^2·7
351	2.471773833216e-7	0	8	560	2	4	560	spectator	3^3·13
352	9.480789712179e-5	0	12	756	2	6	756	heavy fermion	2^5·11
353	9.995516377601e-5	1	2	354	1	1	354	excited boson	353 (prime)
354	1.051139125134e-5	0	8	720	3	3	720	fermion	2·3·59
355	9.590134972674e-6	0	4	432	2	2	432	fermion	5·71
356	1.834625363925e-6	0	6	630	2	3	630	spectator	2^2·89
357	6.867399804213e-7	0	8	576	3	3	576	spectator	3·7·17
358	6.557450716597e-6	0	4	540	2	2	540	light fermion	2·179
359	4.680724358163e-5	1	2	360	1	1	360	excited boson	359 (prime)
360	3.487468668231e-6	0	24	1170	3	6	1170	spectator	2^3·3^2·5
361	2.018243062123e-6	0	3	381	1	2	381	spectator	19^2
362	4.260758312283e-5	0	4	546	2	2	546	heavy fermion	2·181
363	1.623441352551e-4	0	6	532	2	3	532	heavy fermion	3·11^2
364	1.478624950007e-5	0	12	784	3	4	784	heavy fermion	2^2·7·13
365	8.797567386568e-5	0	4	444	2	2	444	heavy fermion	5·73
366	3.035170747828e-4	0	8	744	3	3	744	heavy fermion	2·3·61
367	9.395390064089e-5	1	2	368	1	1	368	excited boson	367 (prime)
368	8.129818092428e-5	0	10	744	2	5	744	heavy fermion	2^4·23
369	4.370321700055e-4	0	6	546	2	3	546	heavy fermion	3^2·41
370	1.111617401705e-4	0	8	684	3	3	684	heavy fermion	2·5·37
371	1.987760161147e-5	0	4	432	2	2	432	heavy fermion	7·53
372	3.108241970917e-4	0	12	896	3	4	896	heavy fermion	2^2·3·31
373	2.719787214893e-4	1	2	374	1	1	374	excited boson	373 (prime)
374	1.201201352106e-6	0	8	648	3	3	648	spectator	2·11·17
375	2.080108410571e-4	0	8	624	2	4	624	heavy fermion	3·5^3
376	4.203026396490e-4	0	8	720	2	4	720	heavy fermion	2^3·47
377	6.460098022754e-5	0	4	420	2	2	420	heavy fermion	13·29
378	2.994870382236e-4	0	16	960	3	5	960	heavy fermion	2·3^3·7
379	3.343521617828e-4	1	2	380	1	1	380	excited boson	379 (prime)
380	4.055010598887e-5	0	12	840	3	4	840	heavy fermion	2^2·5·19
381	5.339188227155e-5	0	4	512	2	2	512	heavy fermion	3·127
382	4.044879455107e-4	0	4	576	2	2	576	heavy fermion	2·191
383	6.412334030559e-5	1	2	384	1	1	384	excited boson	383 (prime)
384	4.331800566292e-4	0	16	1020	2	8	1020	heavy fermion	2^7·3
385	5.645052652360e-5	0	8	576	3	3	576	heavy fermion	5·7·11
386	4.824996203169e-5	0	4	582	2	2	582	heavy fermion	2·193
387	7.935451138466e-5	0	6	572	2	3	572	heavy fermion	3^2·43
388	4.497443580323e-6	0	6	686	2	3	686	spectator	2^2·97
389	2.936765075010e-4	1	2	390	1	1	390	excited boson	389 (prime)
390	2.485236501463e-5	0	16	1008	4	4	1008	heavy fermion	2·3·5·13
391	4.622313104850e-4	0	4	432	2	2	432	heavy fermion	17·23
392	5.128368992332e-7	0	12	855	2	5	855	spectator	2^3·7^2
393	1.608520329047e-3	0	4	528	2	2	528	heavy fermion	3·131
