rank	k	weight	d_k	omega	is_prime	factors
81	28672	6.097571329507e-4	26	2	composite	2^12·7
82	43008	5.936014588398e-4	48	3	composite	2^11·3·7
83	1440	5.895582656522e-4	36	3	composite	2^5·3^2·5
84	26416	5.769186184331e-4	20	3	composite	2^4·13·127
85	1920	5.766753241170e-4	32	3	composite	2^7·3·5
86	39936	5.463660898006e-4	44	3	composite	2^10·3·13
87	30240	5.420648019120e-4	96	4	composite	2^5·3^3·5·7
88	8448	5.304639058069e-4	36	3	composite	2^8·3·11
89	2999	5.297130754094e-4	2	1	prime	2999 (prime)
90	1364	5.280432941242e-4	12	3	composite	2^2·11·31
91	9216	5.232510255723e-4	33	2	composite	2^10·3^2
92	673	5.116866947816e-4	2	1	prime	673 (prime)
93	19968	5.079753167364e-4	40	3	composite	2^9·3·13
94	12589	5.015032965889e-4	2	1	prime	12589 (prime)
95	23296	4.988646859895e-4	36	3	composite	2^8·7·13
96	46592	4.742768530958e-4	40	3	composite	2^9·7·13
97	4960	4.693162052231e-4	24	3	composite	2^5·5·31
98	360	4.641109130969e-4	24	3	composite	2^3·3^2·5
99	7177	4.616689514901e-4	2	1	prime	7177 (prime)
100	889	4.609364045244e-4	4	2	composite	7·127
101	1152	4.596421939994e-4	24	2	composite	2^7·3^2
102	48768	4.492549203078e-4	32	3	composite	2^7·3·127
103	907	4.469173010384e-4	2	1	prime	907 (prime)
104	10752	4.303994658258e-4	40	3	composite	2^9·3·7
105	3137	4.290277821312e-4	2	1	prime	3137 (prime)
106	26407	4.251362961475e-4	2	1	prime	26407 (prime)
107	26417	4.196452478906e-4	2	1	prime	26417 (prime)
108	3556	4.179852145344e-4	12	3	composite	2^2·7·127
109	14336	4.175482018996e-4	24	2	composite	2^11·7
110	433	4.148395929688e-4	2	1	prime	433 (prime)
111	1789	4.110025343759e-4	2	1	prime	1789 (prime)
112	1123	4.064653035118e-4	2	1	prime	1123 (prime)
113	1153	4.028491337387e-4	2	1	prime	1153 (prime)
114	1056	3.957445955898e-4	24	3	composite	2^5·3·11
115	6599	3.897585302343e-4	2	1	prime	6599 (prime)
116	11903	3.784298515847e-4	2	1	prime	11903 (prime)
117	90720	3.764032095648e-4	120	4	composite	2^5·3^4·5·7
118	1792	3.629625485446e-4	18	2	composite	2^8·7
119	11177	3.599464018642e-4	2	1	prime	11177 (prime)
120	37799	3.524545609962e-4	2	1	prime	37799 (prime)
121	1571	3.508348841684e-4	2	1	prime	1571 (prime)
122	806	3.427193827667e-4	8	3	composite	2·13·31
123	37811	3.373429026772e-4	2	1	prime	37811 (prime)
124	2197	3.326477882115e-4	4	1	composite	13^3
125	1069	3.125808704257e-4	2	1	prime	1069 (prime)
126	269	3.093528390528e-4	2	1	prime	269 (prime)
127	11173	3.028210477695e-4	2	1	prime	11173 (prime)
128	2309	3.012759303732e-4	2	1	prime	2309 (prime)
129	11909	2.912451455425e-4	2	1	prime	11909 (prime)
130	1361	2.891722420639e-4	2	1	prime	1361 (prime)
131	8389	2.878172021951e-4	2	1	prime	8389 (prime)
132	8419	2.867978127203e-4	2	1	prime	8419 (prime)
133	7937	2.865138007418e-4	2	1	prime	7937 (prime)
134	149	2.859831426111e-4	2	1	prime	149 (prime)
135	52832	2.771715184012e-4	24	3	composite	2^5·13·127
136	2719	2.740907721990e-4	2	1	prime	2719 (prime)
137	7561	2.722994960206e-4	2	1	prime	7561 (prime)
138	1783	2.719257062393e-4	2	1	prime	1783 (prime)
139	3840	2.699113598780e-4	36	3	composite	2^8·3·5
140	63488	2.679260399621e-4	24	2	composite	2^11·31
141	2917	2.672484926994e-4	2	1	prime	2917 (prime)
142	23808	2.670802914908e-4	36	3	composite	2^8·3·31
143	223	2.659013813531e-4	2	1	prime	223 (prime)
144	337	2.656824036056e-4	2	1	prime	337 (prime)
145	5456	2.492056510814e-4	20	3	composite	2^4·11·31
146	1232	2.478011304001e-4	20	3	composite	2^4·7·11
147	40320	2.446691102614e-4	96	4	composite	2^7·3^2·5·7
148	4219	2.428855001387e-4	2	1	prime	4219 (prime)
149	7933	2.424540347279e-4	2	1	prime	7933 (prime)
150	4957	2.389475993413e-4	2	1	prime	4957 (prime)
151	27720	2.364777321938e-4	96	5	composite	2^3·3^2·5·7·11
152	97536	2.361890667798e-4	36	3	composite	2^8·3·127
153	11657	2.356442890772e-4	2	1	prime	11657 (prime)
154	86016	2.354541393842e-4	52	3	composite	2^12·3·7
155	2540	2.330952035912e-4	12	3	composite	2^2·5·127
156	6277	2.237256026785e-4	2	1	prime	6277 (prime)
157	3048	2.234099376074e-4	16	3	composite	2^3·3·127
158	616	2.195255694562e-4	16	3	composite	2^3·7·11
159	5588	2.139092233789e-4	12	3	composite	2^2·11·127
160	8192	2.099687241717e-4	14	1	composite	2^13
161	22680	2.085162809644e-4	80	4	composite	2^3·3^4·5·7
162	3121	2.058727126265e-4	2	1	prime	3121 (prime)
163	12601	2.024742677053e-4	2	1	prime	12601 (prime)
164	2687	2.001795849153e-4	2	1	prime	2687 (prime)
165	3125	1.997524749525e-4	6	1	composite	5^5
166	5381	1.984200047385e-4	2	1	prime	5381 (prime)
167	7559	1.962312365949e-4	2	1	prime	7559 (prime)
168	2153	1.954480718617e-4	2	1	prime	2153 (prime)
169	4096	1.941212263813e-4	13	1	composite	2^12
170	22200	1.941029955556e-4	48	4	composite	2^3·3·5^2·37
171	24576	1.856368199260e-4	28	2	composite	2^13·3
172	3079	1.851604690616e-4	2	1	prime	3079 (prime)
173	3301	1.844743854956e-4	2	1	prime	3301 (prime)
174	5581	1.829249826523e-4	2	1	prime	5581 (prime)
175	4931	1.804241705241e-4	2	1	prime	4931 (prime)
176	5827	1.802234410897e-4	2	1	prime	5827 (prime)
177	31751	1.790119182643e-4	2	1	prime	31751 (prime)
178	336	1.790090380770e-4	20	3	composite	2^4·3·7
179	3224	1.780402590933e-4	16	3	composite	2^3·13·31
180	48779	1.758763352043e-4	2	1	prime	48779 (prime)
181	10007	1.745714161665e-4	2	1	prime	10007 (prime)
182	39419	1.728635379189e-4	2	1	prime	39419 (prime)
183	13217	1.720425467775e-4	2	1	prime	13217 (prime)
184	877	1.697170030351e-4	2	1	prime	877 (prime)
185	48767	1.683152370376e-4	2	1	prime	48767 (prime)
186	2976	1.681719128879e-4	24	3	composite	2^5·3·31
187	15859	1.677603142590e-4	2	1	prime	15859 (prime)
188	2729	1.641769160172e-4	2	1	prime	2729 (prime)
189	2239	1.622899812084e-4	2	1	prime	2239 (prime)
190	22352	1.620119731288e-4	20	3	composite	2^4·11·127
191	3833	1.610586805944e-4	2	1	prime	3833 (prime)
192	20160	1.598997622612e-4	84	4	composite	2^6·3^2·5·7
193	4992	1.566760649226e-4	32	3	composite	2^7·3·13
194	45343	1.555063875652e-4	2	1	prime	45343 (prime)
195	31741	1.532370896077e-4	2	1	prime	31741 (prime)
196	3360	1.519004970412e-4	48	4	composite	2^5·3·5·7
197	20654	1.475867887730e-4	8	3	composite	2·23·449
198	22181	1.429402927169e-4	4	2	composite	41·541
199	13187	1.428965442899e-4	2	1	prime	13187 (prime)
200	4229	1.424180058388e-4	2	1	prime	4229 (prime)
201	45361	1.417167462656e-4	2	1	prime	45361 (prime)
202	6299	1.399712082974e-4	2	1	prime	6299 (prime)
203	15360	1.363871658451e-4	44	3	composite	2^10·3·5
204	23813	1.359323138555e-4	2	1	prime	23813 (prime)
205	24593	1.359229969224e-4	2	1	prime	24593 (prime)
206	9920	1.356061737769e-4	28	3	composite	2^6·5·31
207	3302	1.355703339044e-4	8	3	composite	2·13·127
208	32512	1.354804627820e-4	18	2	composite	2^8·127
209	19840	1.339535138493e-4	32	3	composite	2^7·5·31
210	2304	1.335892382517e-4	27	2	composite	2^8·3^2
211	25200	1.314038173393e-4	90	4	composite	2^4·3^2·5^2·7
212	809	1.311782430506e-4	2	1	prime	809 (prime)
213	23801	1.311719003473e-4	2	1	prime	23801 (prime)
214	39439	1.286148358607e-4	2	1	prime	39439 (prime)
215	4177	1.277798714829e-4	2	1	prime	4177 (prime)
216	25792	1.273644777148e-4	28	3	composite	2^6·13·31
217	4621	1.269111018998e-4	2	1	prime	4621 (prime)
218	8461	1.254688625172e-4	2	1	prime	8461 (prime)
219	14641	1.251647754214e-4	5	1	composite	11^4
220	22140	1.247984644929e-4	48	4	composite	2^2·3^3·5·41
221	21000	1.241230074711e-4	64	4	composite	2^3·3·5^3·7
222	19973	1.238789930088e-4	2	1	prime	19973 (prime)
223	1613	1.233769299036e-4	2	1	prime	1613 (prime)
224	46591	1.228310298928e-4	2	1	prime	46591 (prime)
225	13883	1.221214592005e-4	2	1	prime	13883 (prime)
226	20558	1.217553462971e-4	8	3	composite	2·19·541
227	47623	1.204980363696e-4	2	1	prime	47623 (prime)
228	93184	1.178099270326e-4	44	3	composite	2^10·7·13
229	17911	1.171393676957e-4	2	1	prime	17911 (prime)
230	5080	1.167818076254e-4	16	3	composite	2^3·5·127
231	12192	1.167671960552e-4	24	3	composite	2^5·3·127
232	9857	1.166988381308e-4	2	1	prime	9857 (prime)
233	5351	1.161876839442e-4	2	1	prime	5351 (prime)
234	20205	1.155478491787e-4	12	3	composite	3^2·5·449
235	55440	1.144984540014e-4	120	5	composite	2^4·3^2·5·7·11
236	960	1.144399582669e-4	28	3	composite	2^6·3·5
237	439	1.118778779077e-4	2	1	prime	439 (prime)
238	5040	1.100628112869e-4	60	4	composite	2^4·3^2·5·7
239	22354	1.090750552902e-4	4	2	composite	2·11177
240	40955	1.085098848613e-4	4	2	composite	5·8191
241	47609	1.084443121926e-4	2	1	prime	47609 (prime)
242	359	1.083340994957e-4	2	1	prime	359 (prime)
243	762	1.078744040353e-4	8	3	composite	2·3·127
244	46601	1.068752071100e-4	2	1	prime	46601 (prime)
245	1979	1.064774552551e-4	2	1	prime	1979 (prime)
246	21552	1.050971412542e-4	20	3	composite	2^4·3·449
247	5051	1.028506418327e-4	2	1	prime	5051 (prime)
248	3968	1.024371680291e-4	16	2	composite	2^7·31
249	4481	9.602756681918e-5	2	1	prime	4481 (prime)
250	2971	9.446074410582e-5	2	1	prime	2971 (prime)
251	78848	9.378018515422e-5	44	3	composite	2^10·7·11
252	22346	9.348843882263e-5	4	2	composite	2·11173
253	22001	9.341649191553e-5	6	2	composite	7^2·449
254	1693	9.323578426136e-5	2	1	prime	1693 (prime)
255	22899	9.275410055426e-5	8	3	composite	3·17·449
256	768	9.243728270952e-5	18	2	composite	2^8·3
257	25793	9.191947388980e-5	2	1	prime	25793 (prime)
258	1568	9.158219560924e-5	18	2	composite	2^5·7^2
259	14224	9.138522761577e-5	20	3	composite	2^4·7·127
260	166320	8.920100761561e-5	160	5	composite	2^4·3^3·5·7·11
261	288	8.904100931125e-5	18	2	composite	2^5·3^2
262	1270	8.774829384747e-5	8	3	composite	2·5·127
263	20653	8.648450417329e-5	4	2	composite	19·1087
264	1120	8.557481445760e-5	24	3	composite	2^5·5·7
265	12899	8.522757407594e-5	2	1	prime	12899 (prime)
266	22722	8.444407806733e-5	16	4	composite	2·3·7·541
267	3041	8.436800076797e-5	2	1	prime	3041 (prime)
268	8963	8.405220964937e-5	2	1	prime	8963 (prime)
269	20384	8.404898170290e-5	36	3	composite	2^5·7^2·13
270	4201	8.352472110422e-5	2	1	prime	4201 (prime)
271	4057	8.340831214962e-5	2	1	prime	4057 (prime)
272	22758	8.187190643011e-5	8	3	composite	2·3·3793
273	83160	8.149051109050e-5	128	5	composite	2^3·3^3·5·7·11
274	78125	8.130862435582e-5	8	1	composite	5^7
275	20017	7.988145316369e-5	4	2	composite	37·541
276	24573	7.981442757197e-5	4	2	composite	3·8191
277	672	7.895065312683e-5	24	3	composite	2^5·3·7
278	4064	7.702786544689e-5	12	2	composite	2^5·127
279	79872	7.695568238507e-5	48	3	composite	2^11·3·13
280	3779	7.674957822593e-5	2	1	prime	3779 (prime)
281	9984	7.592903972329e-5	36	3	composite	2^8·3·13
282	571	7.587807128636e-5	2	1	prime	571 (prime)
283	6301	7.524020648070e-5	2	1	prime	6301 (prime)
284	55552	7.430376687240e-5	36	3	composite	2^8·7·31
285	2539	7.300292962848e-5	2	1	prime	2539 (prime)
286	1777	7.194241191298e-5	2	1	prime	1777 (prime)
287	21640	7.193581818554e-5	16	3	composite	2^3·5·541
288	40961	7.078516212914e-5	2	1	prime	40961 (prime)
289	27701	7.072120386414e-5	2	1	prime	27701 (prime)
290	144	7.024562369609e-5	15	2	composite	2^4·3^2
291	6151	6.983361825533e-5	2	1	prime	6151 (prime)
292	16896	6.775664168245e-5	40	3	composite	2^9·3·11
293	557	6.740689579945e-5	2	1	prime	557 (prime)
294	20832	6.732278695534e-5	48	4	composite	2^5·3·7·31
295	3847	6.673066046994e-5	2	1	prime	3847 (prime)
296	14221	6.665024333511e-5	2	1	prime	14221 (prime)
297	20434	6.520525269070e-5	8	3	composite	2·17·601
298	21564	6.451777539835e-5	18	3	composite	2^2·3^2·599
299	40949	6.442259506861e-5	2	1	prime	40949 (prime)
300	19963	6.392429078853e-5	2	1	prime	19963 (prime)
301	21952	6.389728205178e-5	28	2	composite	2^6·7^3
302	39929	6.355802857368e-5	2	1	prime	39929 (prime)
303	22450	6.353436630533e-5	12	3	composite	2·5^2·449
304	9851	6.347948777287e-5	2	1	prime	9851 (prime)
305	1367	6.331846634038e-5	2	1	prime	1367 (prime)
306	12547	6.221074925733e-5	2	1	prime	12547 (prime)
307	65024	6.172384255605e-5	20	2	composite	2^9·127
308	2467	6.168968815083e-5	2	1	prime	2467 (prime)
309	6449	6.083706649442e-5	2	1	prime	6449 (prime)
310	158720	5.974610082712e-5	44	3	composite	2^10·5·31
311	35840	5.966687579931e-5	44	3	composite	2^10·5·7
312	2520	5.963425076602e-5	48	4	composite	2^3·3^2·5·7
313	479	5.957701269696e-5	2	1	prime	479 (prime)
314	22203	5.945441291906e-5	6	2	composite	3^2·2467
315	22199	5.905973487124e-5	4	2	composite	79·281
316	16267	5.892540890306e-5	2	1	prime	16267 (prime)
317	28463	5.880238962359e-5	2	1	prime	28463 (prime)
318	20204	5.856886413177e-5	6	2	composite	2^2·5051
319	1397	5.798863816786e-5	4	2	composite	11·127
320	21612	5.794132718718e-5	12	3	composite	2^2·3·1801
321	24384	5.783497471531e-5	28	3	composite	2^6·3·127
322	21642	5.770031448101e-5	8	3	composite	2·3·3607
323	3049	5.727814673586e-5	2	1	prime	3049 (prime)
324	28447	5.695711552098e-5	2	1	prime	28447 (prime)
325	51584	5.684878138153e-5	32	3	composite	2^7·13·31
326	22198	5.665582171646e-5	8	3	composite	2·11·1009
327	401	5.636906341254e-5	2	1	prime	401 (prime)
328	311	5.625045271238e-5	2	1	prime	311 (prime)
329	22683	5.516862866779e-5	4	2	composite	3·7561
330	22197	5.466922248270e-5	12	3	composite	3·7^2·151
331	21558	5.411116696249e-5	8	3	composite	2·3·3593
332	28561	5.397014025842e-5	5	1	composite	13^4
333	22196	5.356071598633e-5	12	3	composite	2^2·31·179
334	15361	5.313079020025e-5	2	1	prime	15361 (prime)
335	10160	5.312589926613e-5	20	3	composite	2^4·5·127
336	17921	5.305363895261e-5	2	1	prime	17921 (prime)
337	300	5.303079402455e-5	18	3	composite	2^2·3·5^2
338	43003	5.286236967892e-5	2	1	prime	43003 (prime)
339	27733	5.243893117543e-5	2	1	prime	27733 (prime)
340	14341	5.238698665726e-5	2	1	prime	14341 (prime)
341	381	5.236962059857e-5	4	2	composite	3·127
342	2048	5.182743711740e-5	12	1	composite	2^11
343	15877	5.146556421054e-5	2	1	prime	15877 (prime)
344	22195	5.103608759882e-5	8	3	composite	5·23·193
345	15359	5.100269959494e-5	2	1	prime	15359 (prime)
346	39937	5.093278236234e-5	2	1	prime	39937 (prime)
347	22202	5.066572898600e-5	8	3	composite	2·17·653
348	840	5.018275697284e-5	32	4	composite	2^3·3·5·7
349	4603	4.999752877224e-5	2	1	prime	4603 (prime)
350	1151	4.940203162357e-5	2	1	prime	1151 (prime)
351	4967	4.896503040432e-5	2	1	prime	4967 (prime)
352	22237	4.839955482222e-5	4	2	composite	37·601
353	22194	4.803976872654e-5	20	3	composite	2·3^4·137
354	25088	4.773367818963e-5	30	2	composite	2^9·7^2
355	43013	4.772024705951e-5	2	1	prime	43013 (prime)
356	3072	4.758323048219e-5	22	2	composite	2^10·3
357	4608	4.702889359454e-5	30	2	composite	2^9·3^2
358	22193	4.678800970374e-5	2	1	prime	22193 (prime)
359	21035	4.630485611518e-5	8	3	composite	5·7·601
360	19841	4.574919635150e-5	2	1	prime	19841 (prime)
361	868	4.564695366759e-5	12	3	composite	2^2·7·31
362	22677	4.564407835509e-5	4	2	composite	3·7559
363	21531	4.563502942621e-5	4	2	composite	3·7177
364	22192	4.525919983167e-5	20	3	composite	2^4·19·73
365	21099	4.460094176695e-5	8	3	composite	3·13·541
366	77	4.451556185591e-5	4	2	composite	7·11
367	168	4.451437402759e-5	16	3	composite	2^3·3·7
368	20366	4.418651981435e-5	8	3	composite	2·17·599
369	7680	4.414341488396e-5	40	3	composite	2^9·3·5
370	16253	4.396532340155e-5	2	1	prime	16253 (prime)
371	22191	4.373901937059e-5	8	3	composite	3·13·569
372	21103	4.336876617834e-5	4	2	composite	47·449
373	20655	4.332106944797e-5	24	3	composite	3^5·5·17
374	180	4.323674577030e-5	18	3	composite	2^2·3^2·5
375	13208	4.297331798827e-5	16	3	composite	2^3·13·127
376	8128	4.280820488858e-5	14	2	composite	2^6·127
377	190464	4.269972697136e-5	48	3	composite	2^11·3·31
378	1567	4.262219911282e-5	2	1	prime	1567 (prime)
379	10091	4.219520748466e-5	2	1	prime	10091 (prime)
380	22190	4.204680168598e-5	16	4	composite	2·5·7·317
381	8960	4.163556747921e-5	36	3	composite	2^8·5·7
382	22204	4.144594082851e-5	24	4	composite	2^2·7·13·61
383	24391	4.136536273472e-5	2	1	prime	24391 (prime)
384	30720	4.129935185091e-5	48	3	composite	2^11·3·5
385	7681	4.129665295482e-5	2	1	prime	7681 (prime)
386	22189	4.120143673851e-5	2	1	prime	22189 (prime)
387	1277	4.094458141662e-5	2	1	prime	1277 (prime)
388	22188	4.036743794120e-5	18	3	composite	2^2·3·43^2
389	383	4.020312274903e-5	2	1	prime	383 (prime)
390	27773	3.957617029478e-5	2	1	prime	27773 (prime)
391	21060	3.957567053791e-5	60	4	composite	2^2·3^4·5·13
392	22187	3.938448773998e-5	4	2	composite	11·2017
393	21618	3.936882160348e-5	12	3	composite	2·3^2·1201
394	80640	3.926431640648e-5	108	4	composite	2^8·3^2·5·7
395	22186	3.894550963010e-5	4	2	composite	2·11093
396	3229	3.854053216302e-5	2	1	prime	3229 (prime)
397	20417	3.832731521976e-5	4	2	composite	17·1201
398	241	3.832169015322e-5	2	1	prime	241 (prime)
399	22184	3.825464719231e-5	16	3	composite	2^3·47·59
400	8191	3.822681893051e-5	2	1	prime	8191 (prime)
401	22182	3.813914032971e-5	8	3	composite	2·3·3697
402	22185	3.813379959431e-5	24	4	composite	3^2·5·17·29
403	22183	3.812712066065e-5	4	2	composite	7·3169
404	392	3.811990583584e-5	12	2	composite	2^3·7^2
405	22838	3.808073830111e-5	8	3	composite	2·19·601
406	3557	3.788410081558e-5	2	1	prime	3557 (prime)
407	30727	3.776931320691e-5	2	1	prime	30727 (prime)
408	22205	3.717436200744e-5	4	2	composite	5·4441
409	14327	3.714878656786e-5	2	1	prime	14327 (prime)
410	3472	3.681168774320e-5	20	3	composite	2^4·7·31
411	617	3.681151986783e-5	2	1	prime	617 (prime)
412	6561	3.652374969475e-5	9	1	composite	3^8
413	20652	3.635552222907e-5	12	3	composite	2^2·3·1721
414	20656	3.625234807914e-5	10	2	composite	2^4·1291
415	21900	3.624010903862e-5	36	4	composite	2^2·3·5^2·73
416	4919	3.622994628415e-5	2	1	prime	4919 (prime)
417	21504	3.618088178163e-5	44	3	composite	2^10·3·7
418	32531	3.594405437371e-5	2	1	prime	32531 (prime)
419	27779	3.574335015722e-5	2	1	prime	27779 (prime)
420	12163	3.548179818008e-5	2	1	prime	12163 (prime)
421	21296	3.498555327667e-5	20	2	composite	2^4·11^3
422	1651	3.485988583314e-5	4	2	composite	13·127
423	28448	3.485767653629e-5	24	3	composite	2^5·7·127
424	136080	3.477290724217e-5	120	4	composite	2^4·3^5·5·7
425	2496	3.436811506577e-5	28	3	composite	2^6·3·13
426	179	3.417807732241e-5	2	1	prime	179 (prime)
427	30713	3.410423844566e-5	2	1	prime	30713 (prime)
428	19712	3.383321682103e-5	36	3	composite	2^8·7·11
429	20657	3.374708304314e-5	8	3	composite	7·13·227
430	22141	3.362537513855e-5	4	2	composite	7·3163
431	1051	3.359235696098e-5	2	1	prime	1051 (prime)
432	22180	3.353458360994e-5	12	3	composite	2^2·5·1109
433	3491	3.344459219905e-5	2	1	prime	3491 (prime)
434	79360	3.340169568184e-5	40	3	composite	2^9·5·31
435	22206	3.334647301388e-5	8	3	composite	2·3·3701
436	2187	3.322039937390e-5	8	1	composite	3^7
437	21959	3.315808667866e-5	4	2	composite	7·3137
438	22139	3.311216922730e-5	6	2	composite	13^2·131
439	2112	3.308161506761e-5	28	3	composite	2^6·3·11
440	21300	3.306085785986e-5	36	4	composite	2^2·3·5^2·71
441	81910	3.304009358831e-5	8	3	composite	2·5·8191
442	619	3.302048801515e-5	2	1	prime	619 (prime)
443	20014	3.288976223439e-5	4	2	composite	2·10007
444	19997	3.275970560572e-5	2	1	prime	19997 (prime)
445	56896	3.274976232209e-5	28	3	composite	2^6·7·127
446	20651	3.216286150514e-5	4	2	composite	107·193
447	2794	3.169472452537e-5	8	3	composite	2·11·127
448	22209	3.166481036341e-5	8	3	composite	3·11·673
449	10159	3.153074389747e-5	2	1	prime	10159 (prime)
450	20965	3.143075924338e-5	8	3	composite	5·7·599
451	25189	3.139447826700e-5	2	1	prime	25189 (prime)
452	22142	3.133039855714e-5	4	2	composite	2·11071
453	22150	3.115335335187e-5	12	3	composite	2·5^2·443
454	20650	3.112758198457e-5	24	4	composite	2·5^2·7·59
455	12197	3.065524383947e-5	2	1	prime	12197 (prime)
456	8447	3.049750182483e-5	2	1	prime	8447 (prime)
457	20658	3.031463008576e-5	16	4	composite	2·3·11·313
458	22138	3.027631264147e-5	4	2	composite	2·11069
459	222208	3.022343788527e-5	44	3	composite	2^10·7·31
460	32507	3.012665412373e-5	2	1	prime	32507 (prime)
461	25219	3.004160594880e-5	2	1	prime	25219 (prime)
462	22163	2.983170786320e-5	4	2	composite	37·599
463	22207	2.982664885013e-5	4	2	composite	53·419
464	20199	2.977873576737e-5	4	2	composite	3·6733
465	1488	2.956076706717e-5	20	3	composite	2^4·3·31
466	22143	2.926529930722e-5	12	3	composite	3·11^2·61
467	364	2.921011079735e-5	12	3	composite	2^2·7·13
468	22179	2.919640668613e-5	4	2	composite	3·7393
469	40640	2.911519154720e-5	28	3	composite	2^6·5·127
