rank	k	weight	d_k	omega	is_prime	factors
1009	4603	4.407823444634e-6	2	1	prime	4603 (prime)
1010	740	4.368264685365e-6	12	3	composite	2^2·5·37
1011	1147	4.363942843232e-6	4	2	composite	31·37
1012	1277	4.324989308614e-6	2	1	prime	1277 (prime)
1013	805	4.307351073502e-6	8	3	composite	5·7·23
1014	16382	4.288578012840e-6	4	2	composite	2·8191
1015	186	4.266464997119e-6	8	3	composite	2·3·31
1016	716	4.257249926751e-6	6	2	composite	2^2·179
1017	1567	4.243881175231e-6	2	1	prime	1567 (prime)
1018	14341	4.242646314438e-6	2	1	prime	14341 (prime)
1019	167	4.233089290629e-6	2	1	prime	167 (prime)
1020	3049	4.198067210079e-6	2	1	prime	3049 (prime)
1021	10753	4.179616507074e-6	2	1	prime	10753 (prime)
1022	248	4.138953292942e-6	8	2	composite	2^3·31
1023	293	4.099685421656e-6	2	1	prime	293 (prime)
1024	1109	4.097484205821e-6	2	1	prime	1109 (prime)
1025	10080	4.088338299347e-6	72	4	composite	2^5·3^2·5·7
1026	802	4.073177001378e-6	4	2	composite	2·401
1027	494	4.031443214413e-6	8	3	composite	2·13·19
1028	1139	4.029138209839e-6	4	2	composite	17·67
1029	5051	4.005193613597e-6	2	1	prime	5051 (prime)
1030	893	3.977532783214e-6	4	2	composite	19·47
1031	113	3.954859329771e-6	2	1	prime	113 (prime)
1032	10752	3.950599372252e-6	40	3	composite	2^9·3·7
1033	6449	3.948776516514e-6	2	1	prime	6449 (prime)
1034	1099	3.927673321303e-6	4	2	composite	7·157
1035	8209	3.908279564785e-6	2	1	prime	8209 (prime)
1036	400	3.898600793835e-6	15	2	composite	2^4·5^2
1037	140	3.863029423191e-6	12	3	composite	2^2·5·7
1038	813	3.848970793153e-6	4	2	composite	3·271
1039	1174	3.830220416831e-6	4	2	composite	2·587
1040	1007	3.824951726668e-6	4	2	composite	19·53
1041	753	3.777728779691e-6	4	2	composite	3·251
1042	96	3.777109446222e-6	12	2	composite	2^5·3
1043	15360	3.754309663274e-6	44	3	composite	2^10·3·5
1044	983	3.699306842224e-6	2	1	prime	983 (prime)
1045	1055	3.659465537728e-6	4	2	composite	5·211
1046	966	3.643437553622e-6	16	4	composite	2·3·7·23
1047	1331	3.639809113035e-6	4	1	composite	11^3
1048	6719	3.626454141230e-6	2	1	prime	6719 (prime)
1049	689	3.575318984184e-6	4	2	composite	13·53
1050	817	3.556620316964e-6	4	2	composite	19·43
1051	917	3.541319902687e-6	4	2	composite	7·131
1052	151	3.521040392575e-6	2	1	prime	151 (prime)
1053	149	3.473479646541e-6	2	1	prime	149 (prime)
1054	809	3.453508789178e-6	2	1	prime	809 (prime)
