k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
86	2.034482809223e-7	0	4	132	2	2	189	spectator	2·43
87	2.588995100214e-5	0	4	120	2	2	218	spectator	3·29
88	5.852247246325e-5	0	8	180	2	4	369	spectator	2^3·11
89	5.683688250866e-4	1	2	90	1	1	98	excited boson	89 (prime)
90	3.650320561179e-3	0	12	234	3	4	517	heavy fermion	2·3^2·5
91	4.045961443228e-4	0	4	112	2	2	248	fermion	7·13
92	9.661045277198e-3	0	6	168	2	3	283	heavy fermion	2^2·23
93	1.554738043062e-3	0	4	128	2	2	222	heavy fermion	3·31
94	5.472624905205e-2	0	4	144	2	2	193	heavy fermion	2·47
95	2.791539277535e-2	0	4	120	2	2	246	heavy fermion	5·19
96	4.361891348672e-1	0	12	252	2	6	473	heavy fermion	2^5·3
97	1.080107913933e-2	1	2	98	1	1	98	excited boson	97 (prime)
98	1.927095924497e-1	0	6	171	2	3	303	heavy fermion	2·7^2
99	3.881455715058e-2	0	6	156	2	3	342	heavy fermion	3^2·11
100	4.182765395245e-5	0	9	217	2	4	419	spectator	2^2·5^2
