rank	k	weight	d_k	omega	is_prime	factors
93	1364	6.035730801021e-4	12	3	composite	2^2·11·31
94	2401	5.917058835692e-4	5	1	composite	7^4
95	673	5.745209757979e-4	2	1	prime	673 (prime)
96	1920	5.665561550130e-4	32	3	composite	2^7·3·5
97	1153	5.552603996330e-4	2	1	prime	1153 (prime)
98	39936	5.461727459107e-4	44	3	composite	2^10·3·13
99	8448	5.383013090325e-4	36	3	composite	2^8·3·11
100	1612	5.373045881600e-4	12	3	composite	2^2·13·31
101	9216	5.330061124021e-4	33	2	composite	2^10·3^2
102	10752	5.166279048355e-4	40	3	composite	2^9·3·7
103	26407	5.108471770119e-4	2	1	prime	26407 (prime)
104	23808	5.103841160062e-4	36	3	composite	2^8·3·31
105	12589	5.081886272162e-4	2	1	prime	12589 (prime)
106	26417	4.998646225783e-4	2	1	prime	26417 (prime)
107	4960	4.990548749038e-4	24	3	composite	2^5·5·31
108	889	4.982183615542e-4	4	2	composite	7·127
109	14336	4.953490652470e-4	24	2	composite	2^11·7
110	90720	4.916498938395e-4	120	4	composite	2^5·3^4·5·7
111	21504	4.871508148129e-4	44	3	composite	2^10·3·7
112	48768	4.721959800458e-4	32	3	composite	2^7·3·127
113	528	4.713486466429e-4	20	3	composite	2^4·3·11
114	3360	4.674910465708e-4	48	4	composite	2^5·3·5·7
115	3137	4.591510340408e-4	2	1	prime	3137 (prime)
116	63488	4.387498249654e-4	24	2	composite	2^11·31
117	1571	4.263481042688e-4	2	1	prime	1571 (prime)
118	2197	4.177730260967e-4	4	1	composite	13^3
119	19968	4.092533011756e-4	40	3	composite	2^9·3·13
120	7177	3.980213022566e-4	2	1	prime	7177 (prime)
121	1789	3.861146999343e-4	2	1	prime	1789 (prime)
122	907	3.818274847580e-4	2	1	prime	907 (prime)
123	6599	3.772110848683e-4	2	1	prime	6599 (prime)
124	2309	3.738432150576e-4	2	1	prime	2309 (prime)
125	37799	3.616531861846e-4	2	1	prime	37799 (prime)
126	52832	3.579108904960e-4	24	3	composite	2^5·13·127
127	3556	3.535972609358e-4	12	3	composite	2^2·7·127
128	5588	3.513834981541e-4	12	3	composite	2^2·11·127
129	37811	3.474636337460e-4	2	1	prime	37811 (prime)
130	1792	3.473258964905e-4	18	2	composite	2^8·7
131	1056	3.384667359713e-4	24	3	composite	2^5·3·11
132	3840	3.350633292496e-4	36	3	composite	2^8·3·5
133	11657	3.310634151763e-4	2	1	prime	11657 (prime)
134	20160	3.251512502210e-4	84	4	composite	2^6·3^2·5·7
135	27720	3.214787551294e-4	96	5	composite	2^3·3^2·5·7·11
136	1680	3.200479011943e-4	40	4	composite	2^4·3·5·7
137	5040	3.115424389341e-4	60	4	composite	2^4·3^2·5·7
138	1361	3.094441092556e-4	2	1	prime	1361 (prime)
139	806	3.077774185442e-4	8	3	composite	2·13·31
140	40320	3.073409649330e-4	96	4	composite	2^7·3^2·5·7
141	1783	3.028353742610e-4	2	1	prime	1783 (prime)
142	149	2.987350142592e-4	2	1	prime	149 (prime)
143	5456	2.964609348029e-4	20	3	composite	2^4·11·31
144	86016	2.939203624498e-4	52	3	composite	2^12·3·7
145	11903	2.913840602056e-4	2	1	prime	11903 (prime)
146	8389	2.821913003639e-4	2	1	prime	8389 (prime)
147	7937	2.797657174959e-4	2	1	prime	7937 (prime)
148	2719	2.726227659727e-4	2	1	prime	2719 (prime)
149	8419	2.678923736193e-4	2	1	prime	8419 (prime)
150	269	2.677099423562e-4	2	1	prime	269 (prime)
151	97536	2.669552580202e-4	36	3	composite	2^8·3·127
152	4096	2.655524709355e-4	13	1	composite	2^12
153	2917	2.611350208820e-4	2	1	prime	2917 (prime)
154	8192	2.587660403119e-4	14	1	composite	2^13
155	1232	2.532827780652e-4	20	3	composite	2^4·7·11
156	223	2.495414801109e-4	2	1	prime	223 (prime)
157	4992	2.463871431712e-4	32	3	composite	2^7·3·13
158	2304	2.459732578619e-4	27	2	composite	2^8·3^2
159	6277	2.457479709977e-4	2	1	prime	6277 (prime)
160	5581	2.440461081929e-4	2	1	prime	5581 (prime)
161	337	2.411177055079e-4	2	1	prime	337 (prime)
162	5351	2.391279923616e-4	2	1	prime	5351 (prime)
163	5827	2.388518931829e-4	2	1	prime	5827 (prime)
164	4957	2.340554476418e-4	2	1	prime	4957 (prime)
165	13217	2.334790161478e-4	2	1	prime	13217 (prime)
166	359	2.324244827349e-4	2	1	prime	359 (prime)
167	1069	2.298591383516e-4	2	1	prime	1069 (prime)
168	14641	2.290020356020e-4	5	1	composite	11^4
169	7933	2.290011888128e-4	2	1	prime	7933 (prime)
170	616	2.263842288455e-4	16	3	composite	2^3·7·11
171	11909	2.248487382707e-4	2	1	prime	11909 (prime)
172	166320	2.225918181408e-4	160	5	composite	2^4·3^3·5·7·11
173	4219	2.208686782412e-4	2	1	prime	4219 (prime)
174	55440	2.206968906666e-4	120	5	composite	2^4·3^2·5·7·11
175	20320	2.173465135290e-4	24	3	composite	2^5·5·127
176	2540	2.138632311992e-4	12	3	composite	2^2·5·127
177	7561	2.113541973794e-4	2	1	prime	7561 (prime)
178	433	2.066966846861e-4	2	1	prime	433 (prime)
179	3121	2.051298438341e-4	2	1	prime	3121 (prime)
180	13187	1.969143570279e-4	2	1	prime	13187 (prime)
181	10160	1.955161334773e-4	20	3	composite	2^4·5·127
182	5381	1.943418494590e-4	2	1	prime	5381 (prime)
183	31751	1.904364249350e-4	2	1	prime	31751 (prime)
184	12601	1.886301201633e-4	2	1	prime	12601 (prime)
185	2976	1.837867176342e-4	24	3	composite	2^5·3·31
186	3079	1.827233900110e-4	2	1	prime	3079 (prime)
187	5080	1.823929551305e-4	16	3	composite	2^3·5·127
188	39419	1.815419901081e-4	2	1	prime	39419 (prime)
189	9920	1.812901652747e-4	28	3	composite	2^6·5·31
190	2687	1.775497740054e-4	2	1	prime	2687 (prime)
191	3125	1.757753439126e-4	6	1	composite	5^5
192	4931	1.753680911280e-4	2	1	prime	4931 (prime)
193	10007	1.734163499716e-4	2	1	prime	10007 (prime)
194	6299	1.722010451036e-4	2	1	prime	6299 (prime)
195	4177	1.687826544009e-4	2	1	prime	4177 (prime)
196	2239	1.686849604127e-4	2	1	prime	2239 (prime)
197	877	1.670219649548e-4	2	1	prime	877 (prime)
198	3048	1.659132682098e-4	16	3	composite	2^3·3·127
199	15859	1.647181346880e-4	2	1	prime	15859 (prime)
200	4621	1.630759604127e-4	2	1	prime	4621 (prime)
201	31741	1.621318617789e-4	2	1	prime	31741 (prime)
202	48779	1.617725721341e-4	2	1	prime	48779 (prime)
203	24576	1.615924780088e-4	28	2	composite	2^13·3
204	8461	1.598737045229e-4	2	1	prime	8461 (prime)
205	2153	1.588447218215e-4	2	1	prime	2153 (prime)
206	563	1.573721228419e-4	2	1	prime	563 (prime)
207	21503	1.567958097975e-4	2	1	prime	21503 (prime)
208	15360	1.549784505858e-4	44	3	composite	2^10·3·5
209	40955	1.545173799944e-4	4	2	composite	5·8191
210	23297	1.534721684896e-4	2	1	prime	23297 (prime)
211	2729	1.533805354598e-4	2	1	prime	2729 (prime)
212	3301	1.532124233026e-4	2	1	prime	3301 (prime)
213	48767	1.531611061275e-4	2	1	prime	48767 (prime)
214	83160	1.519611861247e-4	128	5	composite	2^3·3^3·5·7·11
215	7559	1.515720619842e-4	2	1	prime	7559 (prime)
216	960	1.496873568244e-4	28	3	composite	2^6·3·5
217	336	1.493691394078e-4	20	3	composite	2^4·3·7
218	11177	1.429974750872e-4	2	1	prime	11177 (prime)
219	39439	1.404262533960e-4	2	1	prime	39439 (prime)
220	23293	1.387541042550e-4	2	1	prime	23293 (prime)
221	22367	1.385607902903e-4	2	1	prime	22367 (prime)
222	2520	1.361004053001e-4	48	4	composite	2^3·3^2·5·7
223	22349	1.350959625521e-4	2	1	prime	22349 (prime)
224	571	1.346335769926e-4	2	1	prime	571 (prime)
225	17911	1.331156418613e-4	2	1	prime	17911 (prime)
226	32512	1.321807347467e-4	18	2	composite	2^8·127
227	12899	1.306325118461e-4	2	1	prime	12899 (prime)
228	4057	1.305850005948e-4	2	1	prime	4057 (prime)
229	1270	1.294504730174e-4	8	3	composite	2·5·127
230	45343	1.265977040415e-4	2	1	prime	45343 (prime)
231	9984	1.265816903685e-4	36	3	composite	2^8·3·13
232	12192	1.252042911611e-4	24	3	composite	2^5·3·127
233	78848	1.214362710369e-4	44	3	composite	2^10·7·11
234	93184	1.209281442543e-4	44	3	composite	2^10·7·13
235	3224	1.191516325589e-4	16	3	composite	2^3·13·31
236	6151	1.188981049894e-4	2	1	prime	6151 (prime)
237	19840	1.187594728812e-4	32	3	composite	2^7·5·31
238	13883	1.183162125506e-4	2	1	prime	13883 (prime)
239	768	1.171631940251e-4	18	2	composite	2^8·3
240	21517	1.142201576601e-4	2	1	prime	21517 (prime)
241	9857	1.133500694862e-4	2	1	prime	9857 (prime)
242	288	1.124980705938e-4	18	2	composite	2^5·3^2
243	11173	1.123286074580e-4	2	1	prime	11173 (prime)
244	439	1.121544413877e-4	2	1	prime	439 (prime)
245	25088	1.120973618960e-4	30	2	composite	2^9·7^2
246	14224	1.115418090208e-4	20	3	composite	2^4·7·127
247	45361	1.097883969622e-4	2	1	prime	45361 (prime)
248	3302	1.095921389826e-4	8	3	composite	2·13·127
249	3833	1.082156804848e-4	2	1	prime	3833 (prime)
250	809	1.074780030264e-4	2	1	prime	809 (prime)
251	47623	1.062442156411e-4	2	1	prime	47623 (prime)
252	24384	1.060803269975e-4	28	3	composite	2^6·3·127
253	24593	1.031396038624e-4	2	1	prime	24593 (prime)
254	79872	1.031156435888e-4	48	3	composite	2^11·3·13
255	3968	1.028522989644e-4	16	2	composite	2^7·31
256	158720	1.025868722464e-4	44	3	composite	2^10·5·31
257	762	9.907762949605e-5	8	3	composite	2·3·127
258	4481	9.767903267072e-5	2	1	prime	4481 (prime)
259	6301	9.604807705263e-5	2	1	prime	6301 (prime)
260	672	9.480749256224e-5	24	3	composite	2^5·3·7
261	190464	9.387119027892e-5	48	3	composite	2^11·3·31
262	47609	9.343572366002e-5	2	1	prime	47609 (prime)
263	25200	9.253269547688e-5	90	4	composite	2^4·3^2·5^2·7
264	381	9.208201083002e-5	4	2	composite	3·127
265	4229	9.179192468326e-5	2	1	prime	4229 (prime)
266	40961	9.162600209049e-5	2	1	prime	40961 (prime)
267	1777	9.154060300412e-5	2	1	prime	1777 (prime)
268	13208	8.934919195998e-5	16	3	composite	2^3·13·127
269	23813	8.893448036246e-5	2	1	prime	23813 (prime)
270	78125	8.753148100950e-5	8	1	composite	5^7
271	10739	8.640327522605e-5	2	1	prime	10739 (prime)
272	21821	8.603019623245e-5	2	1	prime	21821 (prime)
273	16267	8.421950357004e-5	2	1	prime	16267 (prime)
274	1613	8.330913084557e-5	2	1	prime	1613 (prime)
275	40949	8.311263773964e-5	2	1	prime	40949 (prime)
276	4064	8.299623236228e-5	12	2	composite	2^5·127
277	8963	8.293456107847e-5	2	1	prime	8963 (prime)
278	21839	8.288135322807e-5	2	1	prime	21839 (prime)
279	23801	8.139062786058e-5	2	1	prime	23801 (prime)
280	2971	8.087341100738e-5	2	1	prime	2971 (prime)
281	46591	8.009852884294e-5	2	1	prime	46591 (prime)
282	25793	7.987428835591e-5	2	1	prime	25793 (prime)
283	15361	7.970943002648e-5	2	1	prime	15361 (prime)
284	868	7.964095516356e-5	12	3	composite	2^2·7·31
285	15359	7.883531267725e-5	2	1	prime	15359 (prime)
286	8960	7.794980440309e-5	36	3	composite	2^8·5·7
287	498960	7.769055993537e-5	200	5	composite	2^4·3^4·5·7·11
288	16896	7.765569344578e-5	40	3	composite	2^9·3·11
289	3847	7.690431078662e-5	2	1	prime	3847 (prime)
290	28447	7.650747657457e-5	2	1	prime	28447 (prime)
291	65024	7.643587468181e-5	20	2	composite	2^9·127
292	57344	7.593935111440e-5	28	2	composite	2^13·7
293	27701	7.583885612640e-5	2	1	prime	27701 (prime)
294	44704	7.574935196115e-5	24	3	composite	2^5·11·127
295	28463	7.561882158165e-5	2	1	prime	28463 (prime)
296	3779	7.473356350110e-5	2	1	prime	3779 (prime)
297	1151	7.282352941755e-5	2	1	prime	1151 (prime)
298	22679	7.232045018282e-5	2	1	prime	22679 (prime)
299	28448	7.149009808063e-5	24	3	composite	2^5·7·127
300	39929	7.115761835997e-5	2	1	prime	39929 (prime)
301	19712	7.083112380359e-5	36	3	composite	2^8·7·11
302	1979	7.053460979698e-5	2	1	prime	1979 (prime)
303	434	7.030734137176e-5	8	3	composite	2·7·31
304	840	7.022599195954e-5	32	4	composite	2^3·3·5·7
305	2794	7.006845104793e-5	8	3	composite	2·11·127
306	35840	6.941158362957e-5	44	3	composite	2^10·5·7
307	25792	6.860792263582e-5	28	3	composite	2^6·13·31
308	6449	6.808973374780e-5	2	1	prime	6449 (prime)
309	87296	6.745051561751e-5	36	3	composite	2^8·11·31
310	46601	6.740624816128e-5	2	1	prime	46601 (prime)
311	3072	6.708763961279e-5	22	2	composite	2^10·3
312	17921	6.679399376129e-5	2	1	prime	17921 (prime)
313	1397	6.650289645751e-5	4	2	composite	11·127
314	151200	6.605681880055e-5	144	4	composite	2^5·3^3·5^2·7
315	144	6.538776273056e-5	15	2	composite	2^4·3^2
316	22691	6.458976833992e-5	2	1	prime	22691 (prime)
317	2539	6.446009324465e-5	2	1	prime	2539 (prime)
318	16253	6.414318699674e-5	2	1	prime	16253 (prime)
319	14341	6.381009043485e-5	2	1	prime	14341 (prime)
320	831600	6.275741542558e-5	240	5	composite	2^4·3^3·5^2·7·11
321	19973	6.254810054132e-5	2	1	prime	19973 (prime)
322	56896	6.248113986620e-5	28	3	composite	2^6·7·127
323	1367	6.115964090978e-5	2	1	prime	1367 (prime)
324	4201	5.979088342336e-5	2	1	prime	4201 (prime)
325	9851	5.960733666481e-5	2	1	prime	9851 (prime)
326	20323	5.888079371934e-5	2	1	prime	20323 (prime)
327	364	5.882647375664e-5	12	3	composite	2^2·7·13
328	2048	5.854130449029e-5	12	1	composite	2^11
329	24573	5.697870268900e-5	4	2	composite	3·8191
330	14221	5.666201216853e-5	2	1	prime	14221 (prime)
331	39937	5.661158785327e-5	2	1	prime	39937 (prime)
332	332640	5.564245925953e-5	192	5	composite	2^5·3^3·5·7·11
333	479	5.564020628830e-5	2	1	prime	479 (prime)
334	12893	5.540518477318e-5	2	1	prime	12893 (prime)
335	2187	5.537992407338e-5	8	1	composite	3^7
336	12547	5.525329438053e-5	2	1	prime	12547 (prime)
337	27733	5.498514682066e-5	2	1	prime	27733 (prime)
338	222208	5.447351630098e-5	44	3	composite	2^10·7·31
339	55552	5.357530669676e-5	36	3	composite	2^8·7·31
340	79360	5.315354852737e-5	40	3	composite	2^9·5·31
341	1051	5.293136923210e-5	2	1	prime	1051 (prime)
342	720	5.202497688617e-5	30	3	composite	2^4·3^2·5
343	1567	5.184234973342e-5	2	1	prime	1567 (prime)
344	81910	5.136403946259e-5	8	3	composite	2·5·8191
345	2496	5.034486182335e-5	28	3	composite	2^6·3·13
346	168	5.024294048661e-5	16	3	composite	2^3·3·7
347	415800	4.972170710413e-5	192	5	composite	2^3·3^3·5^2·7·11
348	3049	4.954739588617e-5	2	1	prime	3049 (prime)
349	1568	4.767227398504e-5	18	2	composite	2^5·7^2
350	5051	4.748193391938e-5	2	1	prime	5051 (prime)
351	1637	4.738724082826e-5	2	1	prime	1637 (prime)
352	12163	4.704794281472e-5	2	1	prime	12163 (prime)
353	2459	4.661412398520e-5	2	1	prime	2459 (prime)
354	401	4.620777484235e-5	2	1	prime	401 (prime)
355	392	4.595162086368e-5	12	2	composite	2^3·7^2
356	15877	4.582656454596e-5	2	1	prime	15877 (prime)
357	3229	4.572075674968e-5	2	1	prime	3229 (prime)
358	277200	4.497245006844e-5	180	5	composite	2^4·3^2·5^2·7·11
359	51584	4.490321325625e-5	32	3	composite	2^7·13·31
360	80640	4.471094145961e-5	108	4	composite	2^8·3^2·5·7
361	311	4.457705589951e-5	2	1	prime	311 (prime)
362	28561	4.442452553486e-5	5	1	composite	13^4
363	2467	4.410812639897e-5	2	1	prime	2467 (prime)
364	136080	4.408545320460e-5	120	4	composite	2^4·3^5·5·7
365	7112	4.393990110187e-5	16	3	composite	2^3·7·127
366	1651	4.388906380091e-5	4	2	composite	13·127
367	226800	4.279173112202e-5	150	4	composite	2^4·3^4·5^2·7
368	4919	4.247930103322e-5	2	1	prime	4919 (prime)
369	7159	4.191474158589e-5	2	1	prime	7159 (prime)
370	111104	4.186329350794e-5	40	3	composite	2^9·7·31
371	14327	4.179727442623e-5	2	1	prime	14327 (prime)
372	21824	4.172111716545e-5	28	3	composite	2^6·11·31
373	241	4.171454316164e-5	2	1	prime	241 (prime)
374	10909	4.137659481348e-5	2	1	prime	10909 (prime)
375	383	4.132183836822e-5	2	1	prime	383 (prime)
376	27773	4.058026058285e-5	2	1	prime	27773 (prime)
377	2887	4.043368396012e-5	2	1	prime	2887 (prime)
378	4967	4.010431677586e-5	2	1	prime	4967 (prime)
379	3472	4.009769128412e-5	20	3	composite	2^4·7·31
380	300	3.992680594627e-5	18	3	composite	2^2·3·5^2
381	77	3.989798599785e-5	4	2	composite	7·11
382	2297	3.978031626213e-5	2	1	prime	2297 (prime)
383	729	3.968185210490e-5	7	1	composite	3^6
384	180	3.878641013659e-5	18	3	composite	2^2·3^2·5
385	9221	3.854225303821e-5	2	1	prime	9221 (prime)
386	1456	3.840943383048e-5	20	3	composite	2^4·7·13
387	3041	3.824569486513e-5	2	1	prime	3041 (prime)
388	25189	3.805207993048e-5	2	1	prime	25189 (prime)
389	20297	3.758973006252e-5	2	1	prime	20297 (prime)
390	138600	3.753108132712e-5	144	5	composite	2^3·3^2·5^2·7·11
391	40640	3.728922576785e-5	28	3	composite	2^6·5·127
392	172032	3.685029814957e-5	56	3	composite	2^13·3·7
393	27779	3.625130704366e-5	2	1	prime	27779 (prime)
394	8128	3.587686669040e-5	14	2	composite	2^6·127
395	32531	3.545769693073e-5	2	1	prime	32531 (prime)
396	11633	3.538740087440e-5	2	1	prime	11633 (prime)
397	10912	3.491948454575e-5	24	3	composite	2^5·11·31
398	25219	3.380394441172e-5	2	1	prime	25219 (prime)
399	174592	3.326449398161e-5	40	3	composite	2^9·11·31
400	9973	3.262898711717e-5	2	1	prime	9973 (prime)
401	3557	3.172950070986e-5	2	1	prime	3557 (prime)
402	50400	3.156981337990e-5	108	4	composite	2^5·3^2·5^2·7
403	8191	3.014307230739e-5	2	1	prime	8191 (prime)
404	264	3.006625599031e-5	16	3	composite	2^3·3·11
405	2797	2.989352996260e-5	2	1	prime	2797 (prime)
406	2912	2.941053495654e-5	24	3	composite	2^5·7·13
407	617	2.911268913230e-5	2	1	prime	617 (prime)
408	179	2.908125609380e-5	2	1	prime	179 (prime)
409	39703	2.879157491498e-5	2	1	prime	39703 (prime)
410	32507	2.859976937988e-5	2	1	prime	32507 (prime)
411	1277	2.851059988374e-5	2	1	prime	1277 (prime)
412	19841	2.799854093040e-5	2	1	prime	19841 (prime)
413	143360	2.785331976923e-5	52	3	composite	2^12·5·7
414	409	2.757012713004e-5	2	1	prime	409 (prime)
415	5039	2.705470472876e-5	2	1	prime	5039 (prime)
416	8447	2.677379876341e-5	2	1	prime	8447 (prime)
417	10937	2.673517113710e-5	2	1	prime	10937 (prime)
418	24391	2.637732070047e-5	2	1	prime	24391 (prime)
419	14243	2.631626121715e-5	2	1	prime	14243 (prime)
420	1488	2.619368630624e-5	20	3	composite	2^4·3·31
421	84	2.612835402062e-5	12	3	composite	2^2·3·7
422	249480	2.612472145526e-5	160	5	composite	2^3·3^4·5·7·11
423	317440	2.578056320418e-5	48	3	composite	2^11·5·31
424	128	2.566945560250e-5	8	1	composite	2^7
425	619	2.564109722181e-5	2	1	prime	619 (prime)
426	154	2.542486037181e-5	8	3	composite	2·7·11
427	1733	2.541240299941e-5	2	1	prime	1733 (prime)
428	193	2.493554699945e-5	2	1	prime	193 (prime)
429	192	2.486439052921e-5	14	2	composite	2^6·3
430	1061	2.462023363244e-5	2	1	prime	1061 (prime)
431	28687	2.413935269153e-5	2	1	prime	28687 (prime)
432	3491	2.389385523771e-5	2	1	prime	3491 (prime)
433	12197	2.375495299316e-5	2	1	prime	12197 (prime)
434	19963	2.371718577109e-5	2	1	prime	19963 (prime)
435	19683	2.319698476045e-5	10	1	composite	3^9
436	15121	2.304258939925e-5	2	1	prime	15121 (prime)
437	349184	2.285717944001e-5	44	3	composite	2^10·11·31
438	17920	2.255285394629e-5	40	3	composite	2^9·5·7
439	195072	2.235837091761e-5	40	3	composite	2^9·3·127
440	30727	2.216044439541e-5	2	1	prime	30727 (prime)
441	997920	2.200256248439e-5	240	5	composite	2^5·3^4·5·7·11
442	7109	2.158732652867e-5	2	1	prime	7109 (prime)
443	64	2.130504049132e-5	7	1	composite	2^6
444	30713	2.129298659062e-5	2	1	prime	30713 (prime)
445	624	2.116523486541e-5	20	3	composite	2^4·3·13
446	10159	2.108313848143e-5	2	1	prime	10159 (prime)
447	9209	2.078787012462e-5	2	1	prime	9209 (prime)
448	5821	2.063104235069e-5	2	1	prime	5821 (prime)
449	2111	2.024574455968e-5	2	1	prime	2111 (prime)
450	2521	2.022803128125e-5	2	1	prime	2521 (prime)
451	2112	2.011449904707e-5	28	3	composite	2^6·3·11
452	49152	1.995955586107e-5	30	2	composite	2^14·3
453	221760	1.981662930767e-5	168	5	composite	2^6·3^2·5·7·11
454	60480	1.973861418955e-5	112	4	composite	2^6·3^3·5·7
455	6144	1.968211061280e-5	24	2	composite	2^11·3
456	121	1.962999083968e-5	3	1	composite	11^2
457	206336	1.952293134672e-5	40	3	composite	2^9·13·31
458	557	1.923594104188e-5	2	1	prime	557 (prime)
459	5953	1.914506946528e-5	2	1	prime	5953 (prime)
460	110880	1.902694099866e-5	144	5	composite	2^5·3^2·5·7·11
461	191	1.888309322414e-5	2	1	prime	191 (prime)
462	1609	1.837041990459e-5	2	1	prime	1609 (prime)
463	412672	1.755999784209e-5	44	3	composite	2^10·13·31
464	343	1.753429601245e-5	4	1	composite	7^3
465	3583	1.731299053568e-5	2	1	prime	3583 (prime)
