index	raw	unfolded
125	1.104500945551146e-5	4.992667389444476e-1
126	2.255689253230421e-5	1.024881185004737e0
127	2.633795174272703e-5	1.010765026889350e0
128	2.773667937878846e-5	1.120340195554713e0
129	1.320898769699517e-5	5.096588236210560e-1
130	4.185675446966952e-5	1.313399836714557e0
131	2.783708812490457e-5	8.810459685079028e-1
132	5.256301763694447e-5	1.527249298214142e0
133	1.595294395360090e-5	4.624883954038033e-1
134	3.738528629289935e-5	9.396793361271755e-1
135	7.407851495866305e-5	1.839422585978739e0
136	8.036386045550022e-6	1.992482511209442e-1
137	5.359107438857947e-5	1.268427792243618e0
138	2.718415706826570e-5	6.755975140791518e-1
139	8.594247393420144e-5	2.025296459110651e0
140	1.857200898915242e-5	4.430993032047692e-1
141	4.252591899240980e-5	9.444650664200446e-1
142	4.891821918179642e-5	1.040787869575938e0
143	3.042229393696830e-5	5.997653857187165e-1
144	4.012333642895260e-5	7.397606198103354e-1
145	3.165824559464396e-5	5.888972906385229e-1
146	1.083169507719731e-4	1.825184379667895e0
147	2.975789044929529e-5	5.290716263016987e-1
148	9.453873589448914e-5	1.700052953730562e0
149	6.584489874521737e-5	9.856774264155638e-1
150	8.066519893481366e-5	1.124746756737099e0
151	8.003165070162750e-5	1.097202160823371e0
152	8.422919105123506e-6	1.147791241140148e-1
153	4.192005762927936e-5	5.598128479677313e-1
154	1.535384922100988e-4	1.764009414442942e0
155	9.420893587448308e-5	7.845715094410213e-1
156	4.511156458471841e-5	3.534547587919614e-1
157	1.131805758033269e-4	7.427979531531980e-1
158	4.624195620277563e-5	2.558707290018444e-1
159	2.282682176682422e-4	1.137555149833325e0
160	4.292566284124482e-4	1.867717850135600e0
161	1.637531633619863e-4	7.126033497233855e-1
162	3.521741780392880e-4	1.350090057362662e0
163	3.203091371657353e-4	1.183748923089045e0
164	2.612790503830949e-4	7.100769683195970e-1
165	4.743409086012803e-4	1.204812940292674e0
166	9.383697693492784e-5	2.586213863328787e-1
167	3.867351703901950e-4	1.018674908259492e0
168	2.202808233768179e-4	5.694087996759134e-1
169	1.117312254624800e-3	2.278205587697936e0
170	5.114769820936784e-4	8.511928558539369e-1
171	8.969002244808323e-5	1.259096604084804e-1
172	3.486631117023287e-4	4.703037426174244e-1
173	4.315227182136528e-4	5.195668376177371e-1
174	1.459649381999456e-3	1.397836378259636e0
175	1.476329554546534e-3	1.408428567916701e0
176	1.700202375172761e-3	1.313515858626582e0
177	4.130678796002603e-4	2.895293779456482e-1
178	1.367780398650683e-3	9.670392209977852e-1
179	2.570730664938721e-3	1.792887010521888e0
180	1.161201951057202e-3	8.069918317313322e-1
181	3.219456823359449e-3	2.442709150474172e0
182	1.544955178924876e-3	1.223246219294368e0
183	2.135044893895981e-4	1.619654021058039e-1
184	6.454690010001714e-4	4.723962649796511e-1
185	1.515493443647292e-3	9.497933041287828e-1
186	1.459854197445980e-4	8.648299337580848e-2
187	1.095311621425486e-3	4.986888823249669e-1
188	1.020426215620856e-3	2.805850914801900e-1
189	1.897556530220459e-3	3.401298785461981e-1
190	5.092276937344393e-3	3.298371076382560e-1
191	2.177834868679548e-3	3.281211288065455e-2
192	8.811395720586798e-3	2.541728943533991e-2
193	1.738932444401339e-2	4.561412140074206e-2
194	2.157701825005345e-2	5.095265334867787e-2
195	1.091037696791237e-1	2.291283836751803e-1
196	5.617909271174946e-1	1.033719849133661e0
197	3.083407230748962e0	4.865874734326851e0
