k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
950	1.248865880301e-4	0	12	1860	3	4	6513	fermion	2·5^2·19
951	4.371684723345e-5	0	4	1272	2	2	2294	spectator	3·317
952	6.927250385458e-6	0	16	2160	3	5	7861	spectator	2^3·7·17
953	9.546043367743e-6	1	2	954	1	1	998	gauge boson (light)	953 (prime)
954	4.946958688845e-4	0	12	2106	3	4	5815	heavy fermion	2·3^2·53
955	7.400926305505e-5	0	4	1152	2	2	2554	light fermion	5·191
956	4.807470533956e-4	0	6	1680	2	3	2947	heavy fermion	2^2·239
957	2.030456168593e-4	0	8	1440	3	3	5176	fermion	3·11·29
958	1.323475805563e-5	0	4	1440	2	2	1975	spectator	2·479
959	3.264133206887e-4	0	4	1104	2	2	2660	heavy fermion	7·137
960	2.941726695204e-4	0	28	3048	3	8	10853	heavy fermion	2^6·3·5
961	7.408728174941e-5	0	3	993	1	2	1928	light fermion	31^2
962	7.933302619723e-5	0	8	1596	3	3	4641	light fermion	2·13·37
963	5.735919655223e-4	0	6	1404	2	3	3594	heavy fermion	3^2·107
964	1.040053678361e-6	0	6	1694	2	3	2955	spectator	2^2·241
965	8.065935975332e-7	0	4	1164	2	2	2562	spectator	5·193
966	7.322600176365e-4	0	16	2304	4	4	7961	heavy fermion	2·3·7·23
967	3.121102572628e-6	1	2	968	1	1	998	gauge boson (light)	967 (prime)
968	4.115460961494e-5	0	12	1995	2	5	5961	spectator	2^3·11^2
969	1.420597067056e-6	0	8	1440	3	3	5220	spectator	3·17·19
970	1.009857449249e-4	0	8	1764	3	3	4321	light fermion	2·5·97
971	2.296763451164e-7	1	2	972	1	1	998	gauge boson (light)	971 (prime)
972	3.630622603184e-4	0	18	2548	2	7	7583	heavy fermion	2^2·3^5
973	8.662391349327e-5	0	4	1120	2	2	2672	light fermion	7·139
974	3.495939268357e-6	0	4	1464	2	2	1983	spectator	2·487
975	1.400632992102e-5	0	12	1736	3	4	7250	spectator	3·5^2·13
976	4.904027428612e-6	0	10	1922	2	5	4899	spectator	2^4·61
977	3.037342863346e-6	1	2	978	1	1	998	gauge boson (light)	977 (prime)
978	3.847806764355e-5	0	8	1968	3	3	3949	spectator	2·3·163
979	2.082450544153e-6	0	4	1080	2	2	2768	spectator	11·89
980	5.899124959074e-4	0	18	2394	3	5	8685	heavy fermion	2^2·5·7^2
981	1.892321170083e-4	0	6	1430	2	3	3618	fermion	3^2·109
982	7.739249855091e-5	0	4	1476	2	2	1987	light fermion	2·491
983	1.041449641118e-6	1	2	984	1	1	998	gauge boson (light)	983 (prime)
984	1.993276339850e-5	0	16	2520	3	5	7173	spectator	2^3·3·41
985	2.537786517364e-4	0	4	1188	2	2	2578	heavy fermion	5·197
986	4.632639582078e-5	0	8	1620	3	3	4677	spectator	2·17·29
987	2.250109635545e-4	0	8	1536	3	3	5084	heavy fermion	3·7·47
988	2.783279423224e-5	0	12	1960	3	4	6435	spectator	2^2·13·19
989	3.861453077551e-5	0	4	1056	2	2	2846	spectator	23·43
990	2.148020526323e-3	0	24	2808	4	5	10957	heavy fermion	2·3^2·5·11
991	2.131200190519e-6	1	2	992	1	1	998	gauge boson (light)	991 (prime)
992	2.570902762945e-7	0	12	2016	2	6	5859	spectator	2^5·31
993	3.382192248655e-4	0	4	1328	2	2	2322	heavy fermion	3·331
994	1.645640464450e-7	0	8	1728	3	3	4513	spectator	2·7·71
995	2.090462419722e-5	0	4	1200	2	2	2586	spectator	5·199
996	2.783492415481e-6	0	12	2352	3	4	5613	spectator	2^2·3·83
997	1.128597240008e-5	1	2	998	1	1	998	gauge boson (light)	997 (prime)
998	5.212875044741e-6	0	4	1500	2	2	1995	spectator	2·499
999	8.327702230496e-5	0	8	1520	2	4	4914	light fermion	3^3·37
1000	1.116757724088e-4	0	16	2340	2	6	7499	fermion	2^3·5^3
