k	lambda_k	c_k_sq	E_k	S_cumulative
487	2.629285127040046e-2	3.632710977238604e-6	1.381634475424192e-4	1.446710970238530e-2
488	2.727144586061841e-2	8.289204666992734e-6	3.039517856646845e-4	1.477106148804998e-2
489	2.896438843311404e-2	1.943253941121232e-9	6.709114351261680e-8	1.477112857919350e-2
490	3.322232959165753e-2	8.112118749159309e-6	2.441766982889829e-4	1.501530527748248e-2
491	3.642773458733765e-2	2.305646013837855e-5	6.329369750704458e-4	1.564824225255293e-2
492	4.160877091444544e-2	2.532193681841376e-6	6.085720933809815e-5	1.570909946189102e-2
493	5.669488338883760e-2	6.845853638773151e-5	1.207490558155201e-3	1.691659002004622e-2
494	7.091801270664316e-2	2.838371450618702e-5	4.002327959131914e-4	1.731682281595941e-2
495	1.164447697021501e-1	1.017812647328037e-3	8.740733052514627e-3	2.605755586847404e-2
496	2.887588874868925e-1	2.016137260821553e-2	6.982078641347690e-2	9.587834228195094e-2
497	1.059378403921371e0	3.245160672429822e-1	3.063268668133700e-1	4.022052090953209e-1
498	4.375898430530589e0	2.432772620824348e0	5.559481462940098e-1	9.581533553893307e-1
