N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
19250	3.0903366835e-2	0.304870	0.84011498	0.71113333	0.002257	-0.977650	-0.933089	43	0.867548
19251	3.0903126580e-2	0.304869	0.84011570	0.71113453	0.002257	-0.977650	-0.933089	43	0.867548
19252	3.0902886347e-2	0.304868	0.84011642	0.71113573	0.002257	-0.977650	-0.933089	43	0.867549
19253	3.0902646137e-2	0.304868	0.84011714	0.71113693	0.002309	-0.977137	-0.928034	44	0.867550
19254	3.0902407619e-2	0.304867	0.84011786	0.71113813	0.002257	-0.977650	-0.933089	43	0.867550
19255	3.0902167455e-2	0.304866	0.84011858	0.71113933	0.002309	-0.977137	-0.928034	44	0.867551
19256	3.0901928983e-2	0.304865	0.84011930	0.71114052	0.002309	-0.977137	-0.928034	44	0.867552
19257	3.0901690534e-2	0.304865	0.84012001	0.71114172	0.002309	-0.977137	-0.928034	44	0.867552
19258	3.0901452108e-2	0.304864	0.84012073	0.71114291	0.002361	-0.976625	-0.922980	45	0.867553
19259	3.0901215373e-2	0.304863	0.84012144	0.71114410	0.002309	-0.977137	-0.928034	44	0.867554
19260	3.0900976993e-2	0.304862	0.84012216	0.71114530	0.002309	-0.977137	-0.928034	44	0.867554
19261	3.0900738637e-2	0.304862	0.84012288	0.71114649	0.002257	-0.977649	-0.933088	43	0.867555
19262	3.0900498635e-2	0.304861	0.84012360	0.71114769	0.002309	-0.977137	-0.928034	44	0.867556
19263	3.0900260324e-2	0.304860	0.84012431	0.71114889	0.002361	-0.976625	-0.922981	45	0.867556
19264	3.0900023704e-2	0.304859	0.84012503	0.71115008	0.002361	-0.976625	-0.922981	45	0.867557
19265	3.0899787108e-2	0.304859	0.84012574	0.71115127	0.002412	-0.976113	-0.917929	46	0.867558
19266	3.0899552202e-2	0.304858	0.84012645	0.71115246	0.002412	-0.976113	-0.917929	46	0.867558
19267	3.0899317320e-2	0.304857	0.84012716	0.71115365	0.002361	-0.976625	-0.922981	45	0.867559
19268	3.0899080794e-2	0.304857	0.84012788	0.71115484	0.002361	-0.976625	-0.922981	45	0.867560
19269	3.0898844291e-2	0.304856	0.84012859	0.71115603	0.002361	-0.976625	-0.922981	45	0.867560
19270	3.0898607811e-2	0.304855	0.84012931	0.71115722	0.002412	-0.976113	-0.917929	46	0.867561
19271	3.0898373021e-2	0.304854	0.84013002	0.71115841	0.002464	-0.975601	-0.912878	47	0.867562
19272	3.0898139923e-2	0.304854	0.84013072	0.71115959	0.002464	-0.975601	-0.912878	47	0.867562
19273	3.0897906848e-2	0.304853	0.84013143	0.71116077	0.002412	-0.976113	-0.917929	46	0.867563
19274	3.0897672129e-2	0.304852	0.84013214	0.71116196	0.002361	-0.976625	-0.922980	45	0.867564
19275	3.0897435766e-2	0.304852	0.84013286	0.71116315	0.002361	-0.976625	-0.922980	45	0.867564
19276	3.0897199426e-2	0.304851	0.84013357	0.71116434	0.002361	-0.976625	-0.922980	45	0.867565
19277	3.0896963110e-2	0.304850	0.84013428	0.71116553	0.002412	-0.976113	-0.917930	46	0.867566
19278	3.0896728484e-2	0.304849	0.84013499	0.71116672	0.002412	-0.976113	-0.917930	46	0.867566
19279	3.0896493881e-2	0.304849	0.84013570	0.71116790	0.002464	-0.975601	-0.912880	47	0.867567
