j	k	gcd	formula	integral	error	digits	certified	time_ms
2	25	1	7.567310926831201e-2	7.567298343530660e-2	1.25833e-7	6	true	11652.0
2	26	2	7.397483592810851e-2	7.397470772323993e-2	1.28205e-7	6	true	11428.7
2	27	1	7.149663236508336e-2	7.149650659374732e-2	1.25771e-7	6	true	11958.0
2	28	2	6.998740572489555e-2	6.998727774891637e-2	1.27976e-7	6	true	11588.0
2	29	1	6.780088124382676e-2	6.780075552559005e-2	1.25718e-7	6	true	11799.5
2	30	2	6.644972189291963e-2	6.644959411543074e-2	1.27777e-7	6	true	11931.0
2	31	1	6.450474443579084e-2	6.450461876398002e-2	1.25672e-7	6	true	11731.9
2	32	2	6.328719464523816e-2	6.328706704146213e-2	1.27604e-7	6	true	11253.5
2	33	1	6.154466488468600e-2	6.154453925368758e-2	1.25631e-7	6	true	11197.5
2	34	2	6.044114535554147e-2	6.044101790470568e-2	1.27451e-7	6	true	12199.9
2	35	1	5.887009390946247e-2	5.886996831483062e-2	1.25595e-7	6	true	12768.3
2	36	2	5.786473529991187e-2	5.786460798524751e-2	1.27315e-7	6	true	12133.9
2	37	1	5.644029575511011e-2	5.644017019239531e-2	1.25563e-7	6	true	13607.5
2	38	2	5.552009210778582e-2	5.551996491496126e-2	1.27193e-7	6	true	14159.5
2	39	1	5.422205512557810e-2	5.422192959175572e-2	1.25534e-7	6	true	14210.5
2	40	2	5.337624008286000e-2	5.337611299999333e-2	1.27083e-7	6	true	13532.6
2	41	1	5.218800233346364e-2	5.218787682542883e-2	1.25508e-7	6	true	12807.6
2	42	2	5.140758244838717e-2	5.140745546465106e-2	1.26984e-7	6	true	12398.3
2	43	1	5.031536955942489e-2	5.031524407509906e-2	1.25484e-7	6	true	13596.7
2	44	2	4.959277027333303e-2	4.959264337949023e-2	1.26894e-7	6	true	12157.4
2	45	1	4.858505358239594e-2	4.858492811949015e-2	1.25463e-7	6	true	13111.1
2	46	2	4.791384726275694e-2	4.791372045126419e-2	1.26811e-7	6	true	12126.8
2	47	1	4.698090000053205e-2	4.698077455742058e-2	1.25443e-7	6	true	11849.8
2	48	2	4.635559459610050e-2	4.635546786020119e-2	1.26736e-7	6	true	11363.5
2	49	1	4.548914994169762e-2	4.548902451658262e-2	1.25425e-7	6	true	11772.9
2	50	2	4.490502299835645e-2	4.490489633225479e-2	1.26666e-7	6	true	11287.6
3	4	1	2.321146333077535e-1	2.321145476597813e-1	8.56480e-8	7	true	16897.4
3	5	1	2.068897702963464e-1	2.068896851113390e-1	8.51850e-8	7	true	15389.3
3	6	3	2.018475297747355e-1	2.018474325527494e-1	9.72220e-8	7	true	11721.0
3	7	1	1.731367423916173e-1	1.731366577357033e-1	8.46559e-8	7	true	14380.0
3	8	1	1.595795760003710e-1	1.595794915098270e-1	8.44905e-8	7	true	14198.2
3	9	3	1.546307861170243e-1	1.546306935246724e-1	9.25924e-8	7	true	11977.8
3	10	1	1.392428661869980e-1	1.392427819279156e-1	8.42591e-8	7	true	13424.4
3	11	1	1.308187981174722e-1	1.308187139425959e-1	8.41749e-8	7	true	13476.4
3	12	3	1.270230660128175e-1	1.270229757352064e-1	9.02776e-8	7	true	11740.2
3	13	1	1.173021782651799e-1	1.173020942197782e-1	8.40454e-8	7	true	13124.9
3	14	1	1.115233935127542e-1	1.115233095182231e-1	8.39945e-8	7	true	12823.9
3	15	3	1.086040652237941e-1	1.086039763350663e-1	8.88887e-8	7	true	12207.1
3	16	1	1.018519949510583e-1	1.018519110391821e-1	8.39119e-8	7	true	12730.1
3	17	1	9.761792663785623e-2	9.761784276010570e-2	8.38778e-8	7	true	13153.0
3	18	3	9.531567539706264e-2	9.531558743437282e-2	8.79627e-8	7	true	11700.0
3	19	1	9.032571059640081e-2	9.032562677595783e-2	8.38204e-8	7	true	12833.2
3	20	1	8.707600078361534e-2	8.707591698748385e-2	8.37961e-8	7	true	12629.2
3	21	3	8.521471095962206e-2	8.521462365817763e-2	8.73014e-8	7	true	11460.0
3	22	1	8.136195332983535e-2	8.136186957586944e-2	8.37540e-8	7	true	12203.8
3	23	1	7.878051860215814e-2	7.878043486649831e-2	8.37357e-8	7	true	12442.4
3	24	3	7.724314056026989e-2	7.724305375488795e-2	8.68054e-8	7	true	11621.4
3	25	1	7.416985892462989e-2	7.416977522110248e-2	8.37035e-8	7	true	11837.1
3	26	1	7.206431740364877e-2	7.206423371440625e-2	8.36892e-8	7	true	12460.5
3	27	3	7.077141564274657e-2	7.077132922313854e-2	8.64196e-8	7	true	11328.0
3	28	1	6.825726985856187e-2	6.825718619478938e-2	8.36638e-8	7	true	12357.7
3	29	1	6.650349603624582e-2	6.650341238372921e-2	8.36525e-8	7	true	12204.7
3	30	3	6.539962394691626e-2	6.539953783599682e-2	8.61109e-8	7	true	11343.4
3	31	1	6.330109246689093e-2	6.330100883500174e-2	8.36319e-8	7	true	12305.0
3	32	1	6.181522381762367e-2	6.181514019513698e-2	8.36225e-8	7	true	12237.5
3	33	3	6.086060224287733e-2	6.086051638444804e-2	8.58584e-8	7	true	11520.4
3	34	1	5.907997764582456e-2	5.907989404025021e-2	8.36056e-8	7	true	11759.1
3	35	1	5.780320192301160e-2	5.780311832522880e-2	8.35978e-8	7	true	12378.0
3	36	3	5.696857339244890e-2	5.696848774440261e-2	8.56480e-8	7	true	12019.6
3	37	1	5.543691219810004e-2	5.543682861468563e-2	8.35834e-8	7	true	11930.0
3	38	1	5.432669531528393e-2	5.432661173836799e-2	8.35769e-8	7	true	12639.2
3	39	3	5.359006155890995e-2	5.358997608899756e-2	8.54699e-8	7	true	11933.8
3	40	1	5.225725284711123e-2	5.225716928252466e-2	8.35646e-8	7	true	11756.8
3	41	1	5.128202797722033e-2	5.128194441832196e-2	8.35589e-8	7	true	12182.7
3	42	3	5.062652445151766e-2	5.062643913419822e-2	8.53173e-8	7	true	12083.3
3	43	1	4.945522544013824e-2	4.945514189155232e-2	8.35486e-8	7	true	12162.7
3	44	1	4.859104387260629e-2	4.859096032919046e-2	8.35434e-8	7	true	12143.5
3	45	3	4.800351829898346e-2	4.800343311399086e-2	8.51850e-8	7	true	11532.7
3	46	1	4.696530209812024e-2	4.696521856358662e-2	8.35345e-8	7	true	12996.9
