i,row_gcd2_12,row_inv_max,row_total_excess
232,0.2526364816,0.6135134637,0.8661499454
233,0.0929514292,0.6124451272,0.7053965565
234,0.3427239370,0.6113813364,0.9541052734
235,0.1566370751,0.6103220529,0.7669591280
236,0.2148558505,0.6092672387,0.8241230892
237,0.1657696985,0.6082168561,0.7739865545
238,0.2540717047,0.6071708680,0.8612425728
239,0.0928843866,0.6061292380,0.6990136246
240,0.4737291598,0.6050919298,1.0788210896
241,0.0928627800,0.6040589076,0.6969216876
242,0.2080499727,0.6030301363,0.8110801090
243,0.2051149800,0.6020055810,0.8071205610
244,0.2144448141,0.6009852073,0.8154300213
245,0.2076841951,0.5999689811,0.8076531762
246,0.2694330344,0.5989568689,0.8683899033
247,0.1417343304,0.5979488376,0.7396831680
248,0.2495588349,0.5969448543,0.8465036892
249,0.1653578881,0.5959448867,0.7613027748
250,0.2346949635,0.5949489028,0.8296438663
251,0.0719269035,0.5939568709,0.6658837744
252,0.4213252870,0.5929687599,1.0142940469
253,0.1215157998,0.5919845388,0.7135003386
254,0.1450693876,0.5910041771,0.7360735647
255,0.2421336424,0.5900276448,0.8321612872
256,0.2362505706,0.5890549119,0.8253054825
257,0.0718690026,0.5880859491,0.6599549517
258,0.2477234799,0.5871207273,0.8348442072
259,0.1271336119,0.5861592176,0.7132928296
260,0.3132038128,0.5852013917,0.8984052044
261,0.1862130280,0.5842472213,0.7704602493
262,0.1448931955,0.5832966788,0.7281898742
263,0.0718137410,0.5823497365,0.6541634776
264,0.3807295788,0.5814063675,0.9621359463
265,0.1327307435,0.5804665447,0.7131972883
266,0.2284430139,0.5795302417,0.8079732556
267,0.1439785976,0.5785974322,0.7225760298
268,0.1911408212,0.5776680901,0.7688089114
269,0.0717609424,0.5767421899,0.6485031323
270,0.3851361113,0.5758197061,0.9609558174
271,0.0717438620,0.5749006135,0.6466444755
272,0.2554602581,0.5739848875,0.8294451455
273,0.2315107624,0.5730725033,0.8045832657
274,0.1446481556,0.5721634367,0.7168115923
275,0.1761281350,0.5712576636,0.7473857986
276,0.3142277280,0.5703551603,0.8845828883
277,0.0716940992,0.5694559033,0.6411500024
278,0.1445711664,0.5685598692,0.7131310356
279,0.1820782891,0.5676670351,0.7497453241
280,0.3719049200,0.5667773781,0.9386822982
281,0.0716621036,0.5658908758,0.6375529794
282,0.2430435037,0.5650075059,0.8080510096
283,0.0716464446,0.5641272463,0.6357736909
284,0.1905172836,0.5632500751,0.7537673587
285,0.2338025587,0.5623759709,0.7961785295
286,0.2149161024,0.5615049121,0.7764210145
287,0.1243593472,0.5606368777,0.6849962249
288,0.3806460483,0.5597718467,0.9404178950
