j	k	G_jk	abs_G_jk	product_maxjk
11	661	4.671689178197497e-3	4.671689178197497e-3	3.087986546788546e0
11	671	4.615656750949344e-3	4.615656750949344e-3	3.097105679887010e0
11	681	4.556335904015014e-3	4.556335904015014e-3	3.102864750634224e0
11	691	4.499998247512051e-3	4.499998247512051e-3	3.109498789030827e0
11	701	4.445580039718767e-3	4.445580039718767e-3	3.116351607842855e0
11	711	4.392805813481550e-3	4.392805813481550e-3	3.123284933385382e0
11	721	4.341574018579015e-3	4.341574018579015e-3	3.130274867395470e0
11	731	4.291614635655767e-3	4.291614635655767e-3	3.137170298664365e0
11	741	4.242880383667565e-3	4.242880383667565e-3	3.143974364297665e0
11	751	4.195515103343686e-3	4.195515103343686e-3	3.150831842611108e0
11	761	4.149483629207642e-3	4.149483629207642e-3	3.157757041827015e0
11	771	4.104880233544037e-3	4.104880233544037e-3	3.164862660062453e0
11	781	4.062345962810605e-3	4.062345962810605e-3	3.172692196955083e0
11	791	4.017254418292720e-3	4.017254418292720e-3	3.177648244869542e0
11	801	3.974239759554053e-3	3.974239759554053e-3	3.183366047402796e0
11	811	3.932531614860458e-3	3.932531614860458e-3	3.189283139651832e0
11	821	3.891937753257875e-3	3.891937753257875e-3	3.195280895424716e0
11	831	3.852393402263133e-3	3.852393402263133e-3	3.201338917280664e0
11	841	3.813705216216679e-3	3.813705216216679e-3	3.207326086838227e0
11	851	3.775845485233088e-3	3.775845485233088e-3	3.213244507933358e0
11	861	3.738931474984664e-3	3.738931474984664e-3	3.219219999961795e0
11	871	3.702945134745875e-3	3.702945134745875e-3	3.225265212363657e0
11	881	3.667967078210142e-3	3.667967078210142e-3	3.231478995903135e0
11	891	3.634498865554983e-3	3.634498865554983e-3	3.238338489209490e0
11	901	3.598987847922364e-3	3.598987847922364e-3	3.242688050978050e0
11	911	3.564996701298220e-3	3.564996701298220e-3	3.247711994882678e0
11	921	3.531941589493213e-3	3.531941589493213e-3	3.252918203923249e0
11	931	3.499680840011482e-3	3.499680840011482e-3	3.258202862050690e0
11	941	3.468170277829065e-3	3.468170277829065e-3	3.263548231437150e0
11	951	3.437264525591351e-3	3.437264525591351e-3	3.268838563837374e0
11	961	3.406946249155656e-3	3.406946249155656e-3	3.274075345438586e0
11	971	3.377311918818795e-3	3.377311918818795e-3	3.279369873173049e0
11	981	3.348352217273900e-3	3.348352217273900e-3	3.284733525145696e0
11	991	3.320135600360330e-3	3.320135600360330e-3	3.290254379957087e0
11	1001	3.293064636376750e-3	3.293064636376750e-3	3.296357701013127e0
11	1011	3.264325447808277e-3	3.264325447808277e-3	3.300233027734168e0
11	1021	3.236741715618262e-3	3.236741715618262e-3	3.304713291646245e0
11	1031	3.209855588118182e-3	3.209855588118182e-3	3.309361111349846e0
11	1041	3.183558330261839e-3	3.183558330261839e-3	3.314084221802574e0
11	1051	3.157818231899686e-3	3.157818231899686e-3	3.318866961726570e0
11	1061	3.132521917648705e-3	3.132521917648705e-3	3.323605754625276e0
11	1071	3.107657977269829e-3	3.107657977269829e-3	3.328301693655987e0
11	1081	3.083306738583514e-3	3.083306738583514e-3	3.333054584408779e0
11	1091	3.059463600567384e-3	3.059463600567384e-3	3.337874788219016e0
11	1101	3.036186878497254e-3	3.036186878497254e-3	3.342841753225477e0
11	1111	3.013806539907749e-3	3.013806539907749e-3	3.348339065837509e0
11	1121	2.990038718226757e-3	2.990038718226757e-3	3.351833403132195e0
11	1131	2.967176100256717e-3	2.967176100256717e-3	3.355876169390346e0
11	1141	2.944849937066828e-3	2.944849937066828e-3	3.360073778193251e0
11	1151	2.922974126138979e-3	2.922974126138979e-3	3.364343219185964e0
11	1161	2.901524970671868e-3	2.901524970671868e-3	3.368670490950039e0
11	1171	2.880411518519872e-3	2.880411518519872e-3	3.372961888186770e0
11	1181	2.859625945254440e-3	2.859625945254440e-3	3.377218241345493e0
11	1191	2.839235961930351e-3	2.839235961930351e-3	3.381530030659048e0
11	1201	2.819239616896831e-3	2.819239616896831e-3	3.385906779893094e0
11	1211	2.799686921200138e-3	2.799686921200138e-3	3.390420861573368e0
11	1221	2.780853103515123e-3	2.780853103515123e-3	3.395421639391965e0
11	1231	2.760847435568012e-3	2.760847435568012e-3	3.398603193184223e0
11	1241	2.741568335698932e-3	2.741568335698932e-3	3.402286304602375e0
11	1251	2.722712406290393e-3	2.722712406290393e-3	3.406113220269281e0
11	1261	2.704209760158905e-3	2.704209760158905e-3	3.410008507560379e0
11	1271	2.686042107506188e-3	2.686042107506188e-3	3.413959518640365e0
11	1281	2.668134825380792e-3	2.668134825380792e-3	3.417880711312795e0
11	1291	2.650482365076842e-3	2.650482365076842e-3	3.421772733314203e0
11	1301	2.633142461666769e-3	2.633142461666769e-3	3.425718342628467e0
11	1311	2.616114689519075e-3	2.616114689519075e-3	3.429726357959507e0
11	1321	2.599442272811584e-3	2.599442272811584e-3	3.433863242384103e0
11	1331	2.583358191024669e-3	2.583358191024669e-3	3.438449752253834e0
11	1341	2.566271377758382e-3	2.566271377758382e-3	3.441369917573991e0
