k,mu,c_star,f_k,f_sqrt_k
373,-1,0.1745013795,0.1745013795,3.3701814231
374,-1,0.2887982806,0.2887982806,5.5850929389
377,1,-0.2217984777,0.2217984777,4.3065474455
379,-1,0.2059625413,0.2059625413,4.0096627578
381,1,-0.2286188888,0.2286188888,4.4624626837
382,1,-0.3742482136,0.3742482136,7.3146140768
383,-1,0.2141804775,0.2141804775,4.1915945738
385,-1,0.2286164654,0.2286164654,4.4857789706
386,1,-0.2631612181,0.2631612181,5.1702975837
389,-1,0.1537726393,0.1537726393,3.0328705156
390,1,-0.3805229024,0.3805229024,7.5147252044
391,1,-0.1963077340,0.1963077340,3.8817341528
393,1,-0.2353924651,0.2353924651,4.6664738037
394,1,-0.2622127496,0.2622127496,5.2047744684
395,1,-0.2018268680,0.2018268680,4.0112296672
397,-1,0.1715791789,0.1715791789,3.4186909205
398,1,-0.1965290637,0.1965290637,3.9207425062
399,-1,0.2711363900,0.2711363900,5.4159451479
401,-1,0.1647761127,0.1647761127,3.2996390854
402,-1,0.3782114572,0.3782114572,7.5831161373
403,1,-0.1931564333,0.1931564333,3.8775883367
406,-1,0.2556811167,0.2556811167,5.1518317497
407,1,-0.2118189364,0.2118189364,4.2732862715
409,-1,0.1070299503,0.1070299503,2.1645467882
410,-1,0.3270215409,0.3270215409,6.6216815204
411,1,-0.1244008520,0.1244008520,2.5219952575
413,1,-0.1584607432,0.1584607432,3.2203028342
415,1,-0.2272319965,0.2272319965,4.6290677033
417,1,-0.2212668127,0.2212668127,4.5183961760
418,-1,0.1975539584,0.1975539584,4.0390002208
419,-1,0.1962005955,0.1962005955,4.0161260280
421,-1,0.1449600369,0.1449600369,2.9743312830
422,1,-0.2625926357,0.2625926357,5.3943456101
426,-1,0.3231800831,0.3231800831,6.6703617572
427,1,-0.1205970570,0.1205970570,2.4920149721
429,-1,0.2769422666,0.2769422666,5.7361155123
430,-1,0.3270294253,0.3270294253,6.7814264994
431,-1,0.2610500225,0.2610500225,5.4195393011
433,-1,0.1260774239,0.1260774239,2.6235012448
434,-1,0.1690254962,0.1690254962,3.5212518190
435,-1,0.1963063326,0.1963063326,4.0942931814
437,1,-0.1796584384,0.1796584384,3.7556779033
438,-1,0.2638481656,0.2638481656,5.5219330190
439,-1,0.1724557786,0.1724557786,3.6133498396
442,-1,0.2752991873,0.2752991873,5.7878339652
443,-1,0.2216868805,0.2216868805,4.6659690670
445,1,-0.1989772702,0.1989772702,4.1974301136
446,1,-0.3234793738,0.3234793738,6.8314677595
447,1,-0.1945689232,0.1945689232,4.1136490420
449,-1,0.1334311139,0.1334311139,2.8273546136
451,1,-0.1787794706,0.1787794706,3.7966968135
453,1,-0.1858874354,0.1858874354,3.9563903745
454,1,-0.1919523987,0.1919523987,4.0899826901
455,-1,0.2789798739,0.2789798739,5.9508440897
457,-1,0.1978096433,0.1978096433,4.2286871866
458,1,-0.1704649453,0.1704649453,3.6481091397
461,-1,0.1387158179,0.1387158179,2.9783549180
462,1,-0.4555007037,0.4555007037,9.7906165120
463,-1,0.0846781623,0.0846781623,1.8220568352
465,-1,0.2168641953,0.2168641953,4.6764288544
466,1,-0.2301333317,0.2301333317,4.9678958584
467,-1,0.2192348783,0.2192348783,4.7377057923
469,1,-0.1565236044,0.1565236044,3.3897390113
470,-1,0.3853564815,0.3853564815,8.3543294400
471,1,-0.2503027862,0.2503027862,5.4322048322
473,1,-0.1651550687,0.1651550687,3.5918854448
474,-1,0.2634032848,0.2634032848,5.7346954296
478,1,-0.1844364561,0.1844364561,4.0323731753
479,-1,0.1383816269,0.1383816269,3.0286297828
481,1,-0.1883308127,0.1883308127,4.1304171814
482,1,-0.1945196383,0.1945196383,4.2705810876
483,-1,0.2282165575,0.2282165575,5.0155748439
485,1,-0.1695812099,0.1695812099,3.7346387465
487,-1,0.1727210835,0.1727210835,3.8116220824
489,1,-0.2602614894,0.2602614894,5.7552519459
491,-1,0.1603566599,0.1603566599,3.5532662233
493,1,-0.1718890963,0.1718890963,3.8165573077
494,-1,0.2278865874,0.2278865874,5.0650325338
497,1,-0.2787069353,0.2787069353,6.2133521727
498,-1,0.2398066777,0.2398066777,5.3515051011
499,-1,0.1526984801,0.1526984801,3.4110256659
