a	b	n_two_tile	beta_full	beta_once	s_perm	piece1_logG_beta	piece2_logG_alpha	piece3_digamma	piece1_gauss_err	sum_pcl	delta_target	identity_err
5	14	5	true	true	true	-5.742070353203281e-1	5.226755633661099e-1	4.228575867056952e-2	0.000000e0	-9.245713283648704e-3	-9.245713283648704e-3	3.069029e-125
5	16	5	true	true	true	-5.742070353203281e-1	4.989006914518067e-1	6.434195328602862e-2	0.000000e0	-1.096439058249286e-2	-1.096439058249286e-2	3.282156e-125
5	17	5	true	true	true	-5.742070353203281e-1	5.157476394386385e-1	4.956685232505313e-2	0.000000e0	-8.892543556636436e-3	-8.892543556636436e-3	3.369914e-125
5	18	5	true	true	true	-5.742070353203281e-1	5.209319562915619e-1	4.572611397577297e-2	0.000000e0	-7.548965052993323e-3	-7.548965052993323e-3	3.447922e-125
5	19	5	true	true	true	-5.742070353203281e-1	5.357748225850731e-1	3.332567401193764e-2	0.000000e0	-5.106538723317317e-3	-5.106538723317317e-3	3.517718e-125
6	7	6	true	true	true	-6.164688219015561e-1	4.435844755174240e-1	1.194872971168406e-1	0.000000e0	-5.339704926729147e-2	-5.339704926729147e-2	5.683387e-126
6	11	6	true	true	true	-6.164688219015561e-1	5.493217625703029e-1	5.098576894819664e-2	0.000000e0	-1.616129038305656e-2	-1.616129038305656e-2	1.808351e-125
6	13	6	true	true	true	-6.164688219015561e-1	5.150346405593118e-1	8.268967407180970e-2	0.000000e0	-1.874450727043455e-2	-1.874450727043455e-2	2.142200e-125
6	17	6	true	true	true	-6.164688219015561e-1	5.721142361597471e-1	3.738928199528004e-2	0.000000e0	-6.965303746528926e-3	-6.965303746528926e-3	2.574240e-125
6	19	6	true	true	true	-6.164688219015561e-1	5.445705255900770e-1	6.235817992873444e-2	0.000000e0	-9.540116382744632e-3	-9.540116382744632e-3	2.722043e-125
7	8	7	true	true	true	-6.486680178143400e-1	4.819186577198564e-1	1.189847127263474e-1	5.562685e-309	-4.776464736813617e-2	-4.776464736813617e-2	4.262541e-126
7	9	7	true	true	true	-6.486680178143400e-1	5.199590104956392e-1	9.035752106669716e-2	5.562685e-309	-3.835148625200363e-2	-3.835148625200363e-2	7.577850e-126
7	10	7	true	true	true	-6.486680178143400e-1	5.441280766253394e-1	7.425938240546003e-2	5.562685e-309	-3.028055878354058e-2	-3.028055878354058e-2	1.023010e-125
7	11	7	true	true	true	-6.486680178143400e-1	5.456428170865713e-1	7.660518637259794e-2	5.562685e-309	-2.642001435517083e-2	-2.642001435517083e-2	1.240012e-125
7	12	7	true	true	true	-6.486680178143400e-1	5.651831996196485e-1	6.350352263047233e-2	5.562685e-309	-1.998129556421922e-2	-1.998129556421922e-2	1.420847e-125
7	13	7	true	true	true	-6.486680178143400e-1	5.899054979117252e-1	4.616836214028554e-2	5.562685e-309	-1.259415776232919e-2	-1.259415776232919e-2	1.573861e-125
7	15	7	true	true	true	-6.486680178143400e-1	5.518212843633059e-1	8.023918464783346e-2	5.562685e-309	-1.660754880320063e-2	-1.660754880320063e-2	1.818684e-125
7	16	7	true	true	true	-6.486680178143400e-1	5.715299258209595e-1	6.308829763078949e-2	5.562685e-309	-1.404979436259100e-2	-1.404979436259100e-2	1.918143e-125
7	17	7	true	true	true	-6.486680178143400e-1	5.842171722205260e-1	5.280025109733328e-2	5.562685e-309	-1.165059449648063e-2	-1.165059449648063e-2	2.005901e-125
7	18	7	true	true	true	-6.486680178143400e-1	5.832010524462140e-1	5.475896698728951e-2	5.562685e-309	-1.070799838083642e-2	-1.070799838083642e-2	2.083909e-125
7	19	7	true	true	true	-6.486680178143400e-1	5.944562191485355e-1	4.581814641366710e-2	5.562685e-309	-8.393652252137347e-3	-8.393652252137347e-3	2.153705e-125
7	20	7	true	true	true	-6.486680178143400e-1	6.097985608208069e-1	3.341574024471557e-2	5.562685e-309	-5.453716748817563e-3	-5.453716748817563e-3	2.216521e-125
8	9	8	true	true	true	-6.741061201990989e-1	5.137705220740724e-1	1.172086116681358e-1	5.562685e-309	-4.312698645689073e-2	-4.312698645689073e-2	3.315309e-126
8	11	8	true	true	true	-6.741061201990989e-1	5.643712816714459e-1	7.989076158130931e-2	5.562685e-309	-2.984407694634372e-2	-2.984407694634372e-2	8.137577e-126
8	13	8	true	true	true	-6.741061201990989e-1	5.887904795354874e-1	6.466270448608132e-2	5.562685e-309	-2.065293617753028e-2	-2.065293617753028e-2	1.147607e-125
8	15	8	true	true	true	-6.741061201990989e-1	6.219068054791416e-1	4.207832774366937e-2	5.562685e-309	-1.012098697628792e-2	-1.012098697628792e-2	1.392430e-125
8	17	8	true	true	true	-6.741061201990989e-1	5.817373378089806e-1	7.748116242673922e-2	5.562685e-309	-1.488761996337909e-2	-1.488761996337909e-2	1.579647e-125
8	19	8	true	true	true	-6.741061201990989e-1	6.072928897254208e-1	5.553162931465210e-2	5.562685e-309	-1.128160115902596e-2	-1.128160115902596e-2	1.727451e-125
9	10	9	true	true	true	-6.947662196632525e-1	5.407157334012028e-1	1.147824063724151e-1	5.562685e-309	-3.926807988963446e-2	-3.926807988963446e-2	2.652247e-126
9	11	9	true	true	true	-6.947662196632525e-1	5.722819896091792e-1	8.937863167010283e-2	5.562685e-309	-3.310559838397045e-2	-3.310559838397045e-2	4.822268e-126
9	13	9	true	true	true	-6.947662196632525e-1	6.074585738290784e-1	6.457635106775221e-2	5.562685e-309	-2.273129476642186e-2	-2.273129476642186e-2	8.160761e-126
9	14	9	true	true	true	-6.947662196632525e-1	6.012677659747343e-1	7.205940141530051e-2	5.562685e-309	-2.143905227321764e-2	-2.143905227321764e-2	9.472312e-126
9	16	9	true	true	true	-6.947662196632525e-1	6.286047260285867e-1	5.285536820369387e-2	5.562685e-309	-1.330612543097186e-2	-1.330612543097186e-2	1.160358e-125
9	17	9	true	true	true	-6.947662196632525e-1	6.478315805078783e-1	3.860342771271771e-2	5.562685e-309	-8.331211442656495e-3	-8.331211442656495e-3	1.248116e-125
9	19	9	true	true	true	-6.947662196632525e-1	6.066081917558461e-1	7.467804151861430e-2	5.562685e-309	-1.347998638879205e-2	-1.347998638879205e-2	1.395920e-125
9	20	9	true	true	true	-6.947662196632525e-1	6.227824062524545e-1	6.013980041341101e-2	5.562685e-309	-1.184401299738689e-2	-1.184401299738689e-2	1.458736e-125
10	11	10	true	true	true	-7.119154252345031e-1	5.638503084848749e-1	1.120460321154330e-1	0.000000e0	-3.601908463419524e-2	-3.601908463419524e-2	2.170021e-126
10	13	10	true	true	true	-7.119154252345031e-1	6.112245089044200e-1	7.444996592323939e-2	0.000000e0	-2.624095040684380e-2	-2.624095040684380e-2	5.508514e-126
10	17	10	true	true	true	-7.119154252345031e-1	6.394862721499066e-1	5.770577706880464e-2	0.000000e0	-1.472337601579188e-2	-1.472337601579188e-2	9.828917e-126
10	19	10	true	true	true	-7.119154252345031e-1	6.692919294478289e-1	3.563223209613442e-2	0.000000e0	-6.991263690539873e-3	-6.991263690539873e-3	1.130695e-125
11	12	11	true	true	true	-7.264034268770493e-1	5.839612026522282e-1	1.091900425783328e-1	5.562685e-309	-3.325218164648826e-2	-3.325218164648826e-2	1.808351e-126
11	13	11	true	true	true	-7.264034268770493e-1	6.108365644328783e-1	8.664418827451856e-2	5.562685e-309	-2.892267416965246e-2	-2.892267416965246e-2	3.338493e-126
11	14	11	true	true	true	-7.264034268770493e-1	6.243155549032010e-1	7.672726867702341e-2	5.562685e-309	-2.536060329682491e-2	-2.536060329682491e-2	4.650044e-126
