j	k	gcd	a	b	ftc_value	series_value	formula_value	err_ftc_series	err_ftc_formula
4	12	4	1	3	1.229161451877669e-1	1.229175431933079e-1	1.229175340322127e-1	1.398006e-6	1.388844e-6
4	13	1	4	13	1.127529056517698e-1	1.127541772253934e-1	1.127541636202808e-1	1.271574e-6	1.257969e-6
4	14	2	2	7	1.072822428317234e-1	1.072835329277354e-1	1.072835225492844e-1	1.290096e-6	1.279718e-6
4	15	1	4	15	1.023722657280538e-1	1.023735295850268e-1	1.023735226469430e-1	1.263857e-6	1.256919e-6
5	6	1	5	6	1.708544423657023e-1	1.708554546344912e-1	1.708554534552582e-1	1.012269e-6	1.011090e-6
5	7	1	5	7	1.540218465150505e-1	1.540228568692088e-1	1.540228560106704e-1	1.010354e-6	1.009496e-6
5	8	1	5	8	1.428108664386710e-1	1.428119017689276e-1	1.428118747466716e-1	1.035330e-6	1.008308e-6
5	9	1	5	9	1.350616900951310e-1	1.350627150233762e-1	1.350626974853238e-1	1.024928e-6	1.007390e-6
5	10	5	1	2	1.344406845548408e-1	1.344418822937538e-1	1.344418511981746e-1	1.197739e-6	1.166643e-6
5	11	1	5	11	1.204189367794779e-1	1.204199423624521e-1	1.204199428165691e-1	1.005583e-6	1.006037e-6
5	12	1	5	12	1.129114454741309e-1	1.129124632575637e-1	1.129124510056426e-1	1.017783e-6	1.005532e-6
5	13	1	5	13	1.072334650498551e-1	1.072344709013114e-1	1.072344701549426e-1	1.005851e-6	1.005105e-6
5	14	1	5	14	1.029022069920141e-1	1.029032263754314e-1	1.029032117351571e-1	1.019383e-6	1.004743e-6
5	15	5	1	3	1.016662494835469e-1	1.016673676401805e-1	1.016673605591035e-1	1.118157e-6	1.111076e-6
6	7	1	6	7	1.503657296838296e-1	1.503665846902952e-1	1.503665696081029e-1	8.550065e-7	8.399243e-7
6	8	2	3	4	1.368897935288761e-1	1.368906695812383e-1	1.368906499872101e-1	8.760524e-7	8.564583e-7
6	9	3	2	3	1.285151049695223e-1	1.285159804053152e-1	1.285159845746155e-1	8.754358e-7	8.796051e-7
6	10	2	3	5	1.201106999837283e-1	1.201115658268000e-1	1.201115518148399e-1	8.658431e-7	8.518311e-7
6	11	1	6	11	1.148520617724273e-1	1.148528883125583e-1	1.148528992986479e-1	8.265401e-7	8.375262e-7
6	12	6	1	2	1.148116815734785e-1	1.148126562720245e-1	1.148126537762566e-1	9.746985e-7	9.722028e-7
6	13	1	6	13	1.042165227171728e-1	1.042173712638804e-1	1.042173595919240e-1	8.485467e-7	8.368748e-7
6	14	2	3	7	9.847228656591361e-2	9.847315546520730e-2	9.847313310057057e-2	8.688993e-7	8.465347e-7
6	15	3	2	5	9.435643917129313e-2	9.435729378318782e-2	9.435730026379352e-2	8.546119e-7	8.610925e-7
7	8	1	7	8	1.341757836940377e-1	1.341765314280903e-1	1.341765022096846e-1	7.477341e-7	7.185156e-7
7	9	1	7	9	1.223634704364686e-1	1.223641848430555e-1	1.223641884838073e-1	7.144066e-7	7.180473e-7
7	10	1	7	10	1.144403981808643e-1	1.144411371353764e-1	1.144411158488240e-1	7.389545e-7	7.176680e-7
7	11	1	7	11	1.082331596883057e-1	1.082338659808128e-1	1.082338770475516e-1	7.062925e-7	7.173592e-7
7	12	1	7	12	1.031996414910743e-1	1.032003623465324e-1	1.032003585973751e-1	7.208555e-7	7.171063e-7
7	13	1	7	13	9.987657103817617e-2	9.987727731524060e-2	9.987728792142402e-2	7.062771e-7	7.168832e-7
7	14	7	1	2	1.001106930493761e-1	1.001115475489267e-1	1.001115263660431e-1	8.544996e-7	8.333167e-7
7	15	1	7	15	9.180862069204773e-2	9.180932522682778e-2	9.180933722468813e-2	7.045348e-7	7.165326e-7
8	9	1	8	9	1.210995850802840e-1	1.211002341022626e-1	1.211002129634582e-1	6.490220e-7	6.278832e-7
8	10	2	4	5	1.111872836636160e-1	1.111879542652664e-1	1.111879190622623e-1	6.706017e-7	6.353986e-7
8	11	1	8	11	1.040610260768320e-1	1.040616636876344e-1	1.040616534323719e-1	6.376108e-7	6.273555e-7
8	12	4	2	3	9.985855094936391e-2	9.985923774007723e-2	9.985921065318387e-2	6.867907e-7	6.597038e-7
