a	b	strip	stirling_b	ft_a	tsum_delta	formula	lhs	identity_err	gap_algebraic	gap_numerical	gap_match
71	77	1.280409731113956e-2	3.385213006594969e-3	4.665278351649264e-3	-4.873003648142544e-3	1.560114736059655e-2	1.598158502124125e-2	3.804377e-4	-5.881629571379802e-4	-2.077252964932797e-4	3.804377e-4
72	77	1.280663780663781e-2	3.385213006594969e-3	4.723067259133126e-3	-4.944104845769300e-3	1.562939738639463e-2	1.597081322659660e-2	3.414158e-4	-5.624534268381440e-4	-2.210375866361741e-4	3.414158e-4
73	77	1.280910869951966e-2	3.385213006594969e-3	4.807388492292232e-3	-4.986830689707096e-3	1.567370732908337e-2	1.601487950869977e-2	3.411722e-4	-5.206143770312551e-4	-1.794421974148628e-4	3.411722e-4
74	77	1.281151281151281e-2	3.385213006594969e-3	4.916922644781288e-3	-5.003040959949653e-3	1.573762921453327e-2	1.611060750293941e-2	3.729783e-4	-4.590966035745083e-4	-8.611831516836498e-5	3.729783e-4
75	77	1.281385281385281e-2	3.385213006594969e-3	5.044328580888189e-3	-4.994468059834017e-3	1.582805707148626e-2	1.624892634150196e-2	4.208693e-4	-3.710087489615236e-4	4.986052105417113e-5	4.208693e-4
76	77	1.281613123718387e-2	3.385213006594969e-3	5.211977716500718e-3	-4.962726869968787e-3	1.595963320029777e-2	1.645059509031077e-2	4.909619e-4	-2.417110434810649e-4	2.492508465319304e-4	4.909619e-4
5	78	1.025641025641026e-2	3.341812839843751e-3	1.634452565110868e-2	3.650511799113377e-309	2.950897572029462e-2	2.994274874736268e-2	4.337730e-4	1.591075262404060e-2	1.634452565110868e-2	4.337730e-4
7	78	1.098901098901099e-2	3.341812839843751e-3	1.458079201212851e-2	-3.129010113525752e-309	2.812920844224561e-2	2.891161584098325e-2	7.824074e-4	1.379838461339087e-2	1.458079201212851e-2	7.824074e-4
11	78	1.165501165501166e-2	3.341812839843751e-3	1.218939393533628e-2	-7.680455099206869e-4	2.595435051260347e-2	2.641817292027100e-2	4.638224e-4	1.095752601774807e-2	1.142134842541559e-2	4.638224e-4
17	78	1.206636500754148e-2	3.341812839843751e-3	9.442157111004103e-3	-1.136515119843934e-3	2.339899782450612e-2	2.371381983854540e-2	3.148220e-4	7.990819977120893e-3	8.305641991160170e-3	3.148220e-4
19	78	1.214574898785425e-2	3.341812839843751e-3	9.451646496984491e-3	-1.534029175526951e-3	2.297191076526517e-2	2.340517914915554e-2	4.332684e-4	7.484348937567165e-3	7.917617321457539e-3	4.332684e-4
23	78	1.226309921962096e-2	3.341812839843751e-3	8.032803153183308e-3	-1.686673720052497e-3	2.163625346895627e-2	2.195104149259552e-2	3.147880e-4	6.031341409491562e-3	6.346129433130811e-3	3.147880e-4
25	78	1.230769230769231e-2	3.341812839843751e-3	8.172892931299197e-3	-2.082344040179767e-3	2.138015417847017e-2	2.174005403865549e-2	3.598999e-4	5.730649030934112e-3	6.090548891119429e-3	3.598999e-4
29	78	1.237842617152962e-2	3.341812839843751e-3	6.725744065509814e-3	-1.853396373553177e-3	2.023856522837364e-2	2.059258670333001e-2	3.540215e-4	4.518326217000265e-3	4.872347691956637e-3	3.540215e-4
31	78	1.240694789081886e-2	3.341812839843751e-3	6.875332020691222e-3	-2.369595254769138e-3	1.985785035405594e-2	2.025449749658469e-2	3.966471e-4	4.109089623393333e-3	4.505736765922084e-3	3.966471e-4
35	78	1.245421245421246e-2	3.341812839843751e-3	6.454648528532106e-3	-2.589795979997367e-3	1.921308597866568e-2	1.966087784259095e-2	4.477919e-4	3.417060684609476e-3	3.864852548534738e-3	4.477919e-4
37	78	1.247401247401247e-2	3.341812839843751e-3	6.624689042522386e-3	-2.995499067102947e-3	1.912976188622576e-2	1.944501528927567e-2	3.152534e-4	3.313936572369536e-3	3.629189975419439e-3	3.152534e-4
41	78	1.250781738586617e-2	3.341812839843751e-3	4.330178593251799e-3	-1.272898902684366e-3	1.847067595323404e-2	1.890690991627735e-2	4.362340e-4	2.621045727524121e-3	3.057279690567432e-3	4.362340e-4
43	78	1.252236135957066e-2	3.341812839843751e-3	4.575305079023915e-3	-2.171638022206064e-3	1.791822678182075e-2	1.826784125623226e-2	3.496145e-4	2.054052582406335e-3	2.403667056817850e-3	3.496145e-4
47	78	1.254773595199127e-2	3.341812839843751e-3	4.457777111813280e-3	-2.774223957872962e-3	1.720832307531272e-2	1.757310194577534e-2	3.647789e-4	1.318774283477700e-3	1.683553153940318e-3	3.647789e-4
49	78	1.255886970172685e-2	3.341812839843751e-3	4.644984469323825e-3	-3.227642638364784e-3	1.690806906542739e-2	1.731802437252964e-2	4.099553e-4	1.007386523856794e-3	1.417341830959042e-3	4.099553e-4
53	78	1.257861635220126e-2	3.341812839843751e-3	4.119405539890039e-3	-3.172473969425723e-3	1.648671268755476e-2	1.686736076250933e-2	3.806481e-4	5.662834955097506e-4	9.469315704643169e-4	3.806481e-4
55	78	1.258741258741259e-2	3.341812839843751e-3	4.325388079517017e-3	-3.627721086227263e-3	1.621889011630523e-2	1.662689242054610e-2	4.080023e-4	2.896646890488939e-4	6.976669932897547e-4	4.080023e-4
59	78	1.260321599304650e-2	3.341812839843751e-3	4.119822600914351e-3	-3.829666684174252e-3	1.588035127618923e-2	1.623518474963035e-2	3.548335e-4	-6.467755670102919e-5	2.901559167400992e-4	3.548335e-4
61	78	1.261034047919294e-2	3.341812839843751e-3	4.297281082124300e-3	-4.151069619397620e-3	1.571145485100901e-2	1.609836478176337e-2	3.869099e-4	-2.406984680276787e-4	1.462114627266788e-4	3.869099e-4
67	78	1.262916188289323e-2	3.341812839843751e-3	4.306977367282879e-3	-4.503318951557620e-3	1.543055960285021e-2	1.577463313846224e-2	3.440735e-4	-5.404151198867718e-4	-1.963415842747402e-4	3.440735e-4
71	78	1.263994221740701e-2	3.341812839843751e-3	4.515285532559894e-3	-4.720624350340281e-3	1.538959754175301e-2	1.577641623947037e-2	3.868187e-4	-5.921575154977450e-4	-2.053388177803871e-4	3.868187e-4
73	78	1.264488935721812e-2	3.341812839843751e-3	4.670249159467242e-3	-4.884242651159734e-3	1.543359702094373e-2	1.577270870536938e-2	3.391117e-4	-5.531051761181503e-4	-2.139934916924927e-4	3.391117e-4
77	78	1.265401265401265e-2	3.341812839843751e-3	5.147682753273651e-3	-4.898558542429546e-3	1.575924491148803e-2	1.624494970470051e-2	4.857048e-4	-2.365805823683734e-4	2.491242108441053e-4	4.857048e-4
2	79	6.329113924050633e-3	3.299511411491299e-3	2.175898276026523e-2	-1.390671161567001e-309	3.124110578408093e-2	3.138760809580716e-2	1.465023e-4	2.161248044853900e-2	2.175898276026523e-2	1.465023e-4
3	79	8.438818565400843e-3	3.299511411491299e-3	1.931832057833831e-2	-1.390671161567001e-309	3.077806492559060e-2	3.105665055523046e-2	2.785856e-4	1.903973494869846e-2	1.931832057833831e-2	2.785856e-4
4	79	9.493670886075950e-3	3.299511411491299e-3	1.748875016385297e-2	1.825255899556689e-309	3.001267340221447e-2	3.028193246142022e-2	2.692591e-4	1.721949110464722e-2	1.748875016385297e-2	2.692591e-4
5	79	1.012658227848101e-2	3.299511411491299e-3	1.611911394747943e-2	2.346757585144314e-309	2.923853661869610e-2	2.954520763745174e-2	3.066710e-4	1.581244292872379e-2	1.611911394747943e-2	3.066710e-4
6	79	1.054852320675105e-2	3.299511411491299e-3	1.531598402824696e-2	-6.171103279453566e-309	2.851701377783672e-2	2.916401864648931e-2	6.470049e-4	1.466897915959437e-2	1.531598402824696e-2	6.470049e-4
7	79	1.084990958408680e-2	3.299511411491299e-3	1.435612995301223e-2	-1.129920318773188e-309	2.781135993486886e-2	2.850555094859033e-2	6.941910e-4	1.366193893929076e-2	1.435612995301223e-2	6.941910e-4
8	79	1.107594936708861e-2	3.299511411491299e-3	1.325102715777809e-2	-1.482971429461224e-4	2.724263343475824e-2	2.747819079341187e-2	2.355574e-4	1.286717265617833e-2	1.310273001483197e-2	2.355574e-4
9	79	1.125175808720113e-2	3.299511411491299e-3	1.267327000696677e-2	-2.775317812238912e-4	2.662751321434458e-2	2.694700772443530e-2	3.194945e-4	1.207624371565216e-2	1.239573822574288e-2	3.194945e-4
10	79	1.139240506329114e-2	3.299511411491299e-3	1.190082657984827e-2	-1.502832839771510e-4	2.617273494132387e-2	2.644245977065355e-2	2.697248e-4	1.148081846654144e-2	1.175054329587112e-2	2.697248e-4
11	79	1.150747986191024e-2	3.299511411491299e-3	1.196526495230045e-2	-7.459470643079554e-4	2.563489121490957e-2	2.602630916139403e-2	3.914179e-4	1.082789994150803e-2	1.121931788799249e-2	3.914179e-4
12	79	1.160337552742616e-2	3.299511411491299e-3	1.123721639928024e-2	-5.932832046548437e-4	2.510936937433778e-2	2.554682013354286e-2	4.374508e-4	1.020648243542032e-2	1.064393319462540e-2	4.374508e-4
13	79	1.168451801363194e-2	3.299511411491299e-3	1.128086106429500e-2	-8.625183877528427e-4	2.485705138544417e-2	2.540237210166540e-2	5.453207e-4	9.873021960320938e-3	1.041834267654216e-2	5.453207e-4
14	79	1.175406871609403e-2	3.299511411491299e-3	1.030867002891030e-2	-6.161664530383462e-4	2.427835436106885e-2	2.474608370345729e-2	4.677293e-4	9.224774233483514e-3	9.692503575871958e-3	4.677293e-4
15	79	1.181434599156118e-2	3.299511411491299e-3	1.027005980893342e-2	-1.160154929727329e-3	2.393150662272719e-2	2.422376228225858e-2	2.922557e-4	8.817649219674715e-3	9.109904879206095e-3	2.922557e-4
16	79	1.186708860759494e-2	3.299511411491299e-3	9.093684107205994e-3	-2.274110669967553e-4	2.376472701529408e-2	2.403287305929547e-2	2.681460e-4	8.598126996207841e-3	8.866273040209238e-3	2.681460e-4
17	79	1.191362620997766e-2	3.299511411491299e-3	9.267614163539141e-3	-1.017228470350412e-3	2.319351975366682e-2	2.346352331465769e-2	2.700036e-4	7.980382132197855e-3	8.250385693188729e-3	2.700036e-4
18	79	1.195499296765119e-2	3.299511411491299e-3	9.194951366026148e-3	-1.192622157275970e-3	2.286819395287315e-2	2.325683358789267e-2	3.886396e-4	7.613689573730651e-3	8.002329208750178e-3	3.886396e-4
19	79	1.199200532978015e-2	3.299511411491299e-3	9.263373466211660e-3	-1.491358872984677e-3	2.268928839372163e-2	2.306353133449843e-2	3.742429e-4	7.397771652450189e-3	7.772014593226982e-3	3.742429e-4
20	79	1.202531645569620e-2	3.299511411491299e-3	7.784717723091999e-3	-2.293972080277840e-4	2.257831069959066e-2	2.288014838225172e-2	3.018377e-4	7.253482832403162e-3	7.555320515064216e-3	3.018377e-4
21	79	1.205545509342978e-2	3.299511411491299e-3	8.096683954270330e-3	-9.471329279410218e-4	2.202042234232984e-2	2.250451753125038e-2	4.840952e-4	6.665455837408760e-3	7.149551026329307e-3	4.840952e-4
22	79	1.208285385500575e-2	3.299511411491299e-3	8.092361228180885e-3	-1.470445166466383e-3	2.169185355816946e-2	2.200428132821156e-2	3.124278e-4	6.309488291672410e-3	6.621916061714502e-3	3.124278e-4
23	79	1.210787011557512e-2	3.299511411491299e-3	7.912287001166944e-3	-1.539721404634720e-3	2.144120285311303e-2	2.177994712359865e-2	3.387443e-4	6.033821326046607e-3	6.372565596532223e-3	3.387443e-4
24	79	1.213080168776371e-2	3.299511411491299e-3	7.938590870124161e-3	-1.742237897372946e-3	2.123442752306801e-2	2.162666607200623e-2	3.922385e-4	5.804114423813001e-3	6.196352972751214e-3	3.922385e-4
25	79	1.215189873417722e-2	3.299511411491299e-3	8.007592589087819e-3	-2.014225698592188e-3	2.112254494668014e-2	2.144477703616415e-2	3.222321e-4	5.671134801011621e-3	5.993366890495632e-3	3.222321e-4
26	79	1.217137293086660e-2	3.299511411491299e-3	8.276979998031862e-3	-2.080528126605277e-3	2.119145146625713e-2	2.166733621378449e-2	4.758847e-4	5.720567123899226e-3	6.196451871426586e-3	4.758847e-4
27	79	1.218940459446789e-2	3.299511411491299e-3	6.268402642082348e-3	-5.379891443535469e-4	2.082441417399834e-2	2.121932950368799e-2	3.949153e-4	5.335498168039155e-3	5.730413497728802e-3	3.949153e-4
28	79	1.220614828209765e-2	3.299511411491299e-3	6.490078566545880e-3	-1.175404994003973e-3	2.038625275309885e-2	2.082033326613086e-2	4.340805e-4	4.880593059509905e-3	5.314673572541907e-3	4.340805e-4
29	79	1.222173723264950e-2	3.299511411491299e-3	6.566294269944826e-3	-1.665044103081457e-3	2.007900683517450e-2	2.042249881100417e-2	3.434920e-4	4.557758191033699e-3	4.901250166863370e-3	3.434920e-4
30	79	1.223628691983122e-2	3.299511411491299e-3	6.541804198533526e-3	-1.881332347650524e-3	1.983739216306633e-2	2.019627018220552e-2	3.588780e-4	4.301593831743809e-3	4.660471850883001e-3	3.588780e-4
31	79	1.224989791751735e-2	3.299511411491299e-3	6.674193053340435e-3	-2.240509735673142e-3	1.964878162657967e-2	1.998309264667595e-2	3.343110e-4	4.099372297571013e-3	4.433683317667293e-3	3.343110e-4
32	79	1.226265822784810e-2	3.299511411491299e-3	6.236186129921594e-3	-1.939019515015164e-3	1.947852658033549e-2	1.985933625424583e-2	3.808097e-4	3.916356940996095e-3	4.297166614906429e-3	3.808097e-4
33	79	1.227464518603759e-2	3.299511411491299e-3	6.345097998352054e-3	-2.317741518726186e-3	1.927932113636733e-2	1.960151307715476e-2	3.221919e-4	3.705164538838442e-3	4.027356479625868e-3	3.221919e-4
34	79	1.228592702903946e-2	3.299511411491299e-3	6.243079313243904e-3	-2.332909229920640e-3	1.914820871616862e-2	1.949560852385403e-2	3.473998e-4	3.562770275637857e-3	3.910170083323264e-3	3.473998e-4
