a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	sum_pcl	delta_target	identity_err	certified
10	19	9	true	true	true	0.000000e0	0.000000e0	1.780059e-307	7.120236e-307	-6.991263690539873e-3	-6.991263690539873e-3	1.130695e-125	true
11	12	10	true	true	true	1.335044e-307	0.000000e0	3.560118e-307	3.560118e-307	-3.325218164648826e-2	-3.325218164648826e-2	1.808351e-126	true
11	13	10	true	true	true	1.335044e-307	8.900295e-308	3.560118e-307	7.120236e-307	-2.892267416965246e-2	-2.892267416965246e-2	3.338493e-126	true
11	14	10	true	true	true	1.335044e-307	8.900295e-308	3.560118e-307	3.560118e-307	-2.536060329682491e-2	-2.536060329682491e-2	4.650044e-126	true
11	15	10	true	true	true	1.335044e-307	1.780059e-307	3.560118e-307	3.560118e-307	-2.243237808707668e-2	-2.243237808707668e-2	5.786722e-126	true
11	16	10	true	true	true	1.335044e-307	0.000000e0	3.560118e-307	3.560118e-307	-1.809393262425888e-2	-1.809393262425888e-2	6.781314e-126	true
11	17	10	true	true	true	1.335044e-307	8.900295e-308	3.560118e-307	0.000000e0	-1.801833700489523e-2	-1.801833700489523e-2	7.658896e-126	true
11	18	10	true	true	true	1.335044e-307	8.900295e-308	3.560118e-307	7.120236e-307	-1.463528811711001e-2	-1.463528811711001e-2	8.438969e-126	true
11	19	10	true	true	true	1.335044e-307	0.000000e0	3.560118e-307	7.120236e-307	-1.237068633208482e-2	-1.237068633208482e-2	9.136929e-126	true
11	20	10	true	true	true	1.335044e-307	0.000000e0	3.560118e-307	7.120236e-307	-9.583712564165693e-3	-9.583712564165693e-3	9.765093e-126	true
12	13	11	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	7.120236e-307	-3.087088398842588e-2	-3.087088398842588e-2	1.530143e-126	true
12	17	11	true	true	true	0.000000e0	8.900295e-308	3.560118e-307	0.000000e0	-1.843252853618342e-2	-1.843252853618342e-2	5.850546e-126	true
12	19	11	true	true	true	0.000000e0	0.000000e0	3.560118e-307	7.120236e-307	-1.516921577456761e-2	-1.516921577456761e-2	7.328578e-126	true
13	14	12	true	true	true	8.900295e-308	8.900295e-308	7.120236e-307	3.560118e-307	-2.880181716806500e-2	-2.880181716806500e-2	1.311551e-126	true
13	15	12	true	true	true	8.900295e-308	1.780059e-307	7.120236e-307	3.560118e-307	-2.560008590856474e-2	-2.560008590856474e-2	2.448228e-126	true
13	16	12	true	true	true	8.900295e-308	0.000000e0	7.120236e-307	3.560118e-307	-2.260844355731789e-2	-2.260844355731789e-2	3.442821e-126	true
13	17	12	true	true	true	8.900295e-308	8.900295e-308	7.120236e-307	0.000000e0	-1.984473268137216e-2	-1.984473268137216e-2	4.320403e-126	true
13	18	12	true	true	true	8.900295e-308	8.900295e-308	7.120236e-307	7.120236e-307	-1.809700802774945e-2	-1.809700802774945e-2	5.100476e-126	true
13	19	12	true	true	true	8.900295e-308	0.000000e0	7.120236e-307	7.120236e-307	-1.497941676821730e-2	-1.497941676821730e-2	5.798436e-126	true
