t	energy
5.2500	1.632882
5.2600	1.626286
5.2700	1.619684
5.2800	1.613082
5.2900	1.606484
5.3000	1.599894
5.3100	1.593318
5.3200	1.586760
5.3300	1.580225
5.3400	1.573719
5.3500	1.567246
5.3600	1.560810
5.3700	1.554418
5.3800	1.548071
5.3900	1.541776
5.4000	1.535535
5.4100	1.529352
5.4200	1.523229
5.4300	1.517169
5.4400	1.511174
5.4500	1.505246
5.4600	1.499384
5.4700	1.493590
5.4800	1.487864
5.4900	1.482204
5.5000	1.476609
5.5100	1.471079
5.5200	1.465609
5.5300	1.460198
5.5400	1.454842
5.5500	1.449538
5.5600	1.444282
5.5700	1.439070
5.5800	1.433896
5.5900	1.428757
5.6000	1.423647
5.6100	1.418561
5.6200	1.413494
5.6300	1.408442
5.6400	1.403399
5.6500	1.398360
5.6600	1.393321
5.6700	1.388277
5.6800	1.383224
5.6900	1.378159
5.7000	1.373077
5.7100	1.367977
5.7200	1.362856
5.7300	1.357711
5.7400	1.352541
5.7500	1.347345
5.7600	1.342123
5.7700	1.336875
5.7800	1.331602
5.7900	1.326305
5.8000	1.320985
5.8100	1.315645
5.8200	1.310289
5.8300	1.304918
5.8400	1.299537
5.8500	1.294150
5.8600	1.288760
5.8700	1.283374
5.8800	1.277994
5.8900	1.272628
5.9000	1.267278
5.9100	1.261952
5.9200	1.256653
5.9300	1.251386
5.9400	1.246158
5.9500	1.240972
5.9600	1.235833
5.9700	1.230744
5.9800	1.225710
5.9900	1.220735
6.0000	1.215820
6.0100	1.210969
6.0200	1.206184
6.0300	1.201465
6.0400	1.196814
6.0500	1.192231
6.0600	1.187716
6.0700	1.183268
6.0800	1.178885
6.0900	1.174566
6.1000	1.170308
6.1100	1.166108
6.1200	1.161964
6.1300	1.157870
6.1400	1.153822
6.1500	1.149818
6.1600	1.145850
6.1700	1.141915
6.1800	1.138007
6.1900	1.134121
6.2000	1.130251
6.2100	1.126393
6.2200	1.122541
6.2300	1.118689
6.2400	1.114834
6.2500	1.110970
6.2600	1.107092
6.2700	1.103199
6.2800	1.099284
6.2900	1.095346
6.3000	1.091382
6.3100	1.087390
6.3200	1.083369
6.3300	1.079316
6.3400	1.075233
6.3500	1.071119
6.3600	1.066975
6.3700	1.062803
6.3800	1.058604
6.3900	1.054381
6.4000	1.050137
6.4100	1.045875
6.4200	1.041599
6.4300	1.037314
6.4400	1.033024
6.4500	1.028733
6.4600	1.024448
6.4700	1.020172
6.4800	1.015913
6.4900	1.011674
6.5000	1.007461
6.5100	1.003280
6.5200	0.999136
6.5300	0.995033
6.5400	0.990977
6.5500	0.986971
6.5600	0.983019
6.5700	0.979125
6.5800	0.975292
6.5900	0.971522
6.6000	0.967818
6.6100	0.964180
6.6200	0.960610
6.6300	0.957107
6.6400	0.953672
6.6500	0.950302
6.6600	0.946997
6.6700	0.943755
6.6800	0.940572
6.6900	0.937446
6.7000	0.934372
6.7100	0.931348
6.7200	0.928367
6.7300	0.925425
6.7400	0.922517
6.7500	0.919638
6.7600	0.916781
6.7700	0.913943
6.7800	0.911116
6.7900	0.908295
6.8000	0.905474
6.8100	0.902649
6.8200	0.899814
6.8300	0.896964
6.8400	0.894095
6.8500	0.891202
6.8600	0.888283
6.8700	0.885334
6.8800	0.882352
6.8900	0.879335
6.9000	0.876282
6.9100	0.873192
6.9200	0.870065
6.9300	0.866902
6.9400	0.863702
6.9500	0.860469
6.9600	0.857204
6.9700	0.853910
6.9800	0.850590
6.9900	0.847248
7.0000	0.843889
7.0100	0.840517
7.0200	0.837136
7.0300	0.833753
7.0400	0.830373
7.0500	0.827001
7.0600	0.823644
7.0700	0.820307
7.0800	0.816995
7.0900	0.813714
7.1000	0.810470
7.1100	0.807268
7.1200	0.804113
7.1300	0.801009
7.1400	0.797960
7.1500	0.794970
7.1600	0.792041
7.1700	0.789177
7.1800	0.786378
7.1900	0.783647
7.2000	0.780984
7.2100	0.778389
7.2200	0.775861
7.2300	0.773400
7.2400	0.771002
7.2500	0.768665
7.2600	0.766387
7.2700	0.764164
7.2800	0.761991
7.2900	0.759864
7.3000	0.757778
7.3100	0.755727
7.3200	0.753706
7.3300	0.751709
7.3400	0.749730
7.3500	0.747763
7.3600	0.745801
7.3700	0.743840
7.3800	0.741871
7.3900	0.739892
7.4000	0.737894
7.4100	0.735875
7.4200	0.733828
7.4300	0.731751
7.4400	0.729638
7.4500	0.727488
7.4600	0.725297
7.4700	0.723063
7.4800	0.720786
7.4900	0.718464
7.5000	0.716099
7.5100	0.713689
7.5200	0.711238
7.5300	0.708747
7.5400	0.706218
7.5500	0.703656
7.5600	0.701063
7.5700	0.698445
7.5800	0.695806
7.5900	0.693151
7.6000	0.690487
7.6100	0.687818
7.6200	0.685151
7.6300	0.682492
7.6400	0.679848
7.6500	0.677225
7.6600	0.674628
7.6700	0.672065
7.6800	0.669540
7.6900	0.667059
7.7000	0.664628
7.7100	0.662251
7.7200	0.659932
7.7300	0.657675
7.7400	0.655482
7.7500	0.653357
7.7600	0.651301
7.7700	0.649315
7.7800	0.647399
7.7900	0.645553
7.8000	0.643776
7.8100	0.642066
7.8200	0.640421
7.8300	0.638838
7.8400	0.637312
7.8500	0.635840
7.8600	0.634416
7.8700	0.633036
7.8800	0.631694
7.8900	0.630383
7.9000	0.629098
7.9100	0.627831
7.9200	0.626576
7.9300	0.625327
7.9400	0.624076
7.9500	0.622818
7.9600	0.621545
7.9700	0.620251
7.9800	0.618932
7.9900	0.617581
8.0000	0.616194
8.0100	0.614766
8.0200	0.613294
8.0300	0.611774
8.0400	0.610204
8.0500	0.608583
8.0600	0.606909
8.0700	0.605183
8.0800	0.603404
8.0900	0.601574
8.1000	0.599696
8.1100	0.597771
8.1200	0.595803
8.1300	0.593797
8.1400	0.591756
8.1500	0.589687
8.1600	0.587594
8.1700	0.585484
8.1800	0.583364
8.1900	0.581240
8.2000	0.579119
8.2100	0.577007
8.2200	0.574913
8.2300	0.572843
8.2400	0.570804
8.2500	0.568802
8.2600	0.566844
8.2700	0.564936
8.2800	0.563083
8.2900	0.561290
8.3000	0.559562
8.3100	0.557901
8.3200	0.556311
8.3300	0.554795
8.3400	0.553354
8.3500	0.551988
8.3600	0.550697
8.3700	0.549481
8.3800	0.548338
8.3900	0.547266
8.4000	0.546260
8.4100	0.545317
8.4200	0.544434
8.4300	0.543603
8.4400	0.542820
8.4500	0.542078
8.4600	0.541371
8.4700	0.540692
8.4800	0.540032
8.4900	0.539385
8.5000	0.538743
8.5100	0.538099
8.5200	0.537445
8.5300	0.536773
8.5400	0.536078
8.5500	0.535351
8.5600	0.534587
8.5700	0.533780
8.5800	0.532925
8.5900	0.532018
8.6000	0.531055
8.6100	0.530032
8.6200	0.528948
8.6300	0.527801
8.6400	0.526591
8.6500	0.525318
8.6600	0.523984
8.6700	0.522589
8.6800	0.521139
8.6900	0.519635
8.7000	0.518082
8.7100	0.516486
8.7200	0.514852
8.7300	0.513188
8.7400	0.511498
8.7500	0.509792
8.7600	0.508077
8.7700	0.506360
8.7800	0.504649
8.7900	0.502954
8.8000	0.501281
8.8100	0.499640
8.8200	0.498036
8.8300	0.496479
