j	k	tau	M_jk	G_jk
36	43	0.17768118	0.0063130643	0.2483851878
36	44	0.20067070	0.0062506930	0.2487744418
36	45	0.22314355	0.0062603929	0.2519759528
36	46	0.24512246	0.0060986507	0.2481783682
36	47	0.26662866	0.0060364030	0.2483009636
36	48	0.28768207	0.0061393136	0.2552064744
36	49	0.30830136	0.0059085224	0.2481579402
36	50	0.32850407	0.0058495477	0.2481752923
37	37	0.00000000	0.0089545767	0.3313193380
37	38	0.02666825	0.0066721543	0.2501835437
37	39	0.05264373	0.0065541341	0.2489708423
37	40	0.07796154	0.0064380713	0.2476775465
37	41	0.10265415	0.0063703810	0.2481179564
37	42	0.12675171	0.0062985430	0.2482936449
37	43	0.15028220	0.0062261449	0.2483443689
37	44	0.17327172	0.0061480650	0.2480650914
37	45	0.19574458	0.0060803675	0.2481058188
37	46	0.21772348	0.0060107666	0.2479759943
37	47	0.23922969	0.0059594852	0.2485183917
37	48	0.26028310	0.0058936359	0.2483732300
37	49	0.28090239	0.0058285948	0.2481777072
37	50	0.30110509	0.0057684768	0.2481115676
38	38	0.00000000	0.0087115594	0.3310392578
38	39	0.02597549	0.0065042328	0.2503918424
38	40	0.05129329	0.0063663536	0.2482061586
38	41	0.07598591	0.0062830164	0.2480001367
38	42	0.10008346	0.0062175490	0.2483908874
38	43	0.12361396	0.0061391540	0.2481615844
38	44	0.14660347	0.0060679296	0.2481182258
38	45	0.16907633	0.0059910462	0.2477426199
38	46	0.19105524	0.0059307280	0.2479583392
38	47	0.21256144	0.0058750252	0.2482849891
38	48	0.23361485	0.0058165165	0.2484136053
38	49	0.25423414	0.0057477879	0.2480222110
38	50	0.27443685	0.0056908186	0.2480570301
39	39	0.00000000	0.0084987220	0.3314501567
39	40	0.02531781	0.0063228491	0.2497325290
39	41	0.05001042	0.0062106208	0.2483471858
39	42	0.07410797	0.0061447948	0.2486934426
39	43	0.09763847	0.0060666830	0.2484378899
39	44	0.12062799	0.0059894534	0.2481108942
39	45	0.14310084	0.0059281437	0.2483460658
39	46	0.16507975	0.0058539498	0.2479477728
39	47	0.18658596	0.0058043725	0.2485057858
39	48	0.20763936	0.0057484342	0.2487152905
39	49	0.22825865	0.0056777280	0.2482018020
39	50	0.24846136	0.0056216352	0.2482446905
40	40	0.00000000	0.0082534654	0.3301386171
40	41	0.02469261	0.0061560974	0.2493029455
40	42	0.04879016	0.0060577460	0.2482937014
40	43	0.07232066	0.0059727596	0.2477075586
40	44	0.09531018	0.0059171710	0.2482392520
40	45	0.11778304	0.0058567501	0.2484808606
40	46	0.13976194	0.0057693501	0.2474775483
40	47	0.16126815	0.0057120653	0.2476692507
40	48	0.18232156	0.0057126391	0.2503153036
40	49	0.20294084	0.0055876403	0.2473753805
40	50	0.22314355	0.0056258426	0.2515953312
41	41	0.00000000	0.0080672252	0.3307562350
41	42	0.02409755	0.0060275245	0.2501241126
41	43	0.04762805	0.0059224727	0.2486733358
41	44	0.07061757	0.0058401015	0.2480496743
41	45	0.09309042	0.0057703615	0.2478570093
41	46	0.11506933	0.0057066268	0.2478279670
41	47	0.13657554	0.0056526842	0.2481393148
41	48	0.15762894	0.0055920320	0.2480745385
41	49	0.17824823	0.0055284204	0.2477941368
41	50	0.19845094	0.0054746894	0.2478771058
42	42	0.00000000	0.0078954906	0.3316106059
42	43	0.02353050	0.0058986833	0.2506766890
42	44	0.04652002	0.0057917796	0.2489791668
42	45	0.06899287	0.0057237194	0.2488337221
42	46	0.09097178	0.0056502441	0.2483537772
42	47	0.11247798	0.0055972954	0.2486862644
42	48	0.13353139	0.0055673223	0.2499721529
42	49	0.15415068	0.0055155240	0.2502127667
42	50	0.17435339	0.0054176282	0.2482669146
43	43	0.00000000	0.0077103382	0.3315445429
43	44	0.02298952	0.0057551251	0.2503314040
43	45	0.04546237	0.0056536897	0.2486980907
43	46	0.06744128	0.0055853198	0.2484054873
43	47	0.08894749	0.0055308881	0.2486440248
43	48	0.11000090	0.0054703623	0.2485254890
43	49	0.13062018	0.0054049566	0.2480986957
43	50	0.15082289	0.0053550244	0.2483022667
44	44	0.00000000	0.0075284529	0.3312519278
44	45	0.02247286	0.0056229772	0.2502066916
44	46	0.04445176	0.0055275289	0.2486773757
44	47	0.06595797	0.0054668084	0.2486045760
44	48	0.08701138	0.0054186942	0.2490242285
44	49	0.10763066	0.0053403253	0.2479659741
44	50	0.12783337	0.0052915334	0.2481949142
45	45	0.00000000	0.0073587544	0.3311439471
45	46	0.02197891	0.0054948153	0.2499989999
45	47	0.04348511	0.0054111906	0.2488559443
45	48	0.06453852	0.0053523525	0.2487548663
45	49	0.08515781	0.0052833580	0.2480928986
45	50	0.10536052	0.0052481502	0.2489416223
46	46	0.00000000	0.0071956587	0.3310002984
46	47	0.02150621	0.0053893194	0.2505888638
46	48	0.04255961	0.0052969920	0.2489022656
46	49	0.06317890	0.0052261530	0.2481184616
46	50	0.08338161	0.0051749562	0.2481821792
47	47	0.00000000	0.0070644204	0.3320277589
47	48	0.02105341	0.0052805946	0.2508143492
47	49	0.04167270	0.0051885029	0.2489940843
47	50	0.06187540	0.0051294264	0.2486581712
48	48	0.00000000	0.0069128539	0.3318169867
48	49	0.02061929	0.0051647374	0.2504764530
48	50	0.04082199	0.0050820877	0.2489704346
49	49	0.00000000	0.0067612109	0.3312993345
49	50	0.02020271	0.0050589832	0.2504068947
50	50	0.00000000	0.0066264973	0.3313248638
