j	k	tau	M_jk	G_jk
5	35	1.94591015	0.0190862865	0.2524878382
5	36	1.97408103	0.0180027281	0.2415319431
5	37	2.00148000	0.0177375496	0.2412567580
5	38	2.02814825	0.0174939281	0.2411371584
5	39	2.05412373	0.0172869972	0.2413997785
5	40	2.07944154	0.0177017604	0.2503406966
5	41	2.10413415	0.0168464690	0.2412047282
5	42	2.12823171	0.0166482615	0.2412562298
5	43	2.15176220	0.0164532693	0.2412522858
5	44	2.17475172	0.0162658406	0.2412614046
5	45	2.19722458	0.0166512842	0.2497692629
5	46	2.21920348	0.0158972130	0.2410931726
5	47	2.24070969	0.0157435440	0.2413439593
5	48	2.26176310	0.0155738495	0.2412690397
5	49	2.28238239	0.0154194482	0.2413525398
5	50	2.30258509	0.0157430952	0.2489201908
6	6	0.00000000	0.0532953246	0.3197719477
6	7	0.15415068	0.0373208332	0.2418666425
6	8	0.28768207	0.0354905789	0.2458859436
6	9	0.40546511	0.0344016275	0.2527993011
6	10	0.51082562	0.0316159582	0.2448961592
6	11	0.60613580	0.0297832521	0.2419602842
6	12	0.69314718	0.0331903603	0.2816295460
6	13	0.77318989	0.0274478066	0.2424124644
6	14	0.84729786	0.0267062749	0.2447670521
6	15	0.91629073	0.0262377413	0.2489130692
6	16	0.98082925	0.0249655837	0.2446117651
6	17	1.04145387	0.0240148654	0.2425382521
6	18	1.09861229	0.0258660958	0.2688083526
6	19	1.15267951	0.0227303939	0.2426941943
6	20	1.20397280	0.0222626465	0.2438750736
6	21	1.25276297	0.0220306150	0.2472930402
6	22	1.29928298	0.0212420617	0.2440527083
6	23	1.34373475	0.0206340580	0.2423952974
6	24	1.38629436	0.0218697592	0.2624371099
6	25	1.42711636	0.0198332301	0.2429064680
6	26	1.46633707	0.0195382860	0.2440331143
6	27	1.50407740	0.0193462062	0.2462370044
6	28	1.54044504	0.0188243294	0.2439911959
6	29	1.57553636	0.0184177158	0.2429463570
6	30	1.60943791	0.0192481427	0.2582409327
6	31	1.64222774	0.0178006846	0.2427689712
6	32	1.67397643	0.0175865713	0.2436866797
6	33	1.70474809	0.0174537833	0.2455965013
6	34	1.73460106	0.0170646978	0.2437326363
6	35	1.76358859	0.0167647903	0.2429448928
6	36	1.79175947	0.0174223907	0.2560558040
6	37	1.81915844	0.0163103159	0.2430182339
6	38	1.84582669	0.0161372656	0.2436673663
6	39	1.87180218	0.0160409377	0.2453791625
6	40	1.89711998	0.0156932155	0.2431182496
6	41	1.92181260	0.0154612187	0.2424997395
6	42	1.94591015	0.0160158368	0.2542435268
6	43	1.96944065	0.0151274886	0.2429834460
6	44	1.99243016	0.0149892021	0.2435457072
6	45	2.01490302	0.0149038020	0.2448944558
6	46	2.03688193	0.0146570458	0.2435011329
6	47	2.05838813	0.0144752071	0.2430800622
6	48	2.07944154	0.0148992983	0.2528494774
6	49	2.10006083	0.0141666626	0.2429076628
6	50	2.12026354	0.0140550243	0.2434401627
7	7	0.00000000	0.0459382905	0.3215680334
7	8	0.13353139	0.0324589993	0.2429009093
7	9	0.25131443	0.0304742488	0.2418818511
7	10	0.35667494	0.0288858453	0.2416763213
7	11	0.45198512	0.0275957236	0.2421514918
7	12	0.53899650	0.0264575116	0.2424870997
7	13	0.61903921	0.0254899516	0.2431586403
7	14	0.69314718	0.0285757469	0.2828854616
7	15	0.76214005	0.0237507572	0.2433728397
7	16	0.82667857	0.0229528909	0.2429105650
7	17	0.88730320	0.0222819502	0.2430673800
7	18	0.94446161	0.0216642032	0.2431800776
7	19	0.99852883	0.0210704375	0.2429961398
7	20	1.04982212	0.0205389172	0.2430197458
7	21	1.09861229	0.0222628975	0.2699232871
7	22	1.14513230	0.0196185598	0.2434599245
7	23	1.18958407	0.0191443378	0.2429144142
7	24	1.23214368	0.0187784775	0.2433968868
7	25	1.27296568	0.0183935442	0.2433237182
7	26	1.31218639	0.0180379436	0.2433451635
7	27	1.34992672	0.0177212772	0.2436272822
7	28	1.38629436	0.0188256966	0.2635597525
7	29	1.42138568	0.0171161640	0.2438677984
7	30	1.45528723	0.0167770000	0.2431218281
7	31	1.48807706	0.0165152550	0.2432848978
7	32	1.51982575	0.0162575996	0.2433214711
7	33	1.55059741	0.0160046720	0.2432499544
7	34	1.58045038	0.0157968128	0.2437013588
7	35	1.60943791	0.0165954516	0.2597599049
7	36	1.63760879	0.0153690639	0.2439763259
7	37	1.66500776	0.0151420609	0.2436884078
7	38	1.69167601	0.0149245254	0.2434116425
7	39	1.71765150	0.0147428172	0.2435913182
7	40	1.74296931	0.0145132991	0.2428539445
7	41	1.76766192	0.0143720674	0.2434782629
7	42	1.79175947	0.0149986362	0.2571730394
7	43	1.81528997	0.0140586729	0.2439088587
7	44	1.83827948	0.0138786679	0.2435696326
7	45	1.86075234	0.0137206835	0.2435179750
7	46	1.88273125	0.0135652360	0.2434194563
7	47	1.90423745	0.0134502386	0.2439652318
7	48	1.92529086	0.0133053459	0.2438910186
7	49	1.94591015	0.0137656061	0.2549425930
7	50	1.96611286	0.0130223207	0.2436253120
8	8	0.00000000	0.0403755299	0.3230042390
8	9	0.11778304	0.0287234212	0.2437263105
8	10	0.22314355	0.0274248451	0.2452952717
8	11	0.31845373	0.0258589408	0.2425783665
8	12	0.40546511	0.0260929036	0.2556571993
8	13	0.48550782	0.0238275457	0.2429942409
8	14	0.55961579	0.0231837274	0.2453535081
8	15	0.62860866	0.0222709280	0.2439657925
8	16	0.69314718	0.0251051863	0.2840327595
8	17	0.75377180	0.0209522778	0.2443434481
8	18	0.81093022	0.0204482462	0.2453789548
8	19	0.86499744	0.0197598222	0.2436154497
8	20	0.91629073	0.0198300103	0.2508319946
8	21	0.96508090	0.0187960503	0.2436246561
8	22	1.01160091	0.0184712238	0.2450484750
8	23	1.05605267	0.0179843612	0.2439517442
8	24	1.09861229	0.0195566643	0.2709850890
8	25	1.13943428	0.0172910899	0.2445329392
8	26	1.17865500	0.0170024436	0.2452127290
8	27	1.21639532	0.0165903002	0.2438266217
8	28	1.25276297	0.0166637997	0.2494009163
8	29	1.28785429	0.0160354956	0.2442453926
8	30	1.32175584	0.0157993464	0.2447624217
8	31	1.35454566	0.0155145938	0.2443240679
8	32	1.38629436	0.0165151907	0.2642430518
8	33	1.41706602	0.0150323683	0.2442470755
8	34	1.44691898	0.0148571641	0.2450306281
8	35	1.47590652	0.0146014511	0.2443290094
8	36	1.50407740	0.0146477849	0.2485811524
8	37	1.53147637	0.0142062228	0.2444130983
8	38	1.55814462	0.0140509861	0.2449873141
8	39	1.58412010	0.0138506778	0.2446517482
8	40	1.60943791	0.0145229704	0.2597947926
8	41	1.63413053	0.0134806792	0.2441454850
8	42	1.65822808	0.0133673804	0.2450281295
8	43	1.68175857	0.0131697996	0.2442633944
8	44	1.70474809	0.0132042076	0.2477328931
8	45	1.72722095	0.0128647275	0.2440910416
8	46	1.74919985	0.0127571311	0.2447242058
8	47	1.77070606	0.0126259905	0.2448270397
8	48	1.79175947	0.0131656371	0.2579927437
8	49	1.81237876	0.0123373930	0.2442679191
8	50	1.83258146	0.0122405535	0.2448110693
9	9	0.00000000	0.0359855764	0.3238701878
9	10	0.10536052	0.0257252323	0.2440509826
9	11	0.20067070	0.0244310634	0.2430860112
9	12	0.28768207	0.0239785189	0.2491920783
9	13	0.36772478	0.0225096073	0.2434786303
9	14	0.44183275	0.0217097215	0.2436910195
9	15	0.51082562	0.0213730345	0.2483322196
9	16	0.57536414	0.0203343698	0.2440124377
9	17	0.63598877	0.0197866769	0.2447476759
9	18	0.69314718	0.0223712873	0.2847400012
9	19	0.74721440	0.0187244741	0.2448542714
9	20	0.79850770	0.0181634136	0.2436877647
9	21	0.84729786	0.0179957182	0.2474002224
9	22	0.89381788	0.0173442501	0.2440552322
9	23	0.93826964	0.0169562501	0.2439579568
9	24	0.98082925	0.0168247864	0.2472728500
9	25	1.02165125	0.0162950486	0.2444257283
9	26	1.06087196	0.0160053345	0.2448345387
9	27	1.09861229	0.0174056703	0.2713275482
9	28	1.13497993	0.0154382325	0.2450743432
9	29	1.17007125	0.0151419647	0.2446259259
9	30	1.20397280	0.0150094216	0.2466299638
9	31	1.23676263	0.0146346908	0.2444475294
9	32	1.26851133	0.0144037415	0.2444395997
9	33	1.29928298	0.0143008570	0.2464565066
9	34	1.32913595	0.0139849217	0.2446362168
9	35	1.35812348	0.0138117987	0.2451351093
9	36	1.38629436	0.0147274250	0.2650936504
9	37	1.41369334	0.0134403188	0.2452628030
9	38	1.44036158	0.0132263816	0.2445986760
