j	k	tau	M_bd	G_bd	M_hf	G_hf
18	35	0.66497630	0.0016322718	0.0409696976	0.0098801088	0.2479887625
18	36	0.69314718	0.0016235546	0.0413289528	0.0113318760	0.2884624698
18	37	0.72054615	0.0015356380	0.0396301717	0.0096200372	0.2482640668
18	38	0.74721440	0.0014725838	0.0385130629	0.0094620903	0.2474657712
18	39	0.77318989	0.0014181907	0.0375753645	0.0093657729	0.2481488001
18	40	0.79850770	0.0013670155	0.0366808738	0.0091954706	0.2467403687
18	41	0.82320031	0.0013249531	0.0359938832	0.0090813664	0.2467058121
18	42	0.84729786	0.0012874094	0.0353979059	0.0091255623	0.2509114812
18	43	0.87082836	0.0012492520	0.0347552587	0.0088829839	0.2471322125
18	44	0.89381788	0.0012180153	0.0342779895	0.0087826840	0.2471666368
18	45	0.91629073	0.0011913776	0.0339072009	0.0089576969	0.2549405230
18	46	0.93826964	0.0011559388	0.0332621260	0.0085940905	0.2472948614
18	47	0.95977584	0.0011272369	0.0327869028	0.0084995743	0.2472192898
18	48	0.98082925	0.0010999854	0.0323328349	0.0085249674	0.2505818425
18	49	1.00144854	0.0010735667	0.0318833043	0.0083177321	0.2470240394
18	50	1.02165125	0.0010501708	0.0315051246	0.0082416393	0.2472491794
19	19	0.00000000	0.0033483103	0.0636178953	0.0173173682	0.3290299960
19	20	0.05129329	0.0029951604	0.0583864255	0.0127175074	0.2479098589
19	21	0.10008346	0.0027666929	0.0552646478	0.0123493045	0.2466771652
19	22	0.14660347	0.0025908556	0.0529701675	0.0120495829	0.2463543037
19	23	0.19105524	0.0024401253	0.0510097095	0.0117723269	0.2460951365
19	24	0.23361485	0.0023145967	0.0494262601	0.0115510252	0.2466623991
19	25	0.27443685	0.0022025324	0.0480030815	0.0113194845	0.2467024451
19	26	0.31365756	0.0021023762	0.0467276468	0.0110937844	0.2465716812
19	27	0.35139789	0.0020163278	0.0456688239	0.0108832149	0.2464994116
19	28	0.38776553	0.0019390607	0.0447246784	0.0107033784	0.2468747632
19	29	0.42285685	0.0018672357	0.0438303493	0.0105305471	0.2471876297
19	30	0.45675840	0.0017898012	0.0427309168	0.0103266466	0.2465453091
19	31	0.48954823	0.0017277565	0.0419314801	0.0101661521	0.2467256208
19	32	0.52129692	0.0016711666	0.0412070523	0.0100060380	0.2467254427
19	33	0.55206858	0.0016173089	0.0404973638	0.0098520387	0.2466947342
19	34	0.58192155	0.0015704230	0.0399147040	0.0097154453	0.2469329069
19	35	0.61090908	0.0015294736	0.0394414430	0.0095862814	0.2472071310
19	36	0.63907996	0.0014974571	0.0391635840	0.0094595706	0.2473998726
19	37	0.66647893	0.0014692249	0.0389552457	0.0093526666	0.2479779793
19	38	0.69314718	0.0014613467	0.0392664706	0.0107336568	0.2884139772
19	39	0.71912267	0.0013865561	0.0377438812	0.0091229395	0.2483384102
19	40	0.74444047	0.0013290858	0.0366403674	0.0089485213	0.2466937091
19	41	0.76913309	0.0012833477	0.0358189677	0.0088447552	0.2468621721
19	42	0.79323064	0.0012394394	0.0350127907	0.0087519305	0.2472323549
19	43	0.81676114	0.0012027731	0.0343791191	0.0086480546	0.2471891775
19	44	0.83975065	0.0011706205	0.0338469271	0.0085402171	0.2469289723
19	45	0.86222351	0.0011382393	0.0332825530	0.0084443482	0.2469159767
19	46	0.88420242	0.0011091289	0.0327897220	0.0083469611	0.2467653105
19	47	0.90570862	0.0010834100	0.0323756549	0.0082783713	0.2473834428
19	48	0.92676203	0.0010550169	0.0318608107	0.0081943041	0.2474625583
19	49	0.94738132	0.0010274467	0.0313497542	0.0080956990	0.2470183353
19	50	0.96758403	0.0010048927	0.0309728725	0.0080137561	0.2470005522
20	20	0.00000000	0.0030199125	0.0603982496	0.0164202573	0.3284051460
20	21	0.04879016	0.0027161854	0.0556652365	0.0120968047	0.2479107243
20	22	0.09531018	0.0025204287	0.0528689580	0.0117716492	0.2469241962
20	23	0.13976194	0.0023609124	0.0506359302	0.0114652846	0.2459029604
20	24	0.18232156	0.0022311877	0.0488828739	0.0113611464	0.2489102472
20	25	0.22314355	0.0021191758	0.0473862104	0.0111884105	0.2501804639
20	26	0.26236426	0.0020168210	0.0459905943	0.0108224807	0.2467905297
20	27	0.30010459	0.0019324060	0.0449050583	0.0105924310	0.2461458528
20	28	0.33647224	0.0018491895	0.0437598102	0.0105024015	0.2485321806
20	29	0.37156356	0.0017798353	0.0428641103	0.0102405027	0.2466239627
20	30	0.40546511	0.0017277916	0.0423220790	0.0106120248	0.2599404601
20	31	0.43825493	0.0016519112	0.0411322580	0.0099005551	0.2465218337
20	32	0.47000363	0.0015936948	0.0403176448	0.0098191311	0.2484065512
20	33	0.50077529	0.0015413036	0.0395968060	0.0095957988	0.2465205351
20	34	0.53062825	0.0014911681	0.0388849073	0.0094666492	0.2468600079
20	35	0.55961579	0.0014498691	0.0383599301	0.0094338629	0.2495965524
20	36	0.58778666	0.0014113221	0.0378697448	0.0092598371	0.2484675013
20	37	0.61518564	0.0013756112	0.0374206701	0.0090696550	0.2467212906
20	38	0.64185389	0.0013464879	0.0371201096	0.0089684857	0.2472440882
20	39	0.66782937	0.0013245904	0.0369937958	0.0088708407	0.2477490982
20	40	0.69314718	0.0013165269	0.0372370050	0.0101684536	0.2876073003
20	41	0.71783979	0.0012525521	0.0358676349	0.0086446332	0.2475446227
20	42	0.74193734	0.0012025046	0.0348518950	0.0085342188	0.2473451587
20	43	0.76546784	0.0011621014	0.0340795021	0.0084168529	0.2468305788
20	44	0.78845736	0.0011281885	0.0334674802	0.0083635027	0.2481015836
20	45	0.81093022	0.0010944299	0.0328328974	0.0082909182	0.2487275461
20	46	0.83290912	0.0010643309	0.0322827556	0.0081390974	0.2468710480
20	47	0.85441533	0.0010370553	0.0317955121	0.0080500130	0.2468087240
20	48	0.87546874	0.0010092855	0.0312715669	0.0080083691	0.2481302419
20	49	0.89608802	0.0009853233	0.0308454993	0.0078817809	0.2467387718
20	50	0.91629073	0.0009665118	0.0305637870	0.0080616125	0.2549305720
21	21	0.00000000	0.0027444357	0.0576331491	0.0156820995	0.3293240892
21	22	0.04652002	0.0024807972	0.0533227149	0.0115595640	0.2484634091
21	23	0.09097178	0.0023053711	0.0506657433	0.0112229463	0.2466496193
21	24	0.13353139	0.0021660639	0.0486280137	0.0110542120	0.2481664448
21	25	0.17435339	0.0020457010	0.0468728977	0.0107716575	0.2468096800
21	26	0.21357410	0.0019470182	0.0454952780	0.0105639233	0.2468434235
21	27	0.25131443	0.0018591638	0.0442699664	0.0104086875	0.2478491871
21	28	0.28768207	0.0017839857	0.0432593535	0.0104556487	0.2535360057
21	29	0.32277339	0.0017070523	0.0421265081	0.0100079814	0.2469762179
21	30	0.35667494	0.0016420890	0.0412161061	0.0098630682	0.2475610479
21	31	0.38946477	0.0015890151	0.0405432454	0.0096845994	0.2470996646
21	32	0.42121347	0.0015345180	0.0397792541	0.0095307570	0.2470654591
21	33	0.45198512	0.0014757336	0.0388485302	0.0094053050	0.2475936498
21	34	0.48183809	0.0014278944	0.0381544488	0.0092441395	0.2470106040
21	35	0.51082562	0.0013868058	0.0375975290	0.0093147948	0.2525323168
21	36	0.53899650	0.0013444837	0.0369671901	0.0090191026	0.2479843208
21	37	0.56639547	0.0013077832	0.0364540910	0.0088681301	0.2471966407
21	38	0.59306372	0.0012750662	0.0360192098	0.0087452068	0.2470424191
21	39	0.61903921	0.0012463676	0.0356687671	0.0086657347	0.2479975207
21	40	0.64435702	0.0012195801	0.0353467899	0.0085156899	0.2468081406
21	41	0.66904963	0.0012019766	0.0352693613	0.0084483130	0.2478971702
21	42	0.69314718	0.0011962348	0.0355263619	0.0097254425	0.2888309074
21	43	0.71667768	0.0011403912	0.0342687094	0.0082662712	0.2484011062
21	44	0.73966720	0.0010982026	0.0333824697	0.0081388461	0.2473995023
21	45	0.76214005	0.0010626367	0.0326663567	0.0080631229	0.2478672706
21	46	0.78411896	0.0010309765	0.0320433071	0.0079458439	0.2469611220
21	47	0.80562516	0.0010014916	0.0314634186	0.0078835669	0.2476745229
21	48	0.82667857	0.0009735036	0.0309077814	0.0078123563	0.2480346244
21	49	0.84729786	0.0009501330	0.0304783953	0.0078235921	0.2509654218
21	50	0.86750057	0.0009247704	0.0299659871	0.0076253522	0.2470896530
22	22	0.00000000	0.0025100360	0.0552207916	0.0149663623	0.3292599717
22	23	0.04445176	0.0022764593	0.0512076868	0.0110343555	0.2482116891
22	24	0.08701138	0.0021202720	0.0487201410	0.0107813305	0.2477361146
22	25	0.12783337	0.0019928075	0.0467354791	0.0105305702	0.2469637631
22	26	0.16705408	0.0018902113	0.0452072797	0.0103378709	0.2472459123
22	27	0.20479441	0.0018005913	0.0438842196	0.0101211368	0.2466735111
22	28	0.24116206	0.0017173536	0.0426235964	0.0099607326	0.2472188819
22	29	0.27625338	0.0016492040	0.0416566859	0.0097827399	0.2470989189
22	30	0.31015493	0.0015823240	0.0406506400	0.0096184898	0.2471034762
22	31	0.34294475	0.0015250307	0.0398263758	0.0094490844	0.2467640639
22	32	0.37469345	0.0014737488	0.0391029748	0.0093172909	0.2472156633
22	33	0.40546511	0.0014359496	0.0386907809	0.0096634643	0.2603761224
22	34	0.43531807	0.0013760927	0.0376355685	0.0090429862	0.2473219526
22	35	0.46430561	0.0013305977	0.0369225879	0.0089103999	0.2472535616
22	36	0.49247649	0.0012916173	0.0363493324	0.0087942221	0.2474913488
22	37	0.51987546	0.0012540483	0.0357788586	0.0086655330	0.2472335939
22	38	0.54654371	0.0012198276	0.0352696869	0.0085530637	0.2473004146
22	39	0.57251919	0.0011885512	0.0348146104	0.0084412149	0.2472570024
22	40	0.59783700	0.0011585197	0.0343672489	0.0083209107	0.2468381015
22	41	0.62252961	0.0011362099	0.0341241489	0.0082236532	0.2469835662
22	42	0.64662716	0.0011123801	0.0338134272	0.0081540578	0.2478618993
22	43	0.67015766	0.0010980617	0.0337732066	0.0080736318	0.2483216048
22	44	0.69314718	0.0010947864	0.0340617605	0.0092750592	0.2885721203
22	45	0.71562004	0.0010445129	0.0328648309	0.0078863991	0.2481397557
22	46	0.73759894	0.0010083505	0.0320775924	0.0077809975	0.2475286847
22	47	0.75910515	0.0009762827	0.0313932202	0.0076977921	0.2475292051
22	48	0.78015856	0.0009462343	0.0307489765	0.0076220083	0.2476859515
22	49	0.80077784	0.0009200834	0.0302090145	0.0075250841	0.2470704112
22	50	0.82098055	0.0008963026	0.0297269958	0.0074603495	0.2474318015
23	23	0.00000000	0.0023007991	0.0529183791	0.0143024860	0.3289571784
23	24	0.04255961	0.0020933627	0.0491828879	0.0105849835	0.2486908020
23	25	0.08338161	0.0019523863	0.0468165795	0.0103060805	0.2471311282
23	26	0.12260232	0.0018410205	0.0450203852	0.0100944450	0.2468499478
23	27	0.16034265	0.0017492320	0.0435906379	0.0098973616	0.2466409797
23	28	0.19671029	0.0016648091	0.0422481186	0.0097176575	0.2466065005
23	29	0.23180161	0.0015959181	0.0412167296	0.0095631539	0.2469812937
23	30	0.26570317	0.0015275929	0.0401265827	0.0093863982	0.2465605095
23	31	0.29849299	0.0014719920	0.0393052192	0.0092429074	0.2468046663
23	32	0.33024169	0.0014176004	0.0384585335	0.0090928807	0.2466836686
23	33	0.36101335	0.0013682955	0.0376964778	0.0089509401	0.2465979938
23	34	0.39086631	0.0013287757	0.0371582331	0.0088324981	0.2469942980
23	35	0.41985385	0.0012857516	0.0364800154	0.0087203176	0.2474174013
23	36	0.44802472	0.0012426565	0.0357574287	0.0085839327	0.2470025697
23	37	0.47542370	0.0012042570	0.0351304707	0.0084682966	0.2470363378
23	38	0.50209194	0.0011712198	0.0346253447	0.0083544193	0.2469857988
23	39	0.52806743	0.0011391248	0.0341167396	0.0082472726	0.2470054707
23	40	0.55338524	0.0011077365	0.0335993102	0.0081235228	0.2463986470
23	41	0.57807785	0.0010829770	0.0332563895	0.0080385033	0.2468488115
23	42	0.60217540	0.0010574932	0.0328674601	0.0079518138	0.2471466718
23	43	0.62570590	0.0010363462	0.0325913985	0.0078642384	0.2473174820
23	44	0.64869542	0.0010201915	0.0324542792	0.0077698811	0.2471750480
23	45	0.67116827	0.0010060691	0.0323666689	0.0077036548	0.2478374819
23	46	0.69314718	0.0010039274	0.0326546596	0.0088637296	0.2883097530
23	47	0.71465339	0.0009596355	0.0315514363	0.0075530160	0.2483323241
23	48	0.73570679	0.0009252470	0.0307427164	0.0074509006	0.2475673135
23	49	0.75632608	0.0008964415	0.0300942774	0.0073609669	0.2471137000
23	50	0.77652879	0.0008711439	0.0295419261	0.0072867932	0.2471071807
24	24	0.00000000	0.0021157942	0.0507790608	0.0137523215	0.3300557164
24	25	0.04082199	0.0019311268	0.0473027524	0.0101753497	0.2492441466
24	26	0.08004271	0.0018065767	0.0451282723	0.0099304167	0.2480617292
24	27	0.11778304	0.0017083134	0.0434865603	0.0097535541	0.2482849538
24	28	0.15415068	0.0016205526	0.0420095238	0.0096107604	0.2491393842
24	29	0.18924200	0.0015470877	0.0408149764	0.0093788488	0.2474310263
24	30	0.22314355	0.0014827888	0.0397873986	0.0093542299	0.2510003268
24	31	0.25593337	0.0014224560	0.0387994259	0.0090648745	0.2472568120
24	32	0.28768207	0.0013748848	0.0381019257	0.0091634621	0.2539453100
24	33	0.31845373	0.0013207736	0.0371698631	0.0088069282	0.2478489276
24	34	0.34830669	0.0012765774	0.0364663438	0.0086690569	0.2476377986
24	35	0.37729423	0.0012373764	0.0358625762	0.0085393711	0.2474944889
24	36	0.40546511	0.0012109907	0.0355957128	0.0088883295	0.2612624645
24	37	0.43286408	0.0011637509	0.0346789964	0.0083125982	0.2477098486
24	38	0.45953233	0.0011281976	0.0340708218	0.0082025212	0.2477107092
24	39	0.48550782	0.0010969918	0.0335614961	0.0081147047	0.2482622248
24	40	0.51082562	0.0010682066	0.0330971704	0.0081458384	0.2523895710
24	41	0.53551824	0.0010393129	0.0326019718	0.0078819314	0.2472465281
24	42	0.55961579	0.0010136295	0.0321817375	0.0078908276	0.2505260083
24	43	0.58314629	0.0009904127	0.0318167682	0.0077117061	0.2477366826
24	44	0.60613580	0.0009711599	0.0315589604	0.0076543436	0.2487367254
24	45	0.62860866	0.0009530961	0.0313219326	0.0075501338	0.2481227172
24	46	0.65058757	0.0009380864	0.0311693250	0.0074605247	0.2478870898
24	47	0.67209377	0.0009262539	0.0311088956	0.0074134841	0.2489871380
24	48	0.69314718	0.0009213724	0.0312724165	0.0085220842	0.2892491297
24	49	0.71376647	0.0008819886	0.0302459089	0.0072460048	0.2484862025
24	50	0.73396918	0.0008528586	0.0295438888	0.0071595436	0.2480138663
25	25	0.00000000	0.0019499089	0.0487477235	0.0132028331	0.3300708273
25	26	0.03922071	0.0017857479	0.0455278169	0.0097751075	0.2492173196
25	27	0.07696104	0.0016753424	0.0435266718	0.0095353714	0.2477362166
25	28	0.11332869	0.0015821610	0.0418600462	0.0093474282	0.2473097030
25	29	0.14842001	0.0015074315	0.0405888358	0.0091947049	0.2475750071
25	30	0.18232156	0.0014390361	0.0394096259	0.0091171903	0.2496845388
25	31	0.21511138	0.0013798232	0.0384126520	0.0088829250	0.2472901657
25	32	0.24686008	0.0013267841	0.0375271225	0.0087376586	0.2471383059
25	33	0.27763174	0.0012790409	0.0367376533	0.0086106246	0.2473213623
25	34	0.30748470	0.0012333092	0.0359568341	0.0084795628	0.2472196132
25	35	0.33647224	0.0011929556	0.0352881025	0.0084470363	0.2498667037
25	36	0.36464311	0.0011568255	0.0347047647	0.0082560322	0.2476809664
25	37	0.39204209	0.0011253541	0.0342263076	0.0081521769	0.2479387796
25	38	0.41871033	0.0010928984	0.0336853915	0.0080364877	0.2477011864
25	39	0.44468582	0.0010579538	0.0330345977	0.0079345003	0.2477546921
25	40	0.47000363	0.0010268677	0.0324724093	0.0078698451	0.2488663547
25	41	0.49469624	0.0009993891	0.0319960644	0.0077287350	0.2474402509
25	42	0.51879379	0.0009741028	0.0315645369	0.0076437198	0.2476848309
25	43	0.54232429	0.0009505284	0.0311651570	0.0075575907	0.2477921825
25	44	0.56531381	0.0009303778	0.0308571405	0.0074679792	0.2476848485
25	45	0.58778666	0.0009098002	0.0305156263	0.0074310366	0.2492445447
25	46	0.60976557	0.0008922240	0.0302567889	0.0072998856	0.2475511654
25	47	0.63127178	0.0008767343	0.0300529390	0.0072362311	0.2480455037
25	48	0.65232519	0.0008621229	0.0298648135	0.0071583152	0.2479713109
25	49	0.67294447	0.0008515602	0.0298046079	0.0071044538	0.2486558832
25	50	0.69314718	0.0008495107	0.0300347405	0.0081738115	0.2889878766
26	26	0.00000000	0.0018059732	0.0469553030	0.0126985916	0.3301633805
26	27	0.03774033	0.0016595587	0.0439704757	0.0094042631	0.2491686091
26	28	0.07410797	0.0015570687	0.0420120094	0.0091924234	0.2480251440
26	29	0.10919929	0.0014759476	0.0405281341	0.0090161413	0.2475747693
26	30	0.14310084	0.0014036122	0.0392007563	0.0088598397	0.2474418580
26	31	0.17589067	0.0013438051	0.0381508136	0.0087077401	0.2472139523
26	32	0.20763936	0.0012899239	0.0372070935	0.0085825662	0.2475590604
26	33	0.23841102	0.0012408848	0.0363475460	0.0084371823	0.2471388815
26	34	0.26826399	0.0011970030	0.0355894564	0.0083307332	0.2476905048
26	35	0.29725152	0.0011576897	0.0349231065	0.0082098045	0.2476586547
26	36	0.32542240	0.0011193538	0.0342456397	0.0080994830	0.2477965302
26	37	0.35282137	0.0010843330	0.0336318070	0.0079830120	0.2476020983
26	38	0.37948962	0.0010555728	0.0331792568	0.0078836757	0.2478033771
26	39	0.40546511	0.0010334505	0.0329085436	0.0082073461	0.2613495321
26	40	0.43078292	0.0009947570	0.0320799486	0.0076685354	0.2473028368
26	41	0.45547553	0.0009682081	0.0316116602	0.0075740768	0.2472909979
26	42	0.47957308	0.0009403500	0.0310742621	0.0075055680	0.2480246701
26	43	0.50310358	0.0009184240	0.0307088917	0.0074148303	0.2479260248
26	44	0.52609310	0.0008969580	0.0303378715	0.0073256305	0.2477753065
26	45	0.54856595	0.0008759074	0.0299606411	0.0072359050	0.2475060330
26	46	0.57054486	0.0008573899	0.0296513136	0.0071614346	0.2476655609
26	47	0.59205106	0.0008401583	0.0293695121	0.0070909218	0.2478781816
26	48	0.61310447	0.0008230603	0.0290762874	0.0070208290	0.2480251302
26	49	0.63372376	0.0008092506	0.0288846927	0.0069389959	0.2476745278
26	50	0.65392647	0.0007965764	0.0287209714	0.0068790639	0.2480281766
27	27	0.00000000	0.0016808161	0.0453820344	0.0122221086	0.3299969322
27	28	0.03636764	0.0015460484	0.0425093016	0.0090634356	0.2492032784
27	29	0.07145896	0.0014547264	0.0407063545	0.0088515036	0.2476839878
27	30	0.10536052	0.0013784268	0.0392307149	0.0087078139	0.2478287296
27	31	0.13815034	0.0013159889	0.0380728135	0.0085493460	0.2473407209
27	32	0.16989904	0.0012600583	0.0370379988	0.0084075184	0.2471295599
27	33	0.20067070	0.0012093257	0.0360979165	0.0082971313	0.2476662417
27	34	0.23052366	0.0011649546	0.0352963928	0.0081649107	0.2473846670
27	35	0.25951120	0.0011240825	0.0345552550	0.0080502205	0.2474706390
27	36	0.28768207	0.0010920832	0.0340477859	0.0081551439	0.2542522236
27	37	0.31508105	0.0010535907	0.0333008016	0.0078345286	0.2476256428
27	38	0.34174929	0.0010222704	0.0327445824	0.0077209810	0.2473125564
27	39	0.36772478	0.0009931859	0.0322288437	0.0076488470	0.2482047902
27	40	0.39304259	0.0009672103	0.0317857737	0.0075159656	0.2469998334
27	41	0.41773520	0.0009425994	0.0313617997	0.0074406486	0.2475623555
27	42	0.44183275	0.0009126147	0.0307322252	0.0073706260	0.2482052161
27	43	0.46536325	0.0008889555	0.0302897819	0.0072703919	0.2477273368
27	44	0.48835277	0.0008683470	0.0299296416	0.0071785756	0.2474266636
27	45	0.51082562	0.0008496347	0.0296155879	0.0072527643	0.2528085165
27	46	0.53280453	0.0008287274	0.0292060280	0.0070223286	0.2474810478
27	47	0.55431074	0.0008109183	0.0288873651	0.0069626888	0.2480320474
27	48	0.57536414	0.0007925904	0.0285332529	0.0068977843	0.2483202335
27	49	0.59598343	0.0007766755	0.0282500687	0.0068056185	0.2475412191
27	50	0.61618614	0.0007626687	0.0280222360	0.0067360048	0.2474966196
28	28	0.00000000	0.0015595970	0.0436687171	0.0118010531	0.3304294862
28	29	0.03509132	0.0014403498	0.0410436509	0.0087633837	0.2497179966
28	30	0.06899287	0.0013561476	0.0393048904	0.0085569432	0.2480037751
28	31	0.10178269	0.0012882746	0.0379549391	0.0084011176	0.2475123803
28	32	0.13353139	0.0012305986	0.0368358257	0.0083112122	0.2487816670
28	33	0.16430305	0.0011783072	0.0358174377	0.0081364037	0.2473252599
28	34	0.19415601	0.0011332693	0.0349664539	0.0080301812	0.2477672040
28	35	0.22314355	0.0010935919	0.0342348417	0.0080418923	0.2517510484
28	36	0.25131443	0.0010559019	0.0335238460	0.0078389745	0.2488797256
28	37	0.27871340	0.0010216973	0.0328853247	0.0077009787	0.2478710461
28	38	0.30538165	0.0009901435	0.0322975036	0.0075974191	0.2478203115
28	39	0.33135714	0.0009608071	0.0317502759	0.0074939881	0.2476420076
28	40	0.35667494	0.0009318959	0.0311872005	0.0074138688	0.2481155061
28	41	0.38136756	0.0009094919	0.0308155411	0.0073036230	0.2474624396
28	42	0.40546511	0.0008914981	0.0305720173	0.0076289321	0.2616178722
28	43	0.42899561	0.0008621193	0.0299144233	0.0071473606	0.2480041424
28	44	0.45198512	0.0008391810	0.0294551324	0.0070837011	0.2486368980
28	45	0.47445798	0.0008185938	0.0290571969	0.0069783427	0.2477065942
28	46	0.49643689	0.0007994914	0.0286927192	0.0069006511	0.2476555125
28	47	0.51794309	0.0007821762	0.0283747836	0.0068422663	0.2482149410
28	48	0.53899650	0.0007628559	0.0279667595	0.0067898792	0.2489210815
28	49	0.55961579	0.0007479970	0.0277061976	0.0067638643	0.2505370389
28	50	0.57981850	0.0007317304	0.0273788435	0.0066221342	0.2477775745
29	29	0.00000000	0.0014580387	0.0422831210	0.0114092729	0.3308689139
29	30	0.03390155	0.0013474381	0.0397437144	0.0084564804	0.2494303353
29	31	0.06669137	0.0012720792	0.0381411688	0.0082776053	0.2481901603
29	32	0.09844007	0.0012102761	0.0368687537	0.0081316269	0.2477145008
29	33	0.12921173	0.0011555768	0.0357482508	0.0080013882	0.2475262775
29	34	0.15906469	0.0011088848	0.0348196901	0.0078892141	0.2477263465
29	35	0.18805223	0.0010663931	0.0339742875	0.0077858323	0.2480493360
29	36	0.21622311	0.0010306595	0.0333016287	0.0076743668	0.2479663786
29	37	0.24362208	0.0009945339	0.0325776266	0.0075686409	0.2479235398
29	38	0.27029033	0.0009645210	0.0320186092	0.0074647614	0.2478030963
29	39	0.29626582	0.0009359623	0.0314767329	0.0073799086	0.2481888608
29	40	0.32158362	0.0009053574	0.0308353633	0.0072594734	0.2472487540
29	41	0.34627624	0.0008819355	0.0304107918	0.0071844896	0.2477347048
29	42	0.37037379	0.0008582223	0.0299518357	0.0071086438	0.2480906488
29	43	0.39390429	0.0008394191	0.0296423116	0.0070324376	0.2483356746
29	44	0.41689380	0.0008196926	0.0292803553	0.0069459275	0.2481164650
29	45	0.43936666	0.0007962373	0.0287639017	0.0068588723	0.2477752772
29	46	0.46134557	0.0007773908	0.0283933928	0.0067840898	0.2477818551
29	47	0.48285177	0.0007582486	0.0279936528	0.0067244182	0.2482576520
29	48	0.50390518	0.0007404968	0.0276275778	0.0066528966	0.2482163530
29	49	0.52452447	0.0007238518	0.0272864298	0.0065749030	0.2478485548
29	50	0.54472718	0.0007089250	0.0269950605	0.0065111052	0.2479354984
30	30	0.00000000	0.0013605257	0.0408157722	0.0110053545	0.3301606351
30	31	0.03278982	0.0012614310	0.0384684740	0.0081787466	0.2494182492
30	32	0.06453852	0.0011928354	0.0369586530	0.0080019347	0.2479308793
30	33	0.09531018	0.0011352638	0.0357202419	0.0078791206	0.2479107421
30	34	0.12516314	0.0010858203	0.0346783181	0.0077541859	0.2476488384
30	35	0.15415068	0.0010433914	0.0338097447	0.0076976039	0.2494308755
30	36	0.18232156	0.0010057404	0.0330520035	0.0076154590	0.2502695192
30	37	0.20972053	0.0009695383	0.0323017809	0.0074302888	0.2475524236
30	38	0.23638878	0.0009383975	0.0316839452	0.0073331460	0.2475955070
30	39	0.26236426	0.0009090596	0.0310946225	0.0072571262	0.2482319090
30	40	0.28768207	0.0008834795	0.0306046263	0.0073259427	0.2537780993
30	41	0.31237469	0.0008566556	0.0300440717	0.0070497123	0.2472429699
30	42	0.33647224	0.0008325024	0.0295509042	0.0070404916	0.2499126610
30	43	0.36000273	0.0008108035	0.0291212812	0.0068982927	0.2477630115
30	44	0.38299225	0.0007926966	0.0288000986	0.0068184082	0.2477250725
30	45	0.40546511	0.0007788078	0.0286152261	0.0071082261	0.2611729032
30	46	0.42744401	0.0007547467	0.0280375962	0.0066679597	0.2477037098
30	47	0.44895022	0.0007352315	0.0276079165	0.0065953661	0.2476557776
30	48	0.47000363	0.0007167656	0.0271993415	0.0065800043	0.2496936081
30	49	0.49062292	0.0007008868	0.0268724060	0.0064558742	0.2475219567
30	50	0.51082562	0.0006871315	0.0266124897	0.0065329968	0.2530218773
31	31	0.00000000	0.0012771998	0.0395931946	0.0106605128	0.3304758961
31	32	0.03174870	0.0011874714	0.0374006378	0.0079196981	0.2494390595
31	33	0.06252036	0.0011225774	0.0359049319	0.0077474063	0.2477959191
31	34	0.09237332	0.0010691718	0.0347110535	0.0076329840	0.2478076198
31	35	0.12136086	0.0010240083	0.0337301547	0.0075242642	0.2478442816
31	36	0.14953173	0.0009854411	0.0329202237	0.0074175025	0.2477934369
31	37	0.17693071	0.0009489257	0.0321376367	0.0073184758	0.2478576616
31	38	0.20359896	0.0009178467	0.0315023401	0.0072153861	0.2476465156
31	39	0.22957444	0.0008880555	0.0308782913	0.0071275325	0.2478291323
31	40	0.25489225	0.0008590859	0.0302515356	0.0070193607	0.2471771968
31	41	0.27958486	0.0008360854	0.0298073544	0.0069489204	0.2477365643
31	42	0.30368241	0.0008108097	0.0292566399	0.0068699189	0.2478889131
31	43	0.32721291	0.0007890378	0.0288079859	0.0067893266	0.2478801654
31	44	0.35020243	0.0007702124	0.0284457693	0.0067052039	0.2476390741
31	45	0.37267529	0.0007512383	0.0280585241	0.0066274029	0.2475315004
31	46	0.39465419	0.0007366402	0.0278173132	0.0065653140	0.2479221130
31	47	0.41616040	0.0007191047	0.0274487084	0.0065063752	0.2483526953
31	48	0.43721381	0.0006984430	0.0269421624	0.0064294090	0.2480118993
31	49	0.45783309	0.0006814909	0.0265606645	0.0063520059	0.2475653051
31	50	0.47803580	0.0006664500	0.0262381637	0.0062915976	0.2477004466
32	32	0.00000000	0.0012000547	0.0384017501	0.0103278101	0.3304899235
32	33	0.03077166	0.0011157006	0.0362559767	0.0076749888	0.2494076136
32	34	0.06062462	0.0010575815	0.0348841634	0.0075302285	0.2483834193
32	35	0.08961216	0.0010079924	0.0337338784	0.0074079833	0.2479185397
32	36	0.11778304	0.0009687096	0.0328790935	0.0073355073	0.2489753738
32	37	0.14518201	0.0009306751	0.0320238812	0.0072028418	0.2478447525
32	38	0.17185026	0.0008980707	0.0313167950	0.0071070092	0.2478298778
32	39	0.19782574	0.0008684579	0.0306800482	0.0070169815	0.2478892097
32	40	0.22314355	0.0008405693	0.0300731225	0.0070224548	0.2512429823
32	41	0.24783616	0.0008144766	0.0295015956	0.0068322333	0.2474740140
32	42	0.27193372	0.0007915970	0.0290204250	0.0067660145	0.2480461875
32	43	0.29546421	0.0007703913	0.0285772611	0.0066876675	0.2480755089
32	44	0.31845373	0.0007498621	0.0281373215	0.0066233050	0.2485284325
