j	k	tau	M_bd	G_bd	M_hf	G_hf
3	17	1.73460106	0.0136654213	0.0975906281	0.0330853937	0.2362769714
3	18	1.79175947	0.0129619567	0.0952505397	0.0337571483	0.2480633655
3	19	1.84582669	0.0119624076	0.0903141965	0.0312986065	0.2362992968
3	20	1.89711998	0.0112321768	0.0870040670	0.0304467374	0.2358394137
3	21	1.94591015	0.0107242789	0.0851213251	0.0310302206	0.2462947408
3	22	1.99243016	0.0100118870	0.0813369546	0.0290763748	0.2362175854
3	23	2.03688193	0.0094843791	0.0787831696	0.0283996516	0.2359052237
3	24	2.07944154	0.0090990953	0.0772083835	0.0288962102	0.2451924739
3	25	2.12026354	0.0085550470	0.0740888802	0.0272867473	0.2363101634
3	26	2.15948425	0.0081539138	0.0720134168	0.0267383255	0.2361464971
3	27	2.19722458	0.0078649323	0.0707843907	0.0270940503	0.2438464526
3	28	2.23359222	0.0074453146	0.0682374351	0.0257853415	0.2363265589
3	29	2.26868354	0.0071324297	0.0665268751	0.0253372873	0.2363304833
3	30	2.30258509	0.0068891877	0.0653565731	0.0256187478	0.2430407816
3	31	2.33537492	0.0065623850	0.0632853489	0.0244953373	0.2362244781
3	32	2.36712361	0.0063059726	0.0617856612	0.0240968223	0.2360996762
3	33	2.39789527	0.0061104635	0.0607983446	0.0243669004	0.2424475975
3	34	2.42774824	0.0058419298	0.0590005992	0.0233825331	0.2361520088
3	35	2.45673577	0.0056322712	0.0577136053	0.0230692512	0.2363894809
3	36	2.48490665	0.0054777358	0.0569263003	0.0233099988	0.2422446137
3	37	2.51230562	0.0052565681	0.0553813819	0.0224246966	0.2362588392
3	38	2.53897387	0.0050856890	0.0543002991	0.0221196358	0.2361730826
3	39	2.56494936	0.0049535873	0.0535812387	0.0223379610	0.2416219911
3	40	2.59026717	0.0047645383	0.0521929016	0.0215070454	0.2355978785
3	41	2.61495978	0.0046218888	0.0512592262	0.0212720368	0.2359183007
3	42	2.63905733	0.0045026844	0.0505425074	0.0215100642	0.2414498715
3	43	2.66258783	0.0043498160	0.0494044132	0.0208205663	0.2364761749
3	44	2.68557735	0.0042281661	0.0485779297	0.0205438021	0.2360303161
3	45	2.70805020	0.0041337016	0.0480292726	0.0207179679	0.2407210342
3	46	2.73002911	0.0039993138	0.0469812997	0.0200934039	0.2360440499
3	47	2.75153531	0.0038906994	0.0461994954	0.0199076173	0.2363898584
3	48	2.77258872	0.0038011622	0.0456139470	0.0200614647	0.2407375765
3	49	2.79320801	0.0036876487	0.0447103638	0.0194756477	0.2361296797
3	50	2.81341072	0.0035906423	0.0439762079	0.0192724988	0.2360389402
4	4	0.00000000	0.0631516979	0.2526067918	0.0782570905	0.3130283620
4	5	0.22314355	0.0441180132	0.1973017532	0.0533229709	0.2384675754
4	6	0.40546511	0.0364966801	0.1787964870	0.0506132007	0.2479530318
4	7	0.55961579	0.0309304494	0.1636685538	0.0450949354	0.2386199691
4	8	0.69314718	0.0285963136	0.1617651780	0.0488824842	0.2765210884
4	9	0.81093022	0.0237163094	0.1422978563	0.0398185964	0.2389115786
4	10	0.91629073	0.0210451159	0.1331009995	0.0386275663	0.2443021803
4	11	1.01160091	0.0188771673	0.1252169622	0.0360195275	0.2389265154
4	12	1.09861229	0.0177304350	0.1228400571	0.0381549700	0.2643453863
4	13	1.17865500	0.0156373452	0.1127625001	0.0331655286	0.2391600282
4	14	1.25276297	0.0143299983	0.1072358881	0.0325055305	0.2432491163
4	15	1.32175584	0.0132143965	0.1023582752	0.0308799047	0.2391947129
4	16	1.38629436	0.0125552350	0.1004418796	0.0322797064	0.2582376509
4	17	1.44691898	0.0114124287	0.0941092982	0.0290386832	0.2394591163
4	18	1.50407740	0.0106545869	0.0904071674	0.0285831799	0.2425363241
4	19	1.55814462	0.0099936403	0.0871225365	0.0274561721	0.2393573592
4	20	1.60943791	0.0095617215	0.0855226366	0.0284064582	0.2540750862
