k	lambda_k
529	2.283991232621303e-7
530	2.284090284158699e-7
531	2.284289623046765e-7
532	2.284821875210280e-7
533	2.285811739268632e-7
534	2.285903576029329e-7
535	2.286566438388166e-7
536	2.287114183301343e-7
537	2.287786146811786e-7
538	2.288296805501177e-7
539	2.289179817067190e-7
540	2.289442548255039e-7
541	2.290000682583316e-7
542	2.290190405753775e-7
543	2.290629648752166e-7
544	2.291491940298771e-7
545	2.291930855351437e-7
546	2.292393689275115e-7
547	2.292855287729149e-7
548	2.293034933523862e-7
549	2.293625698131711e-7
550	2.294046056356237e-7
551	2.294144511394539e-7
552	2.294787637261124e-7
553	2.295563539831132e-7
554	2.295826232768930e-7
555	2.296516150327665e-7
556	2.296811139439382e-7
557	2.297811587716215e-7
558	2.297926376823506e-7
559	2.298153915173458e-7
560	2.298695610789904e-7
561	2.298993490101133e-7
562	2.299556158653002e-7
563	2.300060417818495e-7
564	2.300488955568017e-7
565	2.300688435744385e-7
566	2.301222096047309e-7
567	2.301955460043612e-7
568	2.302011904663264e-7
569	2.302541664688284e-7
570	2.302947529018265e-7
571	2.303434673911569e-7
572	2.303877856492456e-7
573	2.304118170346483e-7
574	2.304399930890416e-7
575	2.305532890078857e-7
576	2.305742694312400e-7
577	2.306091626835712e-7
578	2.306832099043053e-7
579	2.307137256638620e-7
580	2.307290670000268e-7
581	2.307758512171628e-7
582	2.308063211569161e-7
583	2.308559451572323e-7
584	2.309011796801921e-7
585	2.309337260461387e-7
586	2.309703416406600e-7
587	2.310195565735753e-7
588	2.310499887328279e-7
589	2.311121226352757e-7
590	2.311245993545867e-7
591	2.311568808346130e-7
592	2.311715154759438e-7
593	2.312390036753217e-7
594	2.312718848863836e-7
595	2.313006686010572e-7
596	2.313200106158233e-7
597	2.313725864874934e-7
598	2.314448476202861e-7
599	2.314855537186961e-7
600	2.315248550108703e-7
601	2.315719062610048e-7
602	2.315991403377897e-7
603	2.316626317645702e-7
604	2.316824673534487e-7
605	2.317377774200939e-7
606	2.317526262847623e-7
607	2.317831413083275e-7
608	2.317933523346991e-7
609	2.318299639031856e-7
610	2.318709587269273e-7
611	2.319270725705298e-7
612	2.319585030509231e-7
613	2.319762540411378e-7
614	2.321013135546355e-7
615	2.321318667630635e-7
616	2.321906088138505e-7
617	2.322017550463128e-7
618	2.322502943491317e-7
619	2.323054740762317e-7
620	2.323567344245495e-7
621	2.323732218587366e-7
622	2.324338539748914e-7
623	2.324902039433630e-7
624	2.325065963569836e-7
625	2.325758320502839e-7
626	2.326114785366540e-7
627	2.326174231141132e-7
628	2.326270581998151e-7
629	2.327162696330813e-7
630	2.328053152883462e-7
631	2.328162898322961e-7
632	2.328845093806497e-7
633	2.329187748902601e-7
634	2.329341613573066e-7
635	2.329932710562518e-7
636	2.330114809700317e-7
637	2.330374581149897e-7
638	2.330815368298653e-7
639	2.331433644045008e-7
640	2.332626411342917e-7
641	2.332821976090737e-7
642	2.333094221673310e-7
643	2.333729783957385e-7
644	2.334008805898752e-7
645	2.334177512690352e-7
646	2.334623350528409e-7
647	2.334699491166286e-7
648	2.335583451902095e-7
649	2.336061004080489e-7
650	2.336282950909053e-7
651	2.336879263650016e-7
652	2.337081136633362e-7
653	2.337509873212459e-7
654	2.337881873634068e-7
655	2.338214853751502e-7
656	2.338421546317795e-7
657	2.338835862464439e-7
658	2.339799482556394e-7
659	2.340222871077450e-7
660	2.340704784607873e-7
661	2.340887143816242e-7
662	2.341556809672895e-7
663	2.341879340163632e-7
664	2.342086449695080e-7
665	2.342528816551235e-7
666	2.343241577450112e-7
667	2.343470590983276e-7
668	2.343684904241715e-7
669	2.343983086741728e-7
670	2.344840731224595e-7
671	2.345609994778505e-7
672	2.346213160242522e-7
673	2.346463856550825e-7
674	2.346617678961317e-7
675	2.347098265978461e-7
676	2.347332782268348e-7
677	2.347749580370505e-7
678	2.348334926802679e-7
679	2.348946304222149e-7
680	2.349135740021702e-7
681	2.350093012824278e-7
682	2.350281636114710e-7
683	2.350391004927743e-7
684	2.351124923660291e-7
685	2.351700909540403e-7
686	2.352096770977614e-7
687	2.352930131912678e-7
688	2.353234794393246e-7
689	2.353276548682554e-7
690	2.353840602503594e-7
691	2.353992687698045e-7
692	2.354620092364693e-7
693	2.355164094833944e-7
694	2.355408882310716e-7
695	2.355907437488743e-7
696	2.356373046481294e-7
697	2.356501223282090e-7
698	2.357325942960746e-7
699	2.357864861591962e-7
700	2.357973519049529e-7
701	2.358167309792349e-7
702	2.358927200163074e-7
703	2.359431989324194e-7
704	2.359650492069869e-7
705	2.360015811119309e-7
706	2.360971301733769e-7
707	2.361969911139644e-7
708	2.362756937094374e-7
709	2.363024009338123e-7
710	2.363188567878381e-7
711	2.363472577122567e-7
712	2.363847441581324e-7
713	2.364197924018564e-7
714	2.364605554588061e-7
715	2.365313918157995e-7
716	2.365440660443025e-7
717	2.365937414877814e-7
718	2.366401254035748e-7
719	2.366694193503847e-7
720	2.367066655974914e-7
721	2.367173027831859e-7
722	2.368112993033622e-7
723	2.368726940629859e-7
724	2.369145565748938e-7
725	2.369644673200594e-7
726	2.369821467341178e-7
727	2.370819647218019e-7
728	2.371615915443268e-7
729	2.371814666771499e-7
730	2.372388899819642e-7
731	2.372699623084179e-7
732	2.373445697054100e-7
733	2.373779508462691e-7
734	2.374270964861683e-7
735	2.374787512586028e-7
736	2.374932324162455e-7
737	2.375758227807772e-7
738	2.376000256092915e-7
739	2.376519348807543e-7
740	2.377013346368793e-7
741	2.377795763740776e-7
742	2.378144706379939e-7
743	2.378780990579484e-7
744	2.379151062402343e-7
745	2.379614108298418e-7
746	2.380583749438411e-7
747	2.381014056702560e-7
748	2.381451885959731e-7
749	2.381922202678548e-7
750	2.382333597907939e-7
751	2.382600647612535e-7
752	2.383495387204412e-7
753	2.383734763237806e-7
754	2.384103245665156e-7
755	2.384904893748567e-7
756	2.385565686093766e-7
757	2.386009058818961e-7
758	2.386184509802551e-7
759	2.386414350799748e-7
760	2.387619371336982e-7
761	2.388424211546105e-7
762	2.388567512401902e-7
763	2.389296368030003e-7
764	2.389528064194272e-7
765	2.389967709143940e-7
766	2.390267846589683e-7
767	2.390670143337630e-7
768	2.391796675551484e-7
769	2.392124659129942e-7
770	2.393322998943083e-7
771	2.393495976529787e-7
772	2.393885485174079e-7
773	2.394084527224214e-7
774	2.394823874446934e-7
775	2.395430047757748e-7
776	2.396280763503704e-7
777	2.397242789000390e-7
778	2.397799910610454e-7
779	2.398121042139800e-7
780	2.398433027603495e-7
781	2.399939765412629e-7
782	2.399982618343900e-7
783	2.400368550942603e-7
784	2.400598905257294e-7
785	2.401153281703506e-7
786	2.401695134608705e-7
787	2.402275328619833e-7
788	2.402710099894647e-7
789	2.403755091491101e-7
790	2.403941888665954e-7
791	2.404723412657475e-7
792	2.405601941765985e-7
793	2.406711663348185e-7
794	2.406973309278409e-7
795	2.407670786382822e-7
796	2.408357730116037e-7
797	2.409410825690650e-7
798	2.409729825068912e-7
799	2.410650355881959e-7
800	2.411511174287266e-7
801	2.411818959991742e-7
802	2.412517190465877e-7
803	2.412734415022608e-7
804	2.413703331323474e-7
805	2.414120168409573e-7
806	2.414406091115783e-7
807	2.416055552242742e-7
808	2.416479712214957e-7
809	2.417100803835196e-7
810	2.417324137325459e-7
811	2.417814729706204e-7
812	2.418810814332444e-7
813	2.419613126360732e-7
814	2.420203158016874e-7
815	2.421211067464449e-7
816	2.421483131308403e-7
817	2.422198710982716e-7
818	2.423062887297398e-7
819	2.423340946814849e-7
820	2.424468539682340e-7
821	2.425564898759274e-7
822	2.425796623386576e-7
823	2.426037731882507e-7
824	2.427421105700219e-7
825	2.428234008351187e-7
826	2.429184700751923e-7
827	2.430495478821901e-7
828	2.430546725117541e-7
829	2.431741594594054e-7
830	2.431899501566183e-7
831	2.432861254357311e-7
832	2.433245548879859e-7
833	2.433579617285518e-7
834	2.434333172557500e-7
835	2.435605735239461e-7
836	2.435868248820490e-7
837	2.436806852504680e-7
838	2.437223042478216e-7
839	2.438547712269722e-7
840	2.438930099584716e-7
841	2.440368125907038e-7
842	2.440706025864401e-7
843	2.441918551528184e-7
844	2.442251438167441e-7
845	2.443031515530135e-7
846	2.443854117670017e-7
847	2.445142241364377e-7
848	2.446307095336965e-7
849	2.446694936778942e-7
850	2.447301426401871e-7
851	2.448039631173622e-7
852	2.448559722859334e-7
853	2.449973924139182e-7
854	2.450975457072519e-7
855	2.451497875188421e-7
856	2.451923890490359e-7
857	2.452677927391551e-7
858	2.453473910963545e-7
859	2.453813369956562e-7
860	2.455159480961783e-7
861	2.455841372532986e-7
862	2.456533884193127e-7
