k	lambda_k	c_k_sq	E_k	S_cumulative
517	1.485212843661265e-6	2.470277644394997e-14	1.663248237407781e-8	1.237578725675874e-5
518	1.487641292648953e-6	1.354125827368253e-14	9.102502290434835e-9	1.238488975904918e-5
519	1.489263405917934e-6	4.475158055388009e-16	3.004947303213743e-10	1.238519025377950e-5
520	1.490144100713851e-6	5.771364278440494e-16	3.873024277098927e-10	1.238557755620721e-5
521	1.492315462593485e-6	2.890312454991913e-15	1.936797230505713e-9	1.238751435343771e-5
522	1.495508973943056e-6	3.817523386641577e-14	2.552658294370714e-8	1.241304093638142e-5
523	1.496285139375409e-6	1.811300239265872e-14	1.210531463289115e-8	1.242514625101431e-5
524	1.499451169614648e-6	8.133846038007526e-14	5.424548796809360e-8	1.247939173898241e-5
525	1.500664762342855e-6	3.316432623534754e-15	2.209975676617542e-9	1.248160171465902e-5
526	1.502077101620774e-6	1.087947332719729e-15	7.242952652335956e-10	1.248232600992426e-5
527	1.503636306987472e-6	1.110593833954350e-14	7.386053587515586e-9	1.248971206351177e-5
528	1.506252608682251e-6	5.272427504998720e-17	3.500360746004826e-11	1.248974706711923e-5
529	1.507844519898530e-6	2.897077009884179e-14	1.921336697287023e-8	1.250896043409210e-5
530	1.510904358666062e-6	1.209639587645132e-13	8.006063260768483e-8	1.258902106669979e-5
531	1.512697041545935e-6	3.415307590867061e-15	2.257760474877845e-9	1.259127882717467e-5
532	1.514639335899882e-6	2.001324579868019e-14	1.321320879784880e-8	1.260449203597251e-5
533	1.515412849601359e-6	1.340099098033865e-14	8.843128777655464e-9	1.261333516475017e-5
534	1.520481615679979e-6	2.234640403117805e-15	1.469692484324084e-9	1.261480485723449e-5
535	1.521216882362352e-6	3.551176315932629e-16	2.334431307663296e-10	1.261503830036526e-5
536	1.524163766363045e-6	8.363539773904521e-14	5.487297335417948e-8	1.266991127371944e-5
537	1.527208257631598e-6	4.794338464953909e-14	3.139282701619879e-8	1.270130410073564e-5
538	1.529093409672008e-6	8.621017588691578e-14	5.637992770200217e-8	1.275768402843764e-5
539	1.530321472777403e-6	9.618318530329342e-17	6.285162105758680e-11	1.275774688005870e-5
540	1.531528942702574e-6	3.179619365053217e-14	2.076107918301813e-8	1.277850795924172e-5
541	1.533971355924142e-6	1.122425034947264e-13	7.317118605979825e-8	1.285167914530152e-5
542	1.534778309591352e-6	4.149829319107528e-14	2.703862370984678e-8	1.287871776901136e-5
543	1.535779177798724e-6	7.401850188197585e-14	4.819605770933077e-8	1.292691382672069e-5
544	1.537897163452799e-6	1.503334082171059e-14	9.775257526295575e-9	1.293668908424699e-5
545	1.543592531386435e-6	1.485567350831243e-14	9.624090040763061e-9	1.294631317428775e-5
546	1.544319147342630e-6	3.104869844241443e-14	2.010510489094248e-8	1.296641827917869e-5
