eps	B_eps	t	A	c_lean	c_div_tA	actual_zeta	bc_lower	check_vs_actual	check_vs_bc	ratio_actual	ratio_bc
0.2500	200.0000	50.0	5.0	1.555753819465285e-61	4.978412222288914e-70	3.914731915364116e-1	0.000000000000000e0	PASS	FAIL	7.863415e68	0.000000e0
0.2500	200.0000	50.0	10.0	1.555753819465285e-61	1.593091911132452e-78	3.914731915364116e-1	0.000000000000000e0	PASS	FAIL	2.457317e77	0.000000e0
0.2500	200.0000	50.0	50.0	1.555753819465285e-61	1.751623080406021e-146	3.914731915364116e-1	0.000000000000000e0	PASS	FAIL	2.234917e145	0.000000e0
0.2500	200.0000	50.0	100.0	1.555753819465285e-61	1.972152263052529e-231	3.914731915364116e-1	0.000000000000000e0	PASS	FAIL	1.985005e230	0.000000e0
0.2500	200.0000	50.0	200.0	1.555753819465285e-61	0.000000000000000e0	3.914731915364116e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	50.0	500.0	1.555753819465285e-61	0.000000000000000e0	3.914731915364116e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	50.0	1000.0	1.555753819465285e-61	0.000000000000000e0	3.914731915364116e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	100.0	1.0	1.555753819465285e-61	1.555753819465285e-63	1.995687757758477e0	0.000000000000000e0	PASS	FAIL	1.282779e63	0.000000e0
0.2500	200.0000	100.0	5.0	1.555753819465285e-61	1.555753819465285e-71	1.995687757758477e0	0.000000000000000e0	PASS	FAIL	1.282779e71	0.000000e0
0.2500	200.0000	100.0	10.0	1.555753819465285e-61	1.555753819465285e-81	1.995687757758477e0	0.000000000000000e0	PASS	FAIL	1.282779e81	0.000000e0
0.2500	200.0000	100.0	50.0	1.555753819465285e-61	1.555753819465285e-161	1.995687757758477e0	0.000000000000000e0	PASS	FAIL	1.282779e161	0.000000e0
0.2500	200.0000	100.0	100.0	1.555753819465285e-61	1.555753819465285e-261	1.995687757758477e0	0.000000000000000e0	PASS	FAIL	1.282779e261	0.000000e0
0.2500	200.0000	100.0	200.0	1.555753819465285e-61	0.000000000000000e0	1.995687757758477e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	100.0	500.0	1.555753819465285e-61	0.000000000000000e0	1.995687757758477e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	100.0	1000.0	1.555753819465285e-61	0.000000000000000e0	1.995687757758477e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	500.0	1.0	1.555753819465285e-61	3.111507638930571e-64	1.140639842022276e0	0.000000000000000e0	PASS	FAIL	3.665875e63	0.000000e0
0.2500	200.0000	500.0	5.0	1.555753819465285e-61	4.978412222288914e-75	1.140639842022276e0	0.000000000000000e0	PASS	FAIL	2.291172e74	0.000000e0
0.2500	200.0000	500.0	10.0	1.555753819465285e-61	1.593091911132452e-88	1.140639842022276e0	0.000000000000000e0	PASS	FAIL	7.159912e87	0.000000e0
0.2500	200.0000	500.0	50.0	1.555753819465285e-61	1.751623080406021e-196	1.140639842022276e0	0.000000000000000e0	PASS	FAIL	6.511902e195	0.000000e0
0.2500	200.0000	500.0	100.0	1.555753819465285e-61	0.000000000000000e0	1.140639842022276e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	500.0	200.0	1.555753819465285e-61	0.000000000000000e0	1.140639842022276e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	500.0	500.0	1.555753819465285e-61	0.000000000000000e0	1.140639842022276e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	500.0	1000.0	1.555753819465285e-61	0.000000000000000e0	1.140639842022276e0	0.000000000000000e0	PASS	PASS	inf	inf
0.2500	200.0000	1000.0	1.0	1.555753819465285e-61	1.555753819465285e-64	8.887270312636550e-1	0.000000000000000e0	PASS	FAIL	5.712517e63	0.000000e0
0.2500	200.0000	1000.0	5.0	1.555753819465285e-61	1.555753819465286e-76	8.887270312636550e-1	0.000000000000000e0	PASS	FAIL	5.712517e75	0.000000e0
0.2500	200.0000	1000.0	10.0	1.555753819465285e-61	1.555753819465285e-91	8.887270312636550e-1	0.000000000000000e0	PASS	FAIL	5.712517e90	0.000000e0
0.2500	200.0000	1000.0	50.0	1.555753819465285e-61	1.555753819465285e-211	8.887270312636550e-1	0.000000000000000e0	PASS	FAIL	5.712517e210	0.000000e0
0.2500	200.0000	1000.0	100.0	1.555753819465285e-61	0.000000000000000e0	8.887270312636550e-1	0.000000000000000e0	PASS	PASS	inf	inf
