a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
2	9	20000	1.53175271717162914e-1	1.53181637483942867e-1	-6.36576677995326357e-6	6.36576677995326357e-6	2.54630671198130543e-1	274.8
2	9	50000	1.53179091200147499e-1	1.53181637483942867e-1	-2.54628379536825378e-6	2.54628379536825378e-6	2.54628379536825378e-1	672.8
3	4	10	2.23610959397427811e-1	2.32114633307753476e-1	-8.50367391032566533e-3	8.50367391032566533e-3	2.55110217309769960e-1	0.2
3	4	20	2.27910417342502697e-1	2.32114633307753476e-1	-4.20421596525077934e-3	4.20421596525077934e-3	2.52252957915046760e-1	0.4
3	4	50	2.30403645827596093e-1	2.32114633307753476e-1	-1.71098748015738322e-3	1.71098748015738322e-3	2.56648122023607483e-1	1.1
3	4	100	2.31261369921429066e-1	2.32114633307753476e-1	-8.53263386324409900e-4	8.53263386324409900e-4	2.55979015897322970e-1	1.8
3	4	200	2.31687199923558490e-1	2.32114633307753476e-1	-4.27433384194986221e-4	4.27433384194986221e-4	2.56460030516991733e-1	3.7
3	4	500	2.31943466460150682e-1	2.32114633307753476e-1	-1.71166847602793881e-4	1.71166847602793881e-4	2.56750271404190822e-1	9.3
3	4	1000	2.32029017544400112e-1	2.32114633307753476e-1	-8.56157633533638496e-5	8.56157633533638496e-5	2.56847290060091549e-1	18.6
3	4	2000	2.32071817332704960e-1	2.32114633307753476e-1	-4.28159750485157531e-5	4.28159750485157531e-5	2.56895850291094519e-1	37.2
3	4	5000	2.32097504974239283e-1	2.32114633307753476e-1	-1.71283335141936277e-5	1.71283335141936277e-5	2.56925002712904416e-1	90.5
3	4	10000	2.32106068816990141e-1	2.32114633307753476e-1	-8.56449076333531956e-6	8.56449076333531956e-6	2.56934722900059587e-1	184.5
3	4	20000	2.32110350981361763e-1	2.32114633307753476e-1	-4.28232639171355345e-6	4.28232639171355345e-6	2.56939583502813207e-1	370.2
3	4	50000	2.32112920357753300e-1	2.32114633307753476e-1	-1.71295000017668286e-6	1.71295000017668286e-6	2.56942500026502429e-1	928.2
3	5	10	1.98716280946755447e-1	2.06889770296346420e-1	-8.17348934959097329e-3	8.17348934959097329e-3	2.45204680487729199e-1	0.2
3	5	20	2.02719872369481247e-1	2.06889770296346420e-1	-4.16989792686517369e-3	4.16989792686517369e-3	2.50193875611910421e-1	0.3
