k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
8512	3.236062258363233e-6	2	0.44796727	0.00000000	0.13507829	0.44796727	0.34746562	0.06948883
8513	3.239703313426734e-6	2	0.44124411	0.00000000	0.13947226	0.44124411	0.35053800	0.06874563
8514	3.243843197930035e-6	2	0.44236115	0.00000000	0.12062948	0.44236115	0.36531801	0.07169137
8515	3.250087505805809e-6	2	0.43876586	0.00000000	0.13731467	0.43876586	0.36070368	0.06321579
8516	3.254621604174582e-6	2	0.43584308	0.00000000	0.13289865	0.43584308	0.36365359	0.06760468
8517	3.258499960279054e-6	2	0.43502036	0.00000000	0.12731391	0.43502036	0.37033536	0.06733038
8518	3.261313768508940e-6	2	0.43591948	0.00000000	0.14517546	0.43591948	0.35941854	0.05948653
8519	3.271121566571378e-6	2	0.43344872	0.00000000	0.14488252	0.43344872	0.34860126	0.07306751
8520	3.279146383316600e-6	2	0.43362911	0.00000000	0.14117274	0.43362911	0.35627452	0.06892364
8521	3.280188885530693e-6	2	0.44172025	0.00000000	0.14083873	0.44172025	0.35466559	0.06277542
8522	3.283496781774006e-6	2	0.42181761	0.00000000	0.13820895	0.42181761	0.35301646	0.08695697
8523	3.288917950158269e-6	2	0.45531259	0.00000000	0.13098285	0.45531259	0.34745337	0.06625119
8524	3.295847628281326e-6	2	0.43164824	0.00000000	0.13889492	0.43164824	0.36116947	0.06828738
8525	3.303706937045196e-6	2	0.44424429	0.00000000	0.13216609	0.44424429	0.35793279	0.06565683
8526	3.309144351389246e-6	2	0.43957725	0.00000000	0.12607543	0.43957725	0.36610836	0.06823896
8527	3.312752095437632e-6	2	0.43830392	0.00000000	0.12684161	0.43830392	0.35996011	0.07489436
8528	3.316299044946830e-6	2	0.43767206	0.00000000	0.13532572	0.43767206	0.35566193	0.07134029
8529	3.319965865683017e-6	2	0.43163285	0.00000000	0.13745896	0.43163285	0.36279700	0.06811120
8530	3.324599992298063e-6	2	0.42180398	0.00000000	0.13898370	0.42180398	0.37385798	0.06535434
8531	3.326557579827236e-6	2	0.44660816	0.00000000	0.12917353	0.44660816	0.36374731	0.06047100
8532	3.333652302565035e-6	2	0.41806792	0.00000000	0.13857421	0.41806792	0.37778369	0.06557418
8533	3.338950976351052e-6	2	0.43471534	0.00000000	0.13161972	0.43471534	0.37211723	0.06154771
8534	3.346187724357632e-6	2	0.44655106	0.00000000	0.13771155	0.44655106	0.33987336	0.07586403
8535	3.351887646106219e-6	2	0.43183362	0.00000000	0.13252418	0.43183362	0.37040208	0.06524013
8536	3.360180751528599e-6	2	0.43545251	0.00000000	0.14264901	0.43545251	0.35227419	0.06962429
8537	3.363054425970255e-6	2	0.43882352	0.00000000	0.14186513	0.43882352	0.35621142	0.06309992
8538	3.364389508963385e-6	2	0.43068433	0.00000000	0.13720101	0.43068433	0.36422859	0.06788608
8539	3.370690672990868e-6	2	0.44147002	0.00000000	0.13990086	0.44147002	0.34928103	0.06934809
8540	3.381801680704906e-6	2	0.42792743	0.00000000	0.15177105	0.42792743	0.35648088	0.06382064
8541	3.386908294414217e-6	2	0.44270999	0.00000000	0.14456899	0.44270999	0.34981371	0.06290731
