N	vtGv	vtB1v	vtL1v	btv	d2	ratio	max_partial	c_inner	tv_outer	abel_product	coprime	p2_contrib	p3_contrib	gcd_diag	gcd_1	gcd_2	gcd_3	gcd_4	gcd_5	gcd_6plus	ramanujan	divisor_wt	euler_phi	cancel_eff	noncop_l1	is_hcn	is_prime	prime_power	time
2245	0.6398289375	1.1896954364	-0.5498664989	0.7954697533	0.0488894309	0.1195163837	3.4252489684	1.5087518804	1312.4532341669	4500.6469372314	-0.4697809375	0.0916017452	-0.2471193743	1.8495650541	-0.4697809375	0.1092487921	-0.2254738448	0.0000000000	-0.1265878697	-0.4971422568	165.9465810145	2.3675976696	0.1953425595	0.4621909794	-0.0800855614	false	false		1.756
2246	0.6398443744	1.1900861011	-0.5502417267	0.7954796160	0.0488851423	0.1195116628	3.4255129728	1.5087221244	1313.9361931913	4506.0736224467	-0.4698076928	0.0916467823	-0.2471227736	1.8496749481	-0.4698076928	0.1092393127	-0.2255140064	0.0000000000	-0.1266005055	-0.4971476816	166.0264366074	2.3678783522	0.1953160822	0.4623545525	-0.0804340339	false	false		1.712
2247	0.6398594867	1.1904764733	-0.5506169866	0.7954892642	0.0488809583	0.1195070716	3.4257768293	1.5086923527	1313.9132773915	4506.3421046659	-0.4698355682	0.0916926275	-0.2471261725	1.8497847936	-0.4698355682	0.1092306612	-0.2255541526	0.0000000000	-0.1266131353	-0.4971531119	166.1048089528	2.3681594314	0.1952888860	0.4625181588	-0.0807814184	false	false		1.706
2248	0.6398749077	1.1908664719	-0.5509915642	0.7954991159	0.0488766760	0.1195023586	3.4260405379	1.5086626301	1313.8902906865	4506.6101375831	-0.4698622894	0.0917384485	-0.2471300426	1.8498945905	-0.4698622894	0.1092220053	-0.2255948731	0.0000000000	-0.1266257589	-0.4971587667	166.1850603400	2.3684401173	0.1952622139	0.4626812302	-0.0811292748	false	false		1.732
2249	0.6398903208	1.1912566110	-0.5513662902	0.7955089620	0.0488723968	0.1194976496	3.4263040989	1.5086329242	1314.7105067562	4509.7670333045	-0.4698889892	0.0917842454	-0.2471339121	1.8500043390	-0.4698889892	0.1092133452	-0.2256355780	0.0000000000	-0.1266383765	-0.4971644197	166.2652737432	2.3687206920	0.1952355555	0.4628442647	-0.0814773010	false	false		1.713
2250	0.6399054102	1.1916467877	-0.5517413774	0.7955185941	0.0488682220	0.1194930703	3.4265675123	1.5086032026	1315.5308012757	4512.9244358397	-0.4699161205	0.0918300183	-0.2471377808	1.8501140390	-0.4699161205	0.1092046808	-0.2256762672	0.0000000000	-0.1266509880	-0.4971699338	166.3449965101	2.3690009771	0.1952085853	0.4630074810	-0.0818252569	false	false		1.714
2251	0.6399204920	1.1920371047	-0.5521166127	0.7955282208	0.0488640503	0.1194884950	3.4268307784	1.5085734976	1316.3511247552	4516.0821756020	-0.4699432303	0.0918757671	-0.2471416488	1.8502236906	-0.4699432303	0.1091960121	-0.2257169408	0.0000000000	-0.1266635934	-0.4971754462	166.4246816065	2.3692811512	0.1951816291	0.4631706601	-0.0821733824	false	true	2251	1.733
2252	0.6399358811	1.1924275616	-0.5524916805	0.7955380503	0.0488597805	0.1194837978	3.4270938973	1.5085438414	1317.1713213092	4519.2397183258	-0.4699700037	0.0919214919	-0.2471455160	1.8503332939	-0.4699700037	0.1091873393	-0.2257575988	0.0000000000	-0.1266761928	-0.4971809567	166.5044989154	2.3695615295	0.1951550018	0.4633335376	-0.0825216768	false	false		1.720
2253	0.6399512623	1.1928181586	-0.5528668963	0.7955478743	0.0488555138	0.1194791045	3.4273568691	1.5089698130	1318.6545505509	4524.6715098320	-0.4699967557	0.0919671928	-0.2471493826	1.8504428488	-0.4699967557	0.1091786621	-0.2257982413	0.0000000000	-0.1266887861	-0.4971864656	166.5842783942	2.3698417969	0.1951283881	0.4634963781	-0.0828701406	false	false		1.716
2254	0.6399663214	1.1932085235	-0.5532422021	0.7955574850	0.0488513514	0.1194745412	3.4276196940	1.5089401322	1320.1378206152	4530.1024656050	-0.4700242615	0.0920128696	-0.2471527787	1.8505523555	-0.4700242615	0.1091699808	-0.2258383984	0.0000000000	-0.1267013733	-0.4971919817	166.6631133919	2.3701220999	0.1951013174	0.4636592777	-0.0832179406	false	false		1.740
