Precomputing μ and ω...
  Done in 0.01s
  Squarefree count up to 10000: 6083
  Loaded 9998 TSV points
Computing 208 data points...
  [20/208] N=22, elapsed=0.0s, ETA=0s
  [40/208] N=42, elapsed=0.0s, ETA=0s
  [60/208] N=62, elapsed=0.0s, ETA=0s
  [80/208] N=82, elapsed=0.0s, ETA=0s
  [100/208] N=120, elapsed=0.0s, ETA=0s
  [120/208] N=320, elapsed=0.1s, ETA=0s
  [140/208] N=600, elapsed=0.2s, ETA=0s
  [160/208] N=1600, elapsed=1.4s, ETA=0s
N	vtRv	vtGv	vtDelta	diag	same	cross	gap	positive	gap_ratio	margin	margin_scaled	vtRv_scaled
96	0.0525852831	0.4418575098	0.3892722266	0.1072420228	0.0107150891	-0.0653718288	0.0653718288	0.1179571120	0.554200	0.5581424902	2.547557	0.240018
97	0.0525769315	0.4422710018	0.3896940703	0.1072748603	0.0107403697	-0.0654382985	0.0654382985	0.1180152300	0.554490	0.5577289982	2.551449	0.240524
98	0.0525686963	0.4428210564	0.3902523601	0.1073072591	0.0107653079	-0.0655038707	0.0655038707	0.1180725670	0.554776	0.5571789436	2.554647	0.241026
99	0.0525606010	0.4433645526	0.3908039516	0.1073392294	0.0107898988	-0.0655685272	0.0655685272	0.1181291282	0.555058	0.5566354474	2.557807	0.241522
100	0.0525526417	0.4439016289	0.3913489872	0.1073707814	0.0108141506	-0.0656322903	0.0656322903	0.1181849320	0.555336	0.5560983711	2.560928	0.242014
110	0.0524793399	0.4524003606	0.3999210206	0.1076652716	0.0110409292	-0.0662268609	0.0662268609	0.1187062008	0.557906	0.5475996394	2.573981	0.246678
120	0.0524158342	0.4629256642	0.4105098300	0.1079268565	0.0112433584	-0.0667543808	0.0667543808	0.1191702150	0.560160	0.5370743358	2.571239	0.250940
130	0.0523603824	0.4697662011	0.4174058187	0.1081615890	0.0114251798	-0.0672263865	0.0672263865	0.1195867689	0.562156	0.5302337989	2.580931	0.254866
140	0.0523112833	0.4763279729	0.4240166896	0.1083740366	0.0115899402	-0.0676526934	0.0676526934	0.1199639768	0.563942	0.5236720271	2.587800	0.258504
150	0.0522674092	0.4814074120	0.4291400028	0.1085677298	0.0117403688	-0.0680406893	0.0680406893	0.1203080986	0.565554	0.5185925880	2.598478	0.261893
160	0.0522278805	0.4861374881	0.4339096077	0.1087454460	0.0118783569	-0.0683959224	0.0683959224	0.1206238028	0.567018	0.5138625119	2.607942	0.265066
170	0.0521920299	0.4900702691	0.4378782392	0.1089094065	0.0120057731	-0.0687231498	0.0687231498	0.1209151797	0.568358	0.5099297309	2.618896	0.268048
180	0.0521593218	0.4949835240	0.4428242022	0.1090614140	0.0121239620	-0.0690260542	0.0690260542	0.1211853760	0.569591	0.5050164760	2.622529	0.270861
190	0.0521293037	0.4998696393	0.4477403356	0.1092029492	0.0122341094	-0.0693077549	0.0693077549	0.1214370586	0.570730	0.5001303607	2.624196	0.273524
200	0.0521016251	0.5053110053	0.4532093801	0.1093352432	0.0123371792	-0.0695707972	0.0695707972	0.1216724224	0.571788	0.4946889947	2.621019	0.276051
210	0.0520759920	0.5100050933	0.4579291013	0.1094593284	0.0124338693	-0.0698172057	0.0698172057	0.1218931977	0.572774	0.4899949067	2.620055	0.278456
