a	b	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM	two_tile_rows	total_correction	ftc_bounded
17	18	6.448608268576655e-2	1.219850098642015e-2	-1.472192e-7	2.502726e-1	2.268857e-2	3.857056e4	88889	-2.268871e-2	true
1	19	8.472439474188743e-2	8.472439474188743e-2	-2.543839e-6	2.543839e-1	-2.543839e-6	2.543839e-1	0	0.000000e0	true
2	19	9.232530883742561e-2	6.600951936374140e-2	-1.260968e-6	2.521935e-1	2.440408e-3	4.880816e2	5263	-2.441669e-3	true
3	19	9.032571059640081e-2	5.523799129815520e-2	-8.382084e-7	2.514625e-1	4.493983e-3	1.348195e3	10526	-4.494821e-3	true
4	19	8.711274654088799e-2	4.763906233036168e-2	-6.277409e-7	2.510964e-1	4.483563e-3	1.793425e3	15789	-4.484190e-3	true
5	19	8.394298176022488e-2	4.183771860233015e-2	-5.017523e-7	2.508761e-1	5.105890e-3	2.552945e3	21052	-5.106391e-3	true
6	19	8.118611512916352e-2	3.732646600635650e-2	-4.178815e-7	2.507289e-1	9.539546e-3	5.723728e3	26315	-9.539964e-3	true
7	19	7.766991833395850e-2	3.255713637907129e-2	-3.580368e-7	2.506258e-1	8.393138e-3	5.875197e3	31579	-8.393497e-3	true
8	19	7.499689400754969e-2	2.894426242860233e-2	-3.131852e-7	2.505481e-1	1.128113e-2	9.024904e3	36842	-1.128144e-2	true
9	19	7.411127079055178e-2	2.732764505955763e-2	-2.783185e-7	2.504866e-1	1.347955e-2	1.213159e4	42105	-1.347983e-2	true
10	19	7.177812492859827e-2	2.440970387596669e-2	-2.504377e-7	2.504377e-1	6.990851e-3	6.990851e3	47368	-6.991102e-3	true
11	19	6.815542634726707e-2	2.030853639511396e-2	-2.276345e-7	2.503980e-1	1.237030e-2	1.360733e4	52631	-1.237052e-2	true
12	19	6.596163478399948e-2	1.771602074891176e-2	-2.086370e-7	2.503644e-1	1.516884e-2	1.820261e4	57894	-1.516905e-2	true
13	19	6.437887644209248e-2	1.579588049067547e-2	-1.925665e-7	2.503364e-1	1.497906e-2	1.947278e4	63158	-1.497925e-2	true
14	19	6.280463898195093e-2	1.393245853082312e-2	-1.787951e-7	2.503132e-1	1.796413e-2	2.514978e4	68421	-1.796431e-2	true
15	19	6.170247080274634e-2	1.257966378520248e-2	-1.668616e-7	2.502924e-1	1.893899e-2	2.840848e4	73684	-1.893916e-2	true
16	19	6.101761444455139e-2	1.167550918139349e-2	-1.564211e-7	2.502738e-1	1.970414e-2	3.152662e4	78947	-1.970430e-2	true
17	19	6.081799737065746e-2	1.128239365548718e-2	-1.472099e-7	2.502569e-1	2.073940e-2	3.525697e4	84210	-2.073954e-2	true
18	19	6.130733660331492e-2	1.159973426413364e-2	-1.390231e-7	2.502416e-1	2.154185e-2	3.877532e4	89473	-2.154198e-2	true
1	20	8.175248016572000e-2	8.175248016572000e-2	-2.541579e-6	2.541579e-1	-2.541579e-6	2.541579e-1	0	0.000000e0	true
3	20	8.707600078361534e-2	5.374266745028201e-2	-8.379523e-7	2.513857e-1	3.312184e-3	9.936552e2	10000	-3.313022e-3	true
7	20	7.572298176096023e-2	3.286583890381738e-2	-3.579909e-7	2.505936e-1	5.453211e-3	3.817248e3	30000	-5.453569e-3	true
9	20	7.076980528017537e-2	2.632536083573093e-2	-2.782907e-7	2.504616e-1	1.184358e-2	1.065922e4	40000	-1.184386e-2	true
11	20	6.659451917864818e-2	2.113997372410273e-2	-2.276160e-7	2.503776e-1	9.583330e-3	1.054166e4	50000	-9.583558e-3	true
13	20	6.240914382355800e-2	1.625529766971184e-2	-1.925534e-7	2.503195e-1	1.553266e-2	2.019246e4	60000	-1.553286e-2	true
17	20	5.805909224591203e-2	1.100026871650027e-2	-1.472025e-7	2.502442e-1	1.901810e-2	3.233077e4	80000	-1.901825e-2	true
19	20	5.842839340389207e-2	1.105997235126049e-2	-1.316939e-7	2.502184e-1	2.050460e-2	3.895874e4	90000	-2.050473e-2	true
