a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
1	5	500	1.919465284541054e-1	1.919465284541054e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-5.323339e-4	2.661669e-1	-5.323339e-4	2.661669e-1
1	5	1000	1.922124456030798e-1	1.922124456030798e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-2.664167e-4	2.664167e-1	-2.664167e-4	2.664167e-1
1	5	5000	1.924255390041715e-1	1.924255390041715e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-5.332333e-5	2.666167e-1	-5.332333e-5	2.666167e-1
1	5	10000	1.924521981713131e-1	1.924521981713131e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-2.666417e-5	2.666417e-1	-2.666417e-5	2.666417e-1
1	5	50000	1.924735291047143e-1	1.924735291047143e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-5.333233e-6	2.666617e-1	-5.333233e-6	2.666617e-1
1	5	100000	1.924761956963804e-1	1.924761956963804e-1	0.000000000000000e0	0.000000000000000e0	1.924788623380489e-1	1.924788623380489e-1	-2.666642e-6	2.666642e-1	-2.666642e-6	2.666642e-1
2	5	100	1.459260543328791e-1	1.151208165473567e-1	-3.080523778552229e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-1.284418e-3	2.568835e-1	2.952082e-2	5.904164e0
2	5	500	1.472513567203910e-1	1.161471921194458e-1	-3.110416460094519e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-2.580420e-4	2.580420e-1	3.084612e-2	3.084612e1
2	5	1000	1.474177731629888e-1	1.162761403324225e-1	-3.114163283056623e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-1.290938e-4	2.581876e-1	3.101254e-2	6.202508e1
2	5	5000	1.475510264644551e-1	1.163794037077089e-1	-3.117162275674712e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-2.583042e-5	2.583042e-1	3.114579e-2	3.114579e2
2	5	10000	1.475676906308954e-1	1.163923181871714e-1	-3.117537244372586e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-1.291594e-5	2.583188e-1	3.116246e-2	6.232491e2
2	5	50000	1.475810231641949e-1	1.164026508205464e-1	-3.117837234365191e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-2.583304e-6	2.583304e-1	3.117579e-2	3.117579e3
2	5	100000	1.475826898058599e-1	1.164039424653388e-1	-3.117874734052620e-2	1.000000000000000e-1	2.164052341247139e-1	1.164052341247139e-1	-1.291659e-6	2.583319e-1	3.117746e-2	6.235491e3
3	5	100	1.189097688120458e-1	7.270826294845802e-2	-4.620150586358784e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-8.481740e-4	2.544522e-1	4.535333e-2	1.360600e1
3	5	500	1.199705489426324e-1	7.338621453425044e-2	-4.658433440838185e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-1.702224e-4	2.553336e-1	4.641411e-2	6.962117e1
3	5	1000	1.201036987964507e-1	7.347128878905466e-2	-4.663241000739594e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-8.514817e-5	2.554445e-1	4.654726e-2	1.396418e2
3	5	5000	1.202103067756144e-1	7.353940140725081e-2	-4.667090536836351e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-1.703556e-5	2.555333e-1	4.665387e-2	6.998080e2
3	5	10000	1.202236382754664e-1	7.354791881483881e-2	-4.667571946062778e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-8.518148e-6	2.555444e-1	4.666720e-2	1.400016e3
3	5	50000	1.202343043554463e-1	7.355473327412318e-2	-4.667957108132208e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-1.703689e-6	2.555533e-1	4.667787e-2	7.001680e3
3	5	100000	1.202356376704447e-1	7.355558511486290e-2	-4.668005255558137e-2	1.333333333333333e-1	2.068897702963464e-1	7.355643696301309e-2	-8.518482e-7	2.555544e-1	4.667920e-2	1.400376e4
4	5	100	1.146860731040342e-1	4.674274210823283e-2	-6.794333099580134e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-6.330960e-4	2.532384e-1	6.731023e-2	2.692409e1
4	5	500	1.156169579536434e-1	4.724884835647670e-2	-6.836810959716677e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-1.269898e-4	2.539795e-1	6.824112e-2	1.364822e2
4	5	1000	1.157335492780625e-1	4.731231987227130e-2	-6.842122940579123e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-6.351825e-5	2.540730e-1	6.835771e-2	2.734308e2
4	5	5000	1.158268585628961e-1	4.736313072850676e-2	-6.846372783438941e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-1.270740e-5	2.541479e-1	6.845102e-2	1.369020e3
4	5	10000	1.158385244792203e-1	4.736948419221018e-2	-6.846904028701033e-2	1.500000000000000e-1	1.973758381245246e-1	4.737583812452464e-2	-6.353932e-6	2.541573e-1	6.846269e-2	2.738507e3
