N	k	inner_val	predicted	ratio
100	99	7.844994849322583e-4	1.456760122438350e0	5.385234486094731e-4
200	1	-2.836796944764493e-2	1.000000000000000e0	2.836796944764493e-2
200	2	-1.403030977863114e-2	8.408964152537145e-1	1.668494421444040e-2
200	3	-1.172873236616017e-2	8.347648216253986e-1	1.405034335697420e-2
200	4	-7.760617445972415e-3	9.802581434685472e-1	7.916911986583688e-3
200	5	-7.774787980564770e-3	1.076296000401796e0	7.223652208744001e-3
200	6	-5.785835778117545e-3	1.144832357331227e0	5.053871635498827e-3
200	7	-5.897848012739406e-3	1.196322506346835e0	4.929981657495887e-3
200	8	-4.990412420002748e-3	1.236443338298944e0	4.036102800204646e-3
200	9	-4.906903571389765e-3	1.268568201195128e0	3.868064457840684e-3
200	10	-4.616901380854608e-3	1.294838752557815e0	3.565618785917872e-3
200	11	-4.318611586554020e-3	1.316685461531724e0	3.279911347642663e-3
200	12	-3.951503703036743e-3	1.335102984625279e0	2.959699550178000e-3
200	13	-3.937748027786845e-3	1.350805924423834e0	2.915110125435993e-3
200	14	-3.945512172280912e-3	1.364321791164989e0	2.891921977521048e-3
200	15	-3.902473311937200e-3	1.376048990826723e0	2.835998818321588e-3
200	16	-3.523910310896006e-3	1.386294361119891e0	2.541963965033576e-3
200	17	-3.388834536976581e-3	1.395298245892316e0	2.428752811058947e-3
200	18	-3.248415860199240e-3	1.403251705633820e0	2.314920300582851e-3
200	19	-3.202289083570807e-3	1.410308612748728e0	2.270630027089931e-3
200	20	-3.245273503283816e-3	1.416594330266847e0	2.290898271965057e-3
200	21	-3.313585298428658e-3	1.422212054706250e0	2.329881319359975e-3
200	22	-3.176867143876627e-3	1.427247528518862e0	2.225869781097779e-3
200	23	-2.972327028170575e-3	1.431772593222833e0	2.075977038700013e-3
200	24	-2.919727055270313e-3	1.435847904341173e0	2.033451486360602e-3
200	25	-2.976545780186529e-3	1.439525031107201e0	2.067727698973834e-3
200	26	-2.932632134358211e-3	1.442848098353073e0	2.032530061692315e-3
200	27	-2.841178914201553e-3	1.445855083426361e0	1.965050956191667e-3
200	28	-2.763262399345268e-3	1.448578850162398e0	1.907567820029599e-3
200	29	-2.599985832549859e-3	1.451047980305819e0	1.791798664026185e-3
200	30	-2.524073838732033e-3	1.453287447373132e0	1.736802890091966e-3
200	31	-2.536307512421719e-3	1.455319166841168e0	1.742784380368522e-3
200	32	-2.600305383660692e-3	1.457162448440193e0	1.784499309904785e-3
200	33	-2.695835805081094e-3	1.458834370348522e0	1.847938230600535e-3
200	34	-2.670268876079850e-3	1.460350090625305e0	1.828512829369889e-3
200	35	-2.665745489677087e-3	1.461723107860394e0	1.823700723715785e-3
200	36	-2.516176753728553e-3	1.462965480469584e0	1.719915327681490e-3
200	37	-2.441267643999074e-3	1.464088012109512e0	1.667432301751864e-3
200	38	-2.473032178611070e-3	1.465100409177698e0	1.687960881806785e-3
200	39	-2.457844970517279e-3	1.466011415189422e0	1.676552409518382e-3
200	40	-2.359130022439640e-3	1.466828925903495e0	1.608319812064335e-3
200	41	-2.266702511576390e-3	1.467560088343752e0	1.544538127998921e-3
200	42	-2.239855468667434e-3	1.468211386287435e0	1.525567428223807e-3
200	43	-2.227412773679368e-3	1.468788714332097e0	1.516496383683232e-3
200	44	-2.257276998590744e-3	1.469297442283649e0	1.536296827062042e-3
