a	b	abs_V	ratio_to_a_lna
64	57	1.977758424577457e1	7.430474664620486e-2
64	59	2.873525811591302e1	1.079588916210731e-1
64	61	3.742159510027846e1	1.405936189409543e-1
64	63	5.936176067864290e1	2.230232233060302e-1
65	1	6.060505614616510e1	2.233586437693121e-1
65	2	4.658003845526646e1	1.716697397490829e-1
65	3	3.870005736662180e1	1.426282372605340e-1
65	4	3.237347647349516e1	1.193117581110460e-1
65	6	2.647122139818095e1	9.755912272657830e-2
65	7	2.162794204799126e1	7.970931982489853e-2
65	8	1.740728389303861e1	6.415417407879953e-2
65	9	1.635105768036597e1	6.026147486559889e-2
65	11	1.852417511777128e1	6.827045290201321e-2
65	12	1.264421535425801e1	4.659998641438248e-2
65	14	1.151103443354251e1	4.242367226353271e-2
65	16	1.393596954446996e-1	5.136071897295340e-4
65	17	1.076466240587358e1	3.967293405044663e-2
65	18	6.272390954611345e0	2.311676328512965e-2
65	19	5.616738552939146e0	2.070037032167125e-2
65	21	3.778329215724590e0	1.392495186049941e-2
65	22	1.679820195949133e1	6.190941558384151e-2
65	23	8.042267573350621e0	2.963960587184732e-2
65	24	4.137001252138762e0	1.524683001235252e-2
65	27	7.919890093317195e-1	2.918858627535938e-3
65	28	1.288990849533856e0	4.750548325350464e-3
65	29	2.112616073139417e0	7.786001546861507e-3
65	31	1.188754523898777e1	4.381129481875190e-2
65	32	2.313388475282450e1	8.525943959270481e-2
65	33	2.313388475282450e1	8.525943959270481e-2
65	34	1.188754523898777e1	4.381129481875190e-2
65	36	2.112616073139417e0	7.786001546861507e-3
65	37	1.288990849533856e0	4.750548325350464e-3
65	38	7.919890093317195e-1	2.918858627535938e-3
65	41	4.137001252138762e0	1.524683001235252e-2
65	42	8.042267573350621e0	2.963960587184732e-2
65	43	1.679820195949133e1	6.190941558384151e-2
65	44	3.778329215724590e0	1.392495186049941e-2
65	46	5.616738552939146e0	2.070037032167125e-2
65	47	6.272390954611345e0	2.311676328512965e-2
65	48	1.076466240587358e1	3.967293405044663e-2
65	49	1.393596954446996e-1	5.136071897295340e-4
65	51	1.151103443354251e1	4.242367226353271e-2
65	53	1.264421535425801e1	4.659998641438248e-2
65	54	1.852417511777128e1	6.827045290201321e-2
65	56	1.635105768036597e1	6.026147486559889e-2
65	57	1.740728389303861e1	6.415417407879953e-2
65	58	2.162794204799126e1	7.970931982489853e-2
65	59	2.647122139818095e1	9.755912272657830e-2
65	61	3.237347647349516e1	1.193117581110460e-1
65	62	3.870005736662180e1	1.426282372605340e-1
65	63	4.658003845526646e1	1.716697397490829e-1
65	64	6.060505614616510e1	2.233586437693121e-1
66	1	6.185324951767902e1	2.236867963932217e-1
66	5	2.842123469330789e1	1.027828770139042e-1
66	7	2.303975011945517e1	8.332121487729176e-2
66	13	6.144098722163615e0	2.221958863279521e-2
66	17	1.286846802952840e1	4.653767442228013e-2
66	19	8.784702006304629e0	3.176909644007860e-2
66	23	9.862129009248168e0	3.566551573114763e-2
66	25	3.902398042493030e0	1.411267674994096e-2
66	29	3.285410110009347e0	1.188139456013288e-2
66	31	1.005465543031005e1	3.636177047417573e-2
66	35	1.005465543031005e1	3.636177047417573e-2
66	37	3.285410110009347e0	1.188139456013288e-2
66	41	3.902398042493030e0	1.411267674994096e-2
66	43	9.862129009248168e0	3.566551573114763e-2
66	47	8.784702006304629e0	3.176909644007860e-2
66	49	1.286846802952840e1	4.653767442228013e-2
66	53	6.144098722163615e0	2.221958863279521e-2
66	59	2.303975011945517e1	8.332121487729176e-2
66	61	2.842123469330789e1	1.027828770139042e-1
66	65	6.185324951767902e1	2.236867963932217e-1
67	1	6.310626655796717e1	2.240079503429851e-1
67	2	4.864003775760359e1	1.726572614254994e-1
67	3	4.011716222081238e1	1.424036593007206e-1
67	4	3.499198158661216e1	1.242108351704868e-1
